카테고리,충청남도 홍성군,충청남도 홍성군 홍성읍,충청남도 홍성군 광천읍,충청남도 홍성군 홍북읍,충청남도 홍성군 금마면,충청남도 홍성군 홍동면,충청남도 홍성군 장곡면,충청남도 홍성군 은하면,충청남도 홍성군 결성면,충청남도 홍성군 서부면,충청남도 홍성군 갈산면,충청남도 홍성군 구항면
2020년01월_계_총인구수,"100,347","38,706","8,751","28,045","3,496","3,485","2,994","2,385","2,141","3,287","3,575","3,482"
2020년01월_계_연령구간인구수,"100,347","38,706","8,751","28,045","3,496","3,485","2,994","2,385","2,141","3,287","3,575","3,482"
2020년01월_계_0~9세,"8,003","2,647",303,"4,386",99,134,80,50,31,91,88,94
2020년01월_계_10~19세,"9,812","4,626",479,"3,550",149,236,120,79,73,150,161,189
2020년01월_계_20~29세,"9,871","4,931",640,"2,724",236,247,168,134,126,222,201,242
2020년01월_계_30~39세,"10,958","3,803",553,"5,210",219,202,151,125,110,171,215,199
2020년01월_계_40~49세,"14,668","6,327",891,"5,227",343,376,251,167,136,283,299,368
2020년01월_계_50~59세,"16,135","6,817","1,577","3,301",669,629,475,414,383,602,619,649
2020년01월_계_60~69세,"13,960","4,860","1,788","1,953",721,670,626,532,494,748,811,757
2020년01월_계_70~79세,"9,840","2,948","1,548","1,030",572,525,591,459,428,574,617,548
2020년01월_계_80~89세,"6,228","1,521",835,588,428,421,483,363,319,388,496,386
2020년01월_계_90~99세,810,211,115,73,58,43,47,60,41,51,63,48
2020년01월_계_100세 이상,62,15,22,3,2,2,2,2,0,7,5,2
2020년01월_남_총인구수,"49,896","19,216","4,294","14,022","1,755","1,780","1,440","1,198","1,042","1,607","1,788","1,754"
2020년01월_남_연령구간인구수,"49,896","19,216","4,294","14,022","1,755","1,780","1,440","1,198","1,042","1,607","1,788","1,754"
2020년01월_남_0~9세,"4,167","1,356",168,"2,300",52,75,39,26,15,42,47,47
2020년01월_남_10~19세,"5,016","2,366",245,"1,810",89,131,63,37,30,70,81,94
2020년01월_남_20~29세,"5,413","2,730",381,"1,350",138,157,99,88,76,130,123,141
2020년01월_남_30~39세,"5,693","1,964",328,"2,568",130,118,84,83,75,105,132,106
2020년01월_남_40~49세,"7,679","3,103",513,"2,651",214,219,165,107,90,185,204,228
2020년01월_남_50~59세,"8,338","3,465",796,"1,716",361,335,255,234,195,297,325,359
2020년01월_남_60~69세,"6,824","2,316",848,949,365,345,306,265,244,375,418,393
2020년01월_남_70~79세,"4,372","1,317",683,473,249,241,248,215,192,255,253,246
2020년01월_남_80~89세,"2,172",535,289,194,144,151,171,128,119,133,181,127
2020년01월_남_90~99세,205,58,38,11,12,8,9,15,6,13,22,13
2020년01월_남_100세 이상,17,6,5,0,1,0,1,0,0,2,2,0
2020년01월_여_총인구수,"50,451","19,490","4,457","14,023","1,741","1,705","1,554","1,187","1,099","1,680","1,787","1,728"
2020년01월_여_연령구간인구수,"50,451","19,490","4,457","14,023","1,741","1,705","1,554","1,187","1,099","1,680","1,787","1,728"
2020년01월_여_0~9세,"3,836","1,291",135,"2,086",47,59,41,24,16,49,41,47
2020년01월_여_10~19세,"4,796","2,260",234,"1,740",60,105,57,42,43,80,80,95
2020년01월_여_20~29세,"4,458","2,201",259,"1,374",98,90,69,46,50,92,78,101
2020년01월_여_30~39세,"5,265","1,839",225,"2,642",89,84,67,42,35,66,83,93
2020년01월_여_40~49세,"6,989","3,224",378,"2,576",129,157,86,60,46,98,95,140
2020년01월_여_50~59세,"7,797","3,352",781,"1,585",308,294,220,180,188,305,294,290
2020년01월_여_60~69세,"7,136","2,544",940,"1,004",356,325,320,267,250,373,393,364
2020년01월_여_70~79세,"5,468","1,631",865,557,323,284,343,244,236,319,364,302
2020년01월_여_80~89세,"4,056",986,546,394,284,270,312,235,200,255,315,259
2020년01월_여_90~99세,605,153,77,62,46,35,38,45,35,38,41,35
2020년01월_여_100세 이상,45,9,17,3,1,2,1,2,0,5,3,2
