카테고리,대구광역시 남구,대구광역시 남구 이천동,대구광역시 남구 봉덕1동,대구광역시 남구 봉덕2동,대구광역시 남구 봉덕3동,대구광역시 남구 대명1동,대구광역시 남구 대명2동,대구광역시 남구 대명3동,대구광역시 남구 대명4동,대구광역시 남구 대명5동,대구광역시 남구 대명6동,대구광역시 남구 대명9동,대구광역시 남구 대명10동,대구광역시 남구 대명11동
2020년02월_계_총인구수,"147,938","12,772","9,299","10,966","17,259","11,727","11,499","11,197","11,363","8,189","9,735","15,968","9,430","8,534"
2020년02월_계_연령구간인구수,"147,938","12,772","9,299","10,966","17,259","11,727","11,499","11,197","11,363","8,189","9,735","15,968","9,430","8,534"
2020년02월_계_0~9세,"7,195",875,395,693,892,585,428,401,499,299,606,834,364,324
2020년02월_계_10~19세,"9,907","1,080",546,909,"1,436",822,703,660,682,469,647,948,547,458
2020년02월_계_20~29세,"20,119","1,290","1,145","1,142","2,063","1,711","2,000","1,476","1,633","1,558","1,384","2,342","1,381",994
2020년02월_계_30~39세,"17,754","1,434","1,171","1,160","1,941","1,475","1,408","1,222","1,264",958,"1,388","2,223","1,143",967
2020년02월_계_40~49세,"21,009","2,061","1,393","1,520","2,635","1,695","1,532","1,550","1,472","1,036","1,454","2,351","1,231","1,079"
2020년02월_계_50~59세,"25,453","1,998","1,681","1,861","2,970","2,024","1,894","2,066","2,062","1,352","1,560","2,746","1,644","1,595"
2020년02월_계_60~69세,"23,484","1,783","1,452","1,821","2,693","1,819","1,712","1,951","2,024","1,214","1,408","2,323","1,622","1,662"
2020년02월_계_70~79세,"15,018","1,388",927,"1,145","1,671","1,092","1,207","1,273","1,186",853,827,"1,481",983,985
2020년02월_계_80~89세,"7,027",744,524,618,850,424,552,524,485,394,404,623,464,421
2020년02월_계_90~99세,887,112,58,91,96,76,56,63,49,51,54,86,49,46
2020년02월_계_100세 이상,85,7,7,6,12,4,7,11,7,5,3,11,2,3
2020년02월_남_총인구수,"71,220","6,085","4,498","5,274","8,177","5,718","5,484","5,580","5,541","3,898","4,648","7,773","4,471","4,073"
2020년02월_남_연령구간인구수,"71,220","6,085","4,498","5,274","8,177","5,718","5,484","5,580","5,541","3,898","4,648","7,773","4,471","4,073"
2020년02월_남_0~9세,"3,741",480,200,367,483,299,218,209,247,169,294,430,188,157
2020년02월_남_10~19세,"5,219",586,302,464,730,447,333,356,385,250,333,499,291,243
2020년02월_남_20~29세,"10,189",665,561,598,"1,043",867,978,788,852,702,701,"1,198",690,546
2020년02월_남_30~39세,"9,294",722,626,602,979,765,744,687,703,497,678,"1,146",599,546
2020년02월_남_40~49세,"10,560","1,007",715,709,"1,230",869,805,850,771,555,721,"1,187",605,536
2020년02월_남_50~59세,"12,298",986,835,895,"1,465",967,918,"1,069",985,649,749,"1,292",773,715
2020년02월_남_60~69세,"10,774",788,675,858,"1,198",834,794,888,920,564,666,"1,108",728,753
2020년02월_남_70~79세,"6,381",545,385,512,703,498,492,534,511,351,360,646,429,415
2020년02월_남_80~89세,"2,524",277,186,236,318,155,183,185,156,147,135,242,156,148
2020년02월_남_90~99세,220,29,11,31,26,17,16,12,8,13,11,23,11,12
2020년02월_남_100세 이상,20,0,2,2,2,0,3,2,3,1,0,2,1,2
2020년02월_여_총인구수,"76,718","6,687","4,801","5,692","9,082","6,009","6,015","5,617","5,822","4,291","5,087","8,195","4,959","4,461"
2020년02월_여_연령구간인구수,"76,718","6,687","4,801","5,692","9,082","6,009","6,015","5,617","5,822","4,291","5,087","8,195","4,959","4,461"
2020년02월_여_0~9세,"3,454",395,195,326,409,286,210,192,252,130,312,404,176,167
2020년02월_여_10~19세,"4,688",494,244,445,706,375,370,304,297,219,314,449,256,215
2020년02월_여_20~29세,"9,930",625,584,544,"1,020",844,"1,022",688,781,856,683,"1,144",691,448
2020년02월_여_30~39세,"8,460",712,545,558,962,710,664,535,561,461,710,"1,077",544,421
2020년02월_여_40~49세,"10,449","1,054",678,811,"1,405",826,727,700,701,481,733,"1,164",626,543
2020년02월_여_50~59세,"13,155","1,012",846,966,"1,505","1,057",976,997,"1,077",703,811,"1,454",871,880
2020년02월_여_60~69세,"12,710",995,777,963,"1,495",985,918,"1,063","1,104",650,742,"1,215",894,909
2020년02월_여_70~79세,"8,637",843,542,633,968,594,715,739,675,502,467,835,554,570
2020년02월_여_80~89세,"4,503",467,338,382,532,269,369,339,329,247,269,381,308,273
2020년02월_여_90~99세,667,83,47,60,70,59,40,51,41,38,43,63,38,34
2020년02월_여_100세 이상,65,7,5,4,10,4,4,9,4,4,3,9,1,1
