,세종특별자치시,세종특별자치시 세종특별자치시
2021년12월_계_총인구수,"371,895","371,895"
2021년12월_계_연령구간인구수,"371,895","371,895"
2021년12월_계_0~9세,"47,063","47,063"
2021년12월_계_10~19세,"45,794","45,794"
2021년12월_계_20~29세,"38,510","38,510"
2021년12월_계_30~39세,"61,719","61,719"
2021년12월_계_40~49세,"72,764","72,764"
2021년12월_계_50~59세,"48,876","48,876"
2021년12월_계_60~69세,"33,522","33,522"
2021년12월_계_70~79세,"14,775","14,775"
2021년12월_계_80~89세,"7,557","7,557"
2021년12월_계_90~99세,"1,288","1,288"
2021년12월_계_100세 이상,27,27
2021년12월_남_총인구수,"185,678","185,678"
2021년12월_남_연령구간인구수,"185,678","185,678"
2021년12월_남_0~9세,"23,984","23,984"
2021년12월_남_10~19세,"23,081","23,081"
2021년12월_남_20~29세,"19,728","19,728"
2021년12월_남_30~39세,"30,131","30,131"
2021년12월_남_40~49세,"36,831","36,831"
2021년12월_남_50~59세,"25,581","25,581"
2021년12월_남_60~69세,"16,596","16,596"
2021년12월_남_70~79세,"6,870","6,870"
2021년12월_남_80~89세,"2,606","2,606"
2021년12월_남_90~99세,263,263
2021년12월_남_100세 이상,7,7
2021년12월_여_총인구수,"186,217","186,217"
2021년12월_여_연령구간인구수,"186,217","186,217"
2021년12월_여_0~9세,"23,079","23,079"
2021년12월_여_10~19세,"22,713","22,713"
2021년12월_여_20~29세,"18,782","18,782"
2021년12월_여_30~39세,"31,588","31,588"
2021년12월_여_40~49세,"35,933","35,933"
2021년12월_여_50~59세,"23,295","23,295"
2021년12월_여_60~69세,"16,926","16,926"
2021년12월_여_70~79세,"7,905","7,905"
2021년12월_여_80~89세,"4,951","4,951"
2021년12월_여_90~99세,"1,025","1,025"
2021년12월_여_100세 이상,20,20
