카테고리,경상북도 영양군,경상북도 영양군 영양읍,경상북도 영양군 입암면,경상북도 영양군 청기면,경상북도 영양군 일월면,경상북도 영양군 수비면,경상북도 영양군 석보면
2021년11월_계_총인구수,"16,335","7,143","2,092","1,686","1,758","1,674","1,982"
2021년11월_계_연령구간인구수,"16,335","7,143","2,092","1,686","1,758","1,674","1,982"
2021년11월_계_0~9세,677,415,68,45,36,59,54
2021년11월_계_10~19세,896,529,74,43,78,99,73
2021년11월_계_20~29세,"1,071",614,93,72,106,91,95
2021년11월_계_30~39세,995,605,109,56,72,66,87
2021년11월_계_40~49세,"1,610",901,179,119,119,148,144
2021년11월_계_50~59세,"2,836","1,213",339,267,342,299,376
2021년11월_계_60~69세,"3,618","1,337",517,455,412,391,506
2021년11월_계_70~79세,"2,585",882,398,353,297,284,371
2021년11월_계_80~89세,"1,759",538,273,240,260,205,243
2021년11월_계_90~99세,271,108,41,33,34,27,28
2021년11월_계_100세 이상,17,1,1,3,2,5,5
2021년11월_남_총인구수,"8,138","3,545","1,010",858,873,846,"1,006"
2021년11월_남_연령구간인구수,"8,138","3,545","1,010",858,873,846,"1,006"
2021년11월_남_0~9세,354,227,31,24,16,33,23
2021년11월_남_10~19세,463,267,40,22,42,49,43
2021년11월_남_20~29세,620,358,50,40,58,59,55
2021년11월_남_30~39세,543,323,58,33,43,34,52
2021년11월_남_40~49세,955,500,121,83,66,92,93
2021년11월_남_50~59세,"1,588",648,186,170,191,176,217
2021년11월_남_60~69세,"1,838",658,263,224,220,200,273
2021년11월_남_70~79세,"1,127",371,165,173,137,122,159
2021년11월_남_80~89세,585,173,87,82,88,72,83
2021년11월_남_90~99세,63,20,8,7,11,9,8
2021년11월_남_100세 이상,2,0,1,0,1,0,0
2021년11월_여_총인구수,"8,197","3,598","1,082",828,885,828,976
2021년11월_여_연령구간인구수,"8,197","3,598","1,082",828,885,828,976
2021년11월_여_0~9세,323,188,37,21,20,26,31
2021년11월_여_10~19세,433,262,34,21,36,50,30
2021년11월_여_20~29세,451,256,43,32,48,32,40
2021년11월_여_30~39세,452,282,51,23,29,32,35
2021년11월_여_40~49세,655,401,58,36,53,56,51
2021년11월_여_50~59세,"1,248",565,153,97,151,123,159
2021년11월_여_60~69세,"1,780",679,254,231,192,191,233
2021년11월_여_70~79세,"1,458",511,233,180,160,162,212
2021년11월_여_80~89세,"1,174",365,186,158,172,133,160
2021년11월_여_90~99세,208,88,33,26,23,18,20
2021년11월_여_100세 이상,15,1,0,3,1,5,5
