카테고리,강원도 횡성군,강원도 횡성군 횡성읍,강원도 횡성군 우천면,강원도 횡성군 안흥면,강원도 횡성군 둔내면,강원도 횡성군 갑천면,강원도 횡성군 청일면,강원도 횡성군 공근면,강원도 횡성군 서원면,강원도 횡성군 강림면
2021년01월_계_총인구수,"46,441","20,736","4,548","3,027","5,889","2,405","2,409","3,521","2,152","1,754"
2021년01월_계_연령구간인구수,"46,441","20,736","4,548","3,027","5,889","2,405","2,409","3,521","2,152","1,754"
2021년01월_계_0~9세,"2,152","1,450",128,63,249,40,31,88,68,35
2021년01월_계_10~19세,"3,447","1,991",212,454,384,87,66,110,70,73
2021년01월_계_20~29세,"3,816","2,268",372,134,390,125,120,207,116,84
2021년01월_계_30~39세,"3,430","2,018",256,124,434,112,92,182,136,76
2021년01월_계_40~49세,"5,111","2,960",421,189,645,166,163,277,158,132
2021년01월_계_50~59세,"8,714","3,648",904,562,"1,182",456,517,704,392,349
2021년01월_계_60~69세,"10,347","3,310","1,157",797,"1,412",734,747,999,655,536
2021년01월_계_70~79세,"5,588","1,829",659,419,706,402,399,544,310,320
2021년01월_계_80~89세,"3,271","1,053",374,242,428,245,231,345,214,139
2021년01월_계_90~99세,529,196,59,40,55,35,41,62,31,10
2021년01월_계_100세 이상,36,13,6,3,4,3,2,3,2,0
2021년01월_남_총인구수,"23,812","10,431","2,381","1,547","3,082","1,245","1,223","1,844","1,142",917
2021년01월_남_연령구간인구수,"23,812","10,431","2,381","1,547","3,082","1,245","1,223","1,844","1,142",917
2021년01월_남_0~9세,"1,132",760,67,36,129,20,12,47,42,19
2021년01월_남_10~19세,"1,806","1,026",111,236,209,42,39,59,35,49
2021년01월_남_20~29세,"2,169","1,236",238,83,223,71,71,128,69,50
2021년01월_남_30~39세,"1,803","1,013",138,65,252,57,48,111,79,40
2021년01월_남_40~49세,"2,838","1,598",240,100,366,95,93,176,93,77
2021년01월_남_50~59세,"4,634","1,909",489,298,643,235,275,380,217,188
2021년01월_남_60~69세,"5,382","1,663",612,420,735,403,401,524,355,269
2021년01월_남_70~79세,"2,706",790,335,211,354,213,201,277,161,164
2021년01월_남_80~89세,"1,208",381,134,93,161,101,73,127,80,58
2021년01월_남_90~99세,124,52,17,5,10,6,9,12,10,3
2021년01월_남_100세 이상,10,3,0,0,0,2,1,3,1,0
2021년01월_여_총인구수,"22,629","10,305","2,167","1,480","2,807","1,160","1,186","1,677","1,010",837
2021년01월_여_연령구간인구수,"22,629","10,305","2,167","1,480","2,807","1,160","1,186","1,677","1,010",837
2021년01월_여_0~9세,"1,020",690,61,27,120,20,19,41,26,16
2021년01월_여_10~19세,"1,641",965,101,218,175,45,27,51,35,24
2021년01월_여_20~29세,"1,647","1,032",134,51,167,54,49,79,47,34
2021년01월_여_30~39세,"1,627","1,005",118,59,182,55,44,71,57,36
2021년01월_여_40~49세,"2,273","1,362",181,89,279,71,70,101,65,55
2021년01월_여_50~59세,"4,080","1,739",415,264,539,221,242,324,175,161
2021년01월_여_60~69세,"4,965","1,647",545,377,677,331,346,475,300,267
2021년01월_여_70~79세,"2,882","1,039",324,208,352,189,198,267,149,156
2021년01월_여_80~89세,"2,063",672,240,149,267,144,158,218,134,81
2021년01월_여_90~99세,405,144,42,35,45,29,32,50,21,7
2021년01월_여_100세 이상,26,10,6,3,4,1,1,0,1,0
