카테고리,전라남도 영암군,전라남도 영암군 영암읍,전라남도 영암군 삼호읍,전라남도 영암군 삼호읍서부출장소,전라남도 영암군 덕진면,전라남도 영암군 금정면,전라남도 영암군 신북면,전라남도 영암군 시종면,전라남도 영암군 도포면,전라남도 영암군 군서면,전라남도 영암군 서호면,전라남도 영암군 학산면,전라남도 영암군 미암면
2021년02월_계_총인구수,"53,652","8,214","14,976","6,465","1,849","2,068","3,803","3,568","2,278","3,214","1,927","3,015","2,275"
2021년02월_계_연령구간인구수,"53,652","8,214","14,976","6,465","1,849","2,068","3,803","3,568","2,278","3,214","1,927","3,015","2,275"
2021년02월_계_0~9세,"3,487",602,"1,543",554,65,50,115,113,72,94,73,138,68
2021년02월_계_10~19세,"4,412",774,"1,796",683,100,72,191,130,106,173,84,201,102
2021년02월_계_20~29세,"5,063",867,"1,597",910,116,111,283,233,178,239,120,254,155
2021년02월_계_30~39세,"4,699",712,"1,840",811,107,89,234,187,143,159,105,164,148
2021년02월_계_40~49세,"7,415","1,041","2,892","1,250",170,187,400,325,187,307,148,293,215
2021년02월_계_50~59세,"9,448","1,454","2,532","1,365",313,386,662,595,422,544,302,490,383
2021년02월_계_60~69세,"8,148","1,210","1,530",507,336,443,791,805,464,615,385,580,482
2021년02월_계_70~79세,"6,325",925,826,250,315,401,657,669,381,626,382,494,399
2021년02월_계_80~89세,"4,071",522,378,115,289,287,415,444,298,399,286,342,296
2021년02월_계_90~99세,548,103,38,20,34,41,49,64,24,55,38,56,26
2021년02월_계_100세 이상,36,4,4,0,4,1,6,3,3,3,4,3,1
2021년02월_남_총인구수,"27,599","4,063","7,967","3,713",907,"1,044","1,906","1,768","1,162","1,542",921,"1,465","1,141"
2021년02월_남_연령구간인구수,"27,599","4,063","7,967","3,713",907,"1,044","1,906","1,768","1,162","1,542",921,"1,465","1,141"
2021년02월_남_0~9세,"1,753",319,734,283,38,20,51,65,51,56,32,73,31
2021년02월_남_10~19세,"2,347",420,956,359,46,48,102,70,67,94,47,93,45
2021년02월_남_20~29세,"2,943",468,879,556,70,66,198,147,104,142,75,143,95
2021년02월_남_30~39세,"2,548",358,930,472,70,52,142,109,91,90,60,84,90
2021년02월_남_40~49세,"4,384",548,"1,702",768,105,113,230,214,116,180,93,170,145
2021년02월_남_50~59세,"5,389",751,"1,464",837,196,235,352,356,232,306,173,278,209
2021년02월_남_60~69세,"4,187",607,811,298,157,256,406,392,251,298,185,282,244
2021년02월_남_70~79세,"2,671",401,377,104,128,167,273,290,152,245,154,210,170
2021년02월_남_80~89세,"1,265",166,106,33,87,80,139,118,93,121,97,119,106
2021년02월_남_90~99세,104,24,7,3,9,7,10,7,5,9,4,13,6
2021년02월_남_100세 이상,8,1,1,0,1,0,3,0,0,1,1,0,0
2021년02월_여_총인구수,"26,053","4,151","7,009","2,752",942,"1,024","1,897","1,800","1,116","1,672","1,006","1,550","1,134"
2021년02월_여_연령구간인구수,"26,053","4,151","7,009","2,752",942,"1,024","1,897","1,800","1,116","1,672","1,006","1,550","1,134"
2021년02월_여_0~9세,"1,734",283,809,271,27,30,64,48,21,38,41,65,37
2021년02월_여_10~19세,"2,065",354,840,324,54,24,89,60,39,79,37,108,57
2021년02월_여_20~29세,"2,120",399,718,354,46,45,85,86,74,97,45,111,60
2021년02월_여_30~39세,"2,151",354,910,339,37,37,92,78,52,69,45,80,58
2021년02월_여_40~49세,"3,031",493,"1,190",482,65,74,170,111,71,127,55,123,70
2021년02월_여_50~59세,"4,059",703,"1,068",528,117,151,310,239,190,238,129,212,174
2021년02월_여_60~69세,"3,961",603,719,209,179,187,385,413,213,317,200,298,238
2021년02월_여_70~79세,"3,654",524,449,146,187,234,384,379,229,381,228,284,229
2021년02월_여_80~89세,"2,806",356,272,82,202,207,276,326,205,278,189,223,190
2021년02월_여_90~99세,444,79,31,17,25,34,39,57,19,46,34,43,20
2021년02월_여_100세 이상,28,3,3,0,3,1,3,3,3,2,3,3,1
