,경상북도 김천시,경상북도 김천시 아포읍,경상북도 김천시 농소면,경상북도 김천시 남면,경상북도 김천시 개령면,경상북도 김천시 감문면,경상북도 김천시 어모면,경상북도 김천시 봉산면,경상북도 김천시 대항면,경상북도 김천시 감천면,경상북도 김천시 조마면,경상북도 김천시 구성면,경상북도 김천시 지례면,경상북도 김천시 부항면,경상북도 김천시 대덕면,경상북도 김천시 증산면,경상북도 김천시 자산동,경상북도 김천시 평화남산동,경상북도 김천시 양금동,경상북도 김천시 대신동,경상북도 김천시 대곡동,경상북도 김천시 지좌동,경상북도 김천시 율곡동
2021년11월_계_총인구수,"140,120","7,509","3,060","3,095","2,404","3,251","4,002","3,070","3,409","1,934","2,195","2,756","1,518","1,242","2,274","1,037","6,558","7,525","3,845","25,359","20,181","10,999","22,897"
2021년11월_계_연령구간인구수,"140,120","7,509","3,060","3,095","2,404","3,251","4,002","3,070","3,409","1,934","2,195","2,756","1,518","1,242","2,274","1,037","6,558","7,525","3,845","25,359","20,181","10,999","22,897"
2021년11월_계_0~9세,"9,993",374,116,70,51,66,147,86,89,56,49,53,35,21,45,8,183,206,113,"1,974","1,316",845,"4,090"
2021년11월_계_10~19세,"12,240",448,134,131,91,97,163,128,174,74,83,76,54,36,309,31,341,405,220,"3,144","2,281","1,067","2,753"
2021년11월_계_20~29세,"14,174",580,264,203,169,158,286,226,269,134,126,144,77,52,108,44,617,787,279,"3,731","2,200","1,420","2,300"
2021년11월_계_30~39세,"14,511",583,210,199,140,150,200,180,198,106,115,108,62,52,103,22,530,652,246,"2,807","1,949","1,291","4,608"
2021년11월_계_40~49세,"19,188",879,315,272,188,234,403,265,302,182,180,183,92,94,138,90,788,856,373,"4,030","2,892","1,785","4,647"
2021년11월_계_50~59세,"23,528","1,531",558,587,453,568,726,560,674,372,397,516,254,205,346,209,"1,036","1,287",646,"4,320","3,692","1,899","2,692"
2021년11월_계_60~69세,"23,352","1,576",670,735,622,860,956,808,851,449,577,702,386,341,516,301,"1,532","1,627",885,"2,988","3,223","1,548","1,199"
2021년11월_계_70~79세,"13,429",885,440,467,385,557,648,496,464,283,346,517,285,215,354,160,985,"1,046",661,"1,423","1,638",763,411
2021년11월_계_80~89세,"8,412",556,307,367,257,475,400,276,324,237,281,381,238,194,311,154,489,586,375,843,864,334,163
2021년11월_계_90~99세,"1,254",95,45,61,47,86,72,45,61,41,39,74,32,29,42,18,56,70,45,92,124,47,33
2021년11월_계_100세 이상,39,2,1,3,1,0,1,0,3,0,2,2,3,3,2,0,1,3,2,7,2,0,1
2021년11월_남_총인구수,"70,260","3,772","1,607","1,589","1,226","1,609","2,042","1,584","1,732",995,"1,102","1,367",764,620,"1,138",499,"3,330","3,666","1,868","12,569","10,098","5,593","11,490"
2021년11월_남_연령구간인구수,"70,260","3,772","1,607","1,589","1,226","1,609","2,042","1,584","1,732",995,"1,102","1,367",764,620,"1,138",499,"3,330","3,666","1,868","12,569","10,098","5,593","11,490"
2021년11월_남_0~9세,"5,163",190,54,39,31,41,83,42,48,39,26,27,17,14,30,5,100,102,63,"1,013",667,433,"2,099"
2021년11월_남_10~19세,"6,642",236,78,71,48,49,105,79,91,44,44,49,35,18,162,18,165,230,119,"1,605","1,400",588,"1,408"
2021년11월_남_20~29세,"7,932",318,152,127,109,108,178,125,166,76,72,77,49,27,72,27,373,457,148,"2,051","1,289",787,"1,144"
2021년11월_남_30~39세,"7,608",309,124,112,83,81,113,113,110,69,67,65,41,30,58,9,324,387,134,"1,437",992,721,"2,229"
2021년11월_남_40~49세,"10,109",495,204,168,126,144,228,169,176,117,110,115,57,62,81,48,468,475,206,"1,959","1,420",921,"2,360"
2021년11월_남_50~59세,"12,277",802,330,337,244,312,392,302,359,199,219,291,155,119,188,124,574,655,349,"2,147","1,770",969,"1,440"
2021년11월_남_60~69세,"11,556",828,341,396,320,468,503,421,457,233,304,377,213,200,269,158,684,706,407,"1,482","1,489",725,575
2021년11월_남_70~79세,"5,918",392,191,214,178,237,298,231,208,131,166,233,111,85,165,64,449,418,284,592,738,343,190
2021년11월_남_80~89세,"2,774",180,118,115,75,151,129,87,109,79,84,116,75,57,104,43,178,223,144,261,308,98,40
2021년11월_남_90~99세,277,21,15,10,12,18,13,15,8,8,10,16,9,8,9,3,15,13,14,22,25,8,5
2021년11월_남_100세 이상,4,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
2021년11월_여_총인구수,"69,860","3,737","1,453","1,506","1,178","1,642","1,960","1,486","1,677",939,"1,093","1,389",754,622,"1,136",538,"3,228","3,859","1,977","12,790","10,083","5,406","11,407"
2021년11월_여_연령구간인구수,"69,860","3,737","1,453","1,506","1,178","1,642","1,960","1,486","1,677",939,"1,093","1,389",754,622,"1,136",538,"3,228","3,859","1,977","12,790","10,083","5,406","11,407"
2021년11월_여_0~9세,"4,830",184,62,31,20,25,64,44,41,17,23,26,18,7,15,3,83,104,50,961,649,412,"1,991"
2021년11월_여_10~19세,"5,598",212,56,60,43,48,58,49,83,30,39,27,19,18,147,13,176,175,101,"1,539",881,479,"1,345"
2021년11월_여_20~29세,"6,242",262,112,76,60,50,108,101,103,58,54,67,28,25,36,17,244,330,131,"1,680",911,633,"1,156"
2021년11월_여_30~39세,"6,903",274,86,87,57,69,87,67,88,37,48,43,21,22,45,13,206,265,112,"1,370",957,570,"2,379"
2021년11월_여_40~49세,"9,079",384,111,104,62,90,175,96,126,65,70,68,35,32,57,42,320,381,167,"2,071","1,472",864,"2,287"
2021년11월_여_50~59세,"11,251",729,228,250,209,256,334,258,315,173,178,225,99,86,158,85,462,632,297,"2,173","1,922",930,"1,252"
2021년11월_여_60~69세,"11,796",748,329,339,302,392,453,387,394,216,273,325,173,141,247,143,848,921,478,"1,506","1,734",823,624
2021년11월_여_70~79세,"7,511",493,249,253,207,320,350,265,256,152,180,284,174,130,189,96,536,628,377,831,900,420,221
2021년11월_여_80~89세,"5,638",376,189,252,182,324,271,189,215,158,197,265,163,137,207,111,311,363,231,582,556,236,123
2021년11월_여_90~99세,977,74,30,51,35,68,59,30,53,33,29,58,23,21,33,15,41,57,31,70,99,39,28
2021년11월_여_100세 이상,35,1,1,3,1,0,1,0,3,0,2,1,1,3,2,0,1,3,2,7,2,0,1
