카테고리,전라북도 임실군,전라북도 임실군 임실읍,전라북도 임실군 청웅면,전라북도 임실군 운암면,전라북도 임실군 신평면,전라북도 임실군 성수면,전라북도 임실군 오수면,전라북도 임실군 신덕면,전라북도 임실군 삼계면,전라북도 임실군 관촌면,전라북도 임실군 강진면,전라북도 임실군 덕치면,전라북도 임실군 지사면
2020년12월_계_총인구수,"27,314","7,447","1,302","1,613","1,454","1,683","3,727","1,305","1,522","3,343","1,541","1,169","1,208"
2020년12월_계_연령구간인구수,"27,314","7,447","1,302","1,613","1,454","1,683","3,727","1,305","1,522","3,343","1,541","1,169","1,208"
2020년12월_계_0~9세,"1,343",666,31,46,56,52,112,38,41,165,43,39,54
2020년12월_계_10~19세,"1,680",733,53,58,70,81,230,51,65,166,78,45,50
2020년12월_계_20~29세,"2,101",738,76,113,99,104,283,84,76,254,140,64,70
2020년12월_계_30~39세,"1,941",795,62,93,97,88,239,64,71,231,66,71,64
2020년12월_계_40~49세,"2,844","1,060",125,141,125,144,362,116,119,324,152,86,90
2020년12월_계_50~59세,"4,688","1,074",206,339,239,294,619,247,251,645,316,239,219
2020년12월_계_60~69세,"4,994","1,021",249,393,295,324,747,259,308,657,281,232,228
2020년12월_계_70~79세,"4,298",781,265,238,268,329,621,249,305,523,263,233,223
2020년12월_계_80~89세,"2,984",505,203,161,183,237,448,169,244,338,171,144,181
2020년12월_계_90~99세,419,71,31,31,20,28,65,27,42,37,27,11,29
2020년12월_계_100세 이상,22,3,1,0,2,2,1,1,0,3,4,5,0
2020년12월_남_총인구수,"13,966","3,811",653,836,741,869,"1,882",684,758,"1,714",820,588,610
2020년12월_남_연령구간인구수,"13,966","3,811",653,836,741,869,"1,882",684,758,"1,714",820,588,610
2020년12월_남_0~9세,715,369,14,23,26,25,67,22,19,85,20,14,31
2020년12월_남_10~19세,886,366,28,37,45,49,128,24,30,82,50,21,26
2020년12월_남_20~29세,"1,235",429,48,58,61,65,163,53,48,141,89,34,46
2020년12월_남_30~39세,"1,066",410,36,49,60,52,136,35,39,135,41,41,32
2020년12월_남_40~49세,"1,736",589,87,86,76,96,214,73,78,206,113,55,63
2020년12월_남_50~59세,"2,669",598,116,193,133,162,352,160,149,368,179,145,114
2020년12월_남_60~69세,"2,669",524,138,215,153,180,390,153,160,334,158,128,136
2020년12월_남_70~79세,"1,899",350,111,110,121,149,262,100,143,251,113,96,93
2020년12월_남_80~89세,984,165,68,54,58,84,150,57,83,100,51,53,61
2020년12월_남_90~99세,101,10,6,11,8,6,19,6,9,12,6,0,8
2020년12월_남_100세 이상,6,1,1,0,0,1,1,1,0,0,0,1,0
2020년12월_여_총인구수,"13,348","3,636",649,777,713,814,"1,845",621,764,"1,629",721,581,598
2020년12월_여_연령구간인구수,"13,348","3,636",649,777,713,814,"1,845",621,764,"1,629",721,581,598
2020년12월_여_0~9세,628,297,17,23,30,27,45,16,22,80,23,25,23
2020년12월_여_10~19세,794,367,25,21,25,32,102,27,35,84,28,24,24
2020년12월_여_20~29세,866,309,28,55,38,39,120,31,28,113,51,30,24
2020년12월_여_30~39세,875,385,26,44,37,36,103,29,32,96,25,30,32
2020년12월_여_40~49세,"1,108",471,38,55,49,48,148,43,41,118,39,31,27
2020년12월_여_50~59세,"2,019",476,90,146,106,132,267,87,102,277,137,94,105
2020년12월_여_60~69세,"2,325",497,111,178,142,144,357,106,148,323,123,104,92
2020년12월_여_70~79세,"2,399",431,154,128,147,180,359,149,162,272,150,137,130
2020년12월_여_80~89세,"2,000",340,135,107,125,153,298,112,161,238,120,91,120
2020년12월_여_90~99세,318,61,25,20,12,22,46,21,33,25,21,11,21
2020년12월_여_100세 이상,16,2,0,0,2,1,0,0,0,3,4,4,0
