카테고리,전라남도 영암군,전라남도 영암군 영암읍,전라남도 영암군 삼호읍,전라남도 영암군 삼호읍서부출장소,전라남도 영암군 덕진면,전라남도 영암군 금정면,전라남도 영암군 신북면,전라남도 영암군 시종면,전라남도 영암군 도포면,전라남도 영암군 군서면,전라남도 영암군 서호면,전라남도 영암군 학산면,전라남도 영암군 미암면
2020년10월_계_총인구수,"53,869","8,277","14,986","6,601","1,864","2,064","3,805","3,581","2,279","3,194","1,934","2,996","2,288"
2020년10월_계_연령구간인구수,"53,869","8,277","14,986","6,601","1,864","2,064","3,805","3,581","2,279","3,194","1,934","2,996","2,288"
2020년10월_계_0~9세,"3,635",611,"1,606",619,67,50,121,114,71,99,77,129,71
2020년10월_계_10~19세,"4,496",807,"1,796",722,100,75,191,132,108,168,82,205,110
2020년10월_계_20~29세,"5,060",868,"1,599",903,121,111,275,245,182,243,121,244,148
2020년10월_계_30~39세,"4,875",739,"1,919",883,105,94,242,183,134,162,107,164,143
2020년10월_계_40~49세,"7,500","1,067","2,885","1,284",171,202,395,334,187,299,151,301,224
2020년10월_계_50~59세,"9,421","1,480","2,484","1,321",313,379,672,602,426,546,302,503,393
2020년10월_계_60~69세,"7,959","1,169","1,454",485,340,437,784,803,459,598,380,568,482
2020년10월_계_70~79세,"6,347",917,824,244,323,401,660,671,390,633,385,489,410
2020년10월_계_80~89세,"4,011",515,379,121,289,276,412,432,297,389,287,332,282
2020년10월_계_90~99세,530,101,36,18,31,39,47,62,22,54,38,58,24
2020년10월_계_100세 이상,35,3,4,1,4,0,6,3,3,3,4,3,1
2020년10월_남_총인구수,"27,704","4,103","7,977","3,788",911,"1,037","1,907","1,770","1,158","1,529",919,"1,452","1,153"
2020년10월_남_연령구간인구수,"27,704","4,103","7,977","3,788",911,"1,037","1,907","1,770","1,158","1,529",919,"1,452","1,153"
2020년10월_남_0~9세,"1,818",320,755,316,41,22,51,65,49,61,34,70,34
2020년10월_남_10~19세,"2,398",438,960,381,44,47,105,73,67,92,47,94,50
2020년10월_남_20~29세,"2,921",479,873,558,71,62,185,151,108,137,74,130,93
2020년10월_남_30~39세,"2,661",373,983,523,68,55,143,110,84,92,58,84,88
2020년10월_남_40~49세,"4,452",561,"1,715",783,107,120,232,220,114,179,100,175,146
2020년10월_남_50~59세,"5,383",768,"1,436",817,194,231,366,358,235,302,171,287,218
2020년10월_남_60~69세,"4,057",578,768,273,160,249,402,386,255,284,182,275,245
2020년10월_남_70~79세,"2,662",399,377,100,126,164,272,292,150,251,152,206,173
2020년10월_남_80~89세,"1,239",162,102,34,89,79,137,109,91,121,97,117,101
2020년10월_남_90~99세,105,24,7,3,10,8,11,6,5,9,3,14,5
2020년10월_남_100세 이상,8,1,1,0,1,0,3,0,0,1,1,0,0
2020년10월_여_총인구수,"26,165","4,174","7,009","2,813",953,"1,027","1,898","1,811","1,121","1,665","1,015","1,544","1,135"
2020년10월_여_연령구간인구수,"26,165","4,174","7,009","2,813",953,"1,027","1,898","1,811","1,121","1,665","1,015","1,544","1,135"
2020년10월_여_0~9세,"1,817",291,851,303,26,28,70,49,22,38,43,59,37
2020년10월_여_10~19세,"2,098",369,836,341,56,28,86,59,41,76,35,111,60
2020년10월_여_20~29세,"2,139",389,726,345,50,49,90,94,74,106,47,114,55
2020년10월_여_30~39세,"2,214",366,936,360,37,39,99,73,50,70,49,80,55
2020년10월_여_40~49세,"3,048",506,"1,170",501,64,82,163,114,73,120,51,126,78
2020년10월_여_50~59세,"4,038",712,"1,048",504,119,148,306,244,191,244,131,216,175
2020년10월_여_60~69세,"3,902",591,686,212,180,188,382,417,204,314,198,293,237
2020년10월_여_70~79세,"3,685",518,447,144,197,237,388,379,240,382,233,283,237
2020년10월_여_80~89세,"2,772",353,277,87,200,197,275,323,206,268,190,215,181
2020년10월_여_90~99세,425,77,29,15,21,31,36,56,17,45,35,44,19
2020년10월_여_100세 이상,27,2,3,1,3,0,3,3,3,2,3,3,1
