카테고리,충청북도 음성군,충청북도 음성군 음성읍,충청북도 음성군 금왕읍,충청북도 음성군 소이면,충청북도 음성군 원남면,충청북도 음성군 맹동면,충청북도 음성군 대소면,충청북도 음성군 삼성면,충청북도 음성군 생극면,충청북도 음성군 감곡면
2020년11월_계_총인구수,"93,310","16,995","19,944","2,913","3,057","13,107","15,728","6,950","4,536","10,080"
2020년11월_계_연령구간인구수,"93,310","16,995","19,944","2,913","3,057","13,107","15,728","6,950","4,536","10,080"
2020년11월_계_0~9세,"5,951",916,"1,310",47,68,"1,592","1,102",244,170,502
2020년11월_계_10~19세,"7,679","1,389","2,007",118,142,"1,020","1,567",439,230,767
2020년11월_계_20~29세,"9,499","1,732","2,242",168,173,"1,431","1,777",603,339,"1,034"
2020년11월_계_30~39세,"9,747","1,535","1,989",178,177,"2,381","1,731",580,305,871
2020년11월_계_40~49세,"13,805","2,329","3,338",219,227,"2,187","2,842",888,477,"1,298"
2020년11월_계_50~59세,"17,789","3,257","3,900",540,543,"1,827","3,262","1,553",941,"1,966"
2020년11월_계_60~69세,"15,157","3,064","2,801",689,785,"1,486","1,977","1,398","1,036","1,921"
2020년11월_계_70~79세,"8,266","1,746","1,440",540,533,727,900,738,586,"1,056"
2020년11월_계_80~89세,"4,644",885,794,359,348,371,498,440,384,565
2020년11월_계_90~99세,716,134,109,52,57,69,72,63,63,97
2020년11월_계_100세 이상,57,8,14,3,4,16,0,4,5,3
2020년11월_남_총인구수,"49,477","8,686","10,647","1,484","1,595","7,009","8,608","3,859","2,468","5,121"
2020년11월_남_연령구간인구수,"49,477","8,686","10,647","1,484","1,595","7,009","8,608","3,859","2,468","5,121"
2020년11월_남_0~9세,"3,107",476,685,23,33,838,574,142,89,247
2020년11월_남_10~19세,"3,979",698,"1,098",63,88,508,821,237,111,355
2020년11월_남_20~29세,"5,536",985,"1,341",97,103,765,"1,071",373,224,577
2020년11월_남_30~39세,"5,471",846,"1,108",110,104,"1,282",991,364,193,473
2020년11월_남_40~49세,"7,778","1,258","1,834",144,152,"1,229","1,575",567,297,722
2020년11월_남_50~59세,"9,911","1,736","2,203",297,299,"1,002","1,896",890,542,"1,046"
2020년11월_남_60~69세,"8,007","1,547","1,440",360,428,848,"1,077",771,557,979
2020년11월_남_70~79세,"3,913",810,630,247,263,366,418,359,301,519
2020년11월_남_80~89세,"1,569",285,278,131,110,142,166,140,136,181
2020년11월_남_90~99세,180,41,27,12,14,15,19,14,16,22
2020년11월_남_100세 이상,26,4,3,0,1,14,0,2,2,0
2020년11월_여_총인구수,"43,833","8,309","9,297","1,429","1,462","6,098","7,120","3,091","2,068","4,959"
2020년11월_여_연령구간인구수,"43,833","8,309","9,297","1,429","1,462","6,098","7,120","3,091","2,068","4,959"
2020년11월_여_0~9세,"2,844",440,625,24,35,754,528,102,81,255
2020년11월_여_10~19세,"3,700",691,909,55,54,512,746,202,119,412
2020년11월_여_20~29세,"3,963",747,901,71,70,666,706,230,115,457
2020년11월_여_30~39세,"4,276",689,881,68,73,"1,099",740,216,112,398
2020년11월_여_40~49세,"6,027","1,071","1,504",75,75,958,"1,267",321,180,576
2020년11월_여_50~59세,"7,878","1,521","1,697",243,244,825,"1,366",663,399,920
2020년11월_여_60~69세,"7,150","1,517","1,361",329,357,638,900,627,479,942
2020년11월_여_70~79세,"4,353",936,810,293,270,361,482,379,285,537
2020년11월_여_80~89세,"3,075",600,516,228,238,229,332,300,248,384
2020년11월_여_90~99세,536,93,82,40,43,54,53,49,47,75
2020년11월_여_100세 이상,31,4,11,3,3,2,0,2,3,3
