카테고리,경기도 고양시,경기도 고양시 덕양구,경기도 고양시 덕양구 주교동,경기도 고양시 덕양구 원신동,경기도 고양시 덕양구 흥도동,경기도 고양시 덕양구 성사1동,경기도 고양시 덕양구 성사2동,경기도 고양시 덕양구 효자동,경기도 고양시 덕양구 삼송동,경기도 고양시 덕양구 창릉동,경기도 고양시 덕양구 고양동,경기도 고양시 덕양구 관산동,경기도 고양시 덕양구 능곡동,경기도 고양시 덕양구 화정1동,경기도 고양시 덕양구 화정2동,경기도 고양시 덕양구 행주동,경기도 고양시 덕양구 행신1동,경기도 고양시 덕양구 행신2동,경기도 고양시 덕양구 행신3동,경기도 고양시 덕양구 화전동,경기도 고양시 덕양구 대덕동,경기도 고양시 일산동구,경기도 고양시 일산동구 식사동,경기도 고양시 일산동구 중산동,경기도 고양시 일산동구 정발산동,경기도 고양시 일산동구 풍산동,경기도 고양시 일산동구 백석1동,경기도 고양시 일산동구 백석2동,경기도 고양시 일산동구 마두1동,경기도 고양시 일산동구 마두2동,경기도 고양시 일산동구 장항1동,경기도 고양시 일산동구 장항2동,경기도 고양시 일산동구 고봉동,경기도 고양시 일산서구,경기도 고양시 일산서구 일산1동,경기도 고양시 일산서구 일산2동,경기도 고양시 일산서구 일산3동,경기도 고양시 일산서구 탄현동,경기도 고양시 일산서구 주엽1동,경기도 고양시 일산서구 주엽2동,경기도 고양시 일산서구 대화동,경기도 고양시 일산서구 송포동,경기도 고양시 일산서구 송산동
2020년09월_계_총인구수,"1,075,841","473,594","15,192","23,830","45,307","21,886","11,522","11,256","22,316","20,539","30,589","36,629","15,768","38,303","33,617","19,313","22,254","32,694","46,310","23,726","2,543","298,901","34,611","47,550","23,810","39,311","30,955","20,990","24,629","16,702","10,692","26,699","22,952","303,346","27,847","18,809","36,267","52,451","28,226","29,461","36,406","21,830","52,049"
2020년09월_계_연령구간인구수,"1,075,841","473,594","15,192","23,830","45,307","21,886","11,522","11,256","22,316","20,539","30,589","36,629","15,768","38,303","33,617","19,313","22,254","32,694","46,310","23,726","2,543","298,901","34,611","47,550","23,810","39,311","30,955","20,990","24,629","16,702","10,692","26,699","22,952","303,346","27,847","18,809","36,267","52,451","28,226","29,461","36,406","21,830","52,049"
2020년09월_계_0~9세,"82,844","38,612",585,"3,201","5,537","1,345",668,"1,525","2,215","2,532","2,338","2,191",933,"2,102","2,741",748,"1,459","2,351","2,843","3,213",85,"21,058","3,359","3,504","1,252","3,293","2,107",930,"1,466","1,245","1,366","1,128","1,408","23,174","2,057",959,"2,684","4,765","1,959","2,038","2,311","1,664","4,737"
2020년09월_계_10~19세,"105,721","41,601","1,251","1,917","3,879","1,897","1,087",791,"1,438","1,481","3,198","2,868","1,251","3,751","3,849","1,275","2,107","2,907","4,975","1,537",142,"29,857","4,678","4,551","2,172","4,580","2,827","1,368","3,334","2,230",938,"1,598","1,581","34,263","2,728","1,529","5,912","5,702","3,330","3,236","3,089","2,341","6,396"
2020년09월_계_20~29세,"150,695","62,723","2,149","2,328","5,116","3,005","1,448","1,482","2,702","2,324","3,580","4,366","2,131","6,262","4,634","2,895","3,148","5,075","6,983","2,676",419,"44,979","4,744","7,038","4,059","5,414","5,020","3,459","3,872","2,300","1,137","5,009","2,927","42,993","4,025","2,809","4,851","7,552","3,708","3,882","6,397","3,121","6,648"
2020년09월_계_30~39세,"142,115","67,061","1,521","4,120","7,824","2,510","1,298","2,390","4,243","4,553","3,410","4,178","1,813","4,311","4,354","2,312","2,768","4,956","5,161","5,075",264,"38,222","3,759","5,623","2,912","4,756","4,551","3,406","2,286","1,605","1,645","4,775","2,904","36,832","3,255","1,970","3,522","7,181","3,283","3,404","5,383","2,951","5,883"
2020년09월_계_40~49세,"182,994","78,495","2,228","4,294","8,412","3,552","1,800","1,822","3,597","3,561","5,341","5,747","2,324","6,030","6,349","2,824","3,602","5,090","7,657","3,959",306,"51,582","6,932","7,485","3,696","6,968","5,129","3,810","4,254","3,006","1,950","4,850","3,502","52,917","4,463","2,628","7,320","9,371","4,785","4,889","5,701","3,816","9,944"
2020년09월_계_50~59세,"194,089","82,449","3,215","3,288","6,363","4,235","2,095","1,543","3,241","2,583","5,054","6,942","3,198","7,613","5,786","4,080","4,269","6,028","9,307","3,131",478,"55,683","6,198","9,269","4,539","6,947","5,725","3,856","4,851","3,131","1,860","4,755","4,552","55,957","5,271","4,241","6,538","9,530","5,011","5,253","6,802","3,952","9,359"
2020년09월_계_60~69세,"118,257","55,512","2,303","2,761","4,585","2,877","1,582",939,"2,655","2,014","4,014","5,657","2,254","3,998","3,051","2,896","2,711","3,312","5,040","2,413",450,"31,973","2,845","5,504","2,913","4,130","3,247","2,246","2,532","1,548","1,156","2,426","3,426","30,772","3,197","2,647","3,093","4,475","3,000","3,140","3,774","2,238","5,208"
2020년09월_계_70~79세,"61,649","30,205","1,240","1,301","2,445","1,569",941,485,"1,516","1,024","2,441","3,102","1,202","2,571","1,709","1,442","1,368","1,839","2,626","1,118",266,"15,486","1,349","2,730","1,437","1,995","1,479","1,154","1,193",847,445,"1,239","1,618","15,958","1,824","1,243","1,358","2,329","1,752","1,974","1,861","1,100","2,517"
