카테고리,경상북도 안동시,경상북도 안동시 풍산읍,경상북도 안동시 와룡면,경상북도 안동시 북후면,경상북도 안동시 서후면,경상북도 안동시 풍천면,경상북도 안동시 일직면,경상북도 안동시 남후면,경상북도 안동시 남선면,경상북도 안동시 임하면,경상북도 안동시 길안면,경상북도 안동시 임동면,경상북도 안동시 예안면,경상북도 안동시 도산면,경상북도 안동시 녹전면,경상북도 안동시 중구동,경상북도 안동시 명륜동,경상북도 안동시 용상동,경상북도 안동시 서구동,경상북도 안동시 태화동,경상북도 안동시 평화동,경상북도 안동시 안기동,경상북도 안동시 옥동,경상북도 안동시 송하동,경상북도 안동시 강남동
2020년09월_계_총인구수,"158,929","6,425","4,120","3,046","3,587","6,518","2,823","1,818","2,121","2,902","2,723","1,754","1,883","1,642","1,773","5,102","5,076","22,287","9,245","13,455","6,415","6,341","21,948","15,541","10,384"
2020년09월_계_연령구간인구수,"158,929","6,425","4,120","3,046","3,587","6,518","2,823","1,818","2,121","2,902","2,723","1,754","1,883","1,642","1,773","5,102","5,076","22,287","9,245","13,455","6,415","6,341","21,948","15,541","10,384"
2020년09월_계_0~9세,"10,807",196,99,70,86,391,49,35,58,63,48,32,44,26,29,253,316,"1,933",671,936,398,369,"2,092","1,490","1,123"
2020년09월_계_10~19세,"13,837",290,211,91,143,359,134,70,84,111,74,48,55,48,72,340,426,"2,372",894,985,551,601,"2,640","1,694","1,544"
2020년09월_계_20~29세,"16,620",470,314,153,316,865,147,77,160,193,130,81,85,69,65,521,535,"2,962",846,"1,456",652,682,"2,737","1,860","1,244"
2020년09월_계_30~39세,"15,616",371,199,171,216,934,120,82,138,157,124,61,85,67,74,511,445,"2,584",855,"1,581",619,582,"2,527","1,969","1,144"
2020년09월_계_40~49세,"22,471",591,342,326,369,774,258,164,175,278,184,151,119,119,144,645,722,"3,586","1,399","1,892",923,907,"3,806","2,531","2,066"
2020년09월_계_50~59세,"26,604","1,117",697,555,611,926,465,300,445,538,514,312,388,298,302,845,958,"3,507","1,478","2,281","1,049","1,199","3,610","2,668","1,541"
2020년09월_계_60~69세,"25,200","1,384",887,638,844,964,621,389,462,689,683,461,470,431,452,905,822,"2,751","1,486","2,198","1,150","1,118","2,568","1,903",924
2020년09월_계_70~79세,"16,692","1,122",750,558,546,766,574,371,330,487,560,344,362,339,361,702,552,"1,628","1,017","1,404",697,620,"1,221",876,505
2020년09월_계_80~89세,"9,566",763,536,416,374,465,387,281,229,321,362,237,249,208,246,322,265,841,526,637,316,229,641,468,247
2020년09월_계_90~99세,"1,453",114,81,67,82,70,65,48,40,63,43,22,24,37,27,56,35,117,68,78,58,34,104,77,43
2020년09월_계_100세 이상,63,7,4,1,0,4,3,1,0,2,1,5,2,0,1,2,0,6,5,7,2,0,2,5,3
2020년09월_남_총인구수,"78,704","3,246","2,128","1,599","1,880","3,350","1,372",902,"1,082","1,518","1,372",899,971,860,921,"2,497","2,469","11,044","4,458","6,677","3,122","3,149","10,468","7,569","5,151"
2020년09월_남_연령구간인구수,"78,704","3,246","2,128","1,599","1,880","3,350","1,372",902,"1,082","1,518","1,372",899,971,860,921,"2,497","2,469","11,044","4,458","6,677","3,122","3,149","10,468","7,569","5,151"
2020년09월_남_0~9세,"5,684",104,55,38,41,199,25,18,31,27,19,21,25,13,20,140,178,"1,017",363,479,196,199,"1,089",794,593
2020년09월_남_10~19세,"7,258",159,128,55,89,184,86,42,41,58,39,23,36,28,33,180,208,"1,225",461,534,295,309,"1,357",867,821
2020년09월_남_20~29세,"9,102",275,185,106,174,471,85,46,98,118,73,48,56,42,38,296,291,"1,655",447,812,374,369,"1,394","1,003",646
2020년09월_남_30~39세,"8,091",212,108,110,135,528,66,54,81,94,74,39,52,43,49,244,222,"1,304",430,833,335,323,"1,230",995,530
2020년09월_남_40~49세,"11,708",365,216,219,229,439,161,108,111,179,136,98,79,88,95,362,383,"1,793",705,991,475,455,"1,823","1,216",982
2020년09월_남_50~59세,"13,575",616,394,325,352,524,262,168,238,329,297,183,205,175,168,443,482,"1,747",741,"1,112",484,578,"1,697","1,254",801
2020년09월_남_60~69세,"12,211",698,462,322,448,470,290,205,241,366,367,252,251,214,255,391,380,"1,291",655,"1,025",509,512,"1,199",949,459
2020년09월_남_70~79세,"7,451",524,351,260,266,349,256,163,156,230,223,144,166,163,176,314,240,705,449,635,322,304,479,346,230
2020년09월_남_80~89세,"3,297",259,206,149,129,165,127,94,76,99,132,83,95,83,80,116,77,283,189,240,123,90,187,134,81
2020년09월_남_90~99세,312,32,23,15,17,19,14,4,9,18,12,8,6,11,6,9,8,21,18,14,9,10,12,9,8
2020년09월_남_100세 이상,15,2,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,3,0,2,0,0,1,2,0
