,서울특별시 종로구,서울특별시 종로구 청운효자동,서울특별시 종로구 사직동,서울특별시 종로구 삼청동,서울특별시 종로구 부암동,서울특별시 종로구 평창동,서울특별시 종로구 무악동,서울특별시 종로구 교남동,서울특별시 종로구 가회동,서울특별시 종로구 종로1.2.3.4가동,서울특별시 종로구 종로5.6가동,서울특별시 종로구 이화동,서울특별시 종로구 혜화동,서울특별시 종로구 창신제1동,서울특별시 종로구 창신제2동,서울특별시 종로구 창신제3동,서울특별시 종로구 숭인제1동,서울특별시 종로구 숭인제2동
2021년05월_계_총인구수,"146,377","12,042","9,367","2,497","9,737","18,230","8,329","10,178","4,205","7,265","5,243","7,359","16,570","4,965","8,077","6,704","5,993","9,616"
2021년05월_계_연령구간인구수,"146,377","12,042","9,367","2,497","9,737","18,230","8,329","10,178","4,205","7,265","5,243","7,359","16,570","4,965","8,077","6,704","5,993","9,616"
2021년05월_계_0~9세,"7,278",776,567,106,524,"1,167",686,827,186,187,109,234,649,131,219,368,279,263
2021년05월_계_10~19세,"10,791","1,146",671,183,891,"1,603",995,819,329,230,277,397,"1,362",230,466,497,355,340
2021년05월_계_20~29세,"23,219","1,565","1,242",310,"1,294","2,422",915,"1,246",490,926,"1,107","1,630","4,407",611,"1,161",946,799,"2,148"
2021년05월_계_30~39세,"19,637","1,601","1,446",328,"1,208","2,224",939,"1,630",563,932,736,"1,237","2,058",532,878,929,815,"1,581"
2021년05월_계_40~49세,"21,500","2,122","1,463",352,"1,590","2,700","1,429","1,804",725,956,579,927,"2,186",598,"1,027",916,891,"1,235"
2021년05월_계_50~59세,"25,032","1,914","1,515",387,"1,692","3,248","1,408","1,592",709,"1,337",915,"1,089","2,328","1,065","1,793","1,240","1,148","1,652"
2021년05월_계_60~69세,"20,123","1,379","1,201",404,"1,317","2,604","1,013","1,168",579,"1,412",767,937,"1,635","1,022","1,398","1,022",906,"1,359"
2021년05월_계_70~79세,"11,824",943,717,251,765,"1,330",594,721,399,833,503,559,"1,185",512,772,510,525,705
2021년05월_계_80~89세,"5,964",519,458,142,378,766,303,326,187,384,218,309,659,230,316,237,235,297
2021년05월_계_90~99세,949,70,82,28,74,158,44,44,36,63,31,38,96,34,44,38,34,35
2021년05월_계_100세 이상,60,7,5,6,4,8,3,1,2,5,1,2,5,0,3,1,6,1
2021년05월_남_총인구수,"71,204","5,582","4,220","1,192","4,658","8,502","3,887","4,700","1,945","4,328","2,813","3,485","7,988","2,669","4,140","3,290","2,904","4,901"
2021년05월_남_연령구간인구수,"71,204","5,582","4,220","1,192","4,658","8,502","3,887","4,700","1,945","4,328","2,813","3,485","7,988","2,669","4,140","3,290","2,904","4,901"
2021년05월_남_0~9세,"3,651",393,287,48,260,597,314,418,94,98,53,118,311,64,121,198,145,132
2021년05월_남_10~19세,"5,354",614,298,104,472,803,449,381,175,109,134,188,675,124,240,246,162,180
2021년05월_남_20~29세,"11,343",774,578,163,686,"1,216",425,587,226,471,554,765,"2,161",326,604,510,396,901
2021년05월_남_30~39세,"9,760",732,625,154,585,"1,032",434,737,259,530,421,614,"1,098",308,518,450,419,844
2021년05월_남_40~49세,"10,476",953,651,167,735,"1,208",672,846,345,585,346,458,"1,051",311,536,457,461,694
2021년05월_남_50~59세,"12,632",881,685,197,768,"1,489",734,768,330,935,522,541,"1,128",606,947,594,575,932
2021년05월_남_60~69세,"10,025",619,567,187,630,"1,212",468,537,269,909,443,444,792,579,706,509,427,727
2021년05월_남_70~79세,"5,244",380,295,113,343,599,250,283,162,486,234,236,482,259,325,228,216,353
2021년05월_남_80~89세,"2,405",212,200,47,156,303,126,131,75,183,98,107,261,81,126,81,90,128
2021년05월_남_90~99세,295,23,32,11,22,40,13,12,9,19,8,13,29,11,17,16,10,10
2021년05월_남_100세 이상,19,1,2,1,1,3,2,0,1,3,0,1,0,0,0,1,3,0
2021년05월_여_총인구수,"75,173","6,460","5,147","1,305","5,079","9,728","4,442","5,478","2,260","2,937","2,430","3,874","8,582","2,296","3,937","3,414","3,089","4,715"
2021년05월_여_연령구간인구수,"75,173","6,460","5,147","1,305","5,079","9,728","4,442","5,478","2,260","2,937","2,430","3,874","8,582","2,296","3,937","3,414","3,089","4,715"
2021년05월_여_0~9세,"3,627",383,280,58,264,570,372,409,92,89,56,116,338,67,98,170,134,131
2021년05월_여_10~19세,"5,437",532,373,79,419,800,546,438,154,121,143,209,687,106,226,251,193,160
2021년05월_여_20~29세,"11,876",791,664,147,608,"1,206",490,659,264,455,553,865,"2,246",285,557,436,403,"1,247"
2021년05월_여_30~39세,"9,877",869,821,174,623,"1,192",505,893,304,402,315,623,960,224,360,479,396,737
2021년05월_여_40~49세,"11,024","1,169",812,185,855,"1,492",757,958,380,371,233,469,"1,135",287,491,459,430,541
2021년05월_여_50~59세,"12,400","1,033",830,190,924,"1,759",674,824,379,402,393,548,"1,200",459,846,646,573,720
2021년05월_여_60~69세,"10,098",760,634,217,687,"1,392",545,631,310,503,324,493,843,443,692,513,479,632
2021년05월_여_70~79세,"6,580",563,422,138,422,731,344,438,237,347,269,323,703,253,447,282,309,352
2021년05월_여_80~89세,"3,559",307,258,95,222,463,177,195,112,201,120,202,398,149,190,156,145,169
2021년05월_여_90~99세,654,47,50,17,52,118,31,32,27,44,23,25,67,23,27,22,24,25
2021년05월_여_100세 이상,41,6,3,5,3,5,1,1,1,2,1,1,5,0,3,0,3,1
