카테고리,부산광역시 영도구,부산광역시 영도구 남항동,부산광역시 영도구 영선제1동,부산광역시 영도구 영선제2동,부산광역시 영도구 신선동,부산광역시 영도구 봉래제1동,부산광역시 영도구 봉래제2동,부산광역시 영도구 청학제1동,부산광역시 영도구 청학제2동,부산광역시 영도구 동삼제1동,부산광역시 영도구 동삼제2동,부산광역시 영도구 동삼제3동
2021년06월_계_총인구수,"111,685","10,841","3,977","8,462","8,582","6,874","7,315","6,315","17,900","27,839","3,462","10,118"
2021년06월_계_연령구간인구수,"111,685","10,841","3,977","8,462","8,582","6,874","7,315","6,315","17,900","27,839","3,462","10,118"
2021년06월_계_0~9세,"5,008",384,156,352,210,325,447,321,960,"1,392",168,293
2021년06월_계_10~19세,"7,218",505,229,539,447,402,469,430,"1,391","2,108",171,527
2021년06월_계_20~29세,"11,792","1,087",412,884,769,692,696,555,"1,869","3,382",580,866
2021년06월_계_30~39세,"10,402","1,040",354,802,604,666,754,593,"1,730","2,737",325,797
2021년06월_계_40~49세,"14,874","1,403",519,"1,054","1,034",945,"1,043",902,"2,550","3,797",439,"1,188"
2021년06월_계_50~59세,"18,844","1,877",655,"1,420","1,528","1,080","1,183","1,000","3,087","4,792",467,"1,755"
2021년06월_계_60~69세,"22,326","2,273",859,"1,671","1,800","1,431","1,289","1,233","3,421","5,280",663,"2,406"
2021년06월_계_70~79세,"14,457","1,538",539,"1,185","1,420",853,998,887,"2,006","2,989",473,"1,569"
2021년06월_계_80~89세,"6,022",643,232,490,704,405,406,342,794,"1,210",152,644
2021년06월_계_90~99세,689,87,21,62,64,55,29,51,89,144,22,65
2021년06월_계_100세 이상,53,4,1,3,2,20,1,1,3,8,2,8
2021년06월_남_총인구수,"55,061","5,402","1,906","4,114","4,315","3,383","3,568","3,091","8,918","13,592","1,837","4,935"
2021년06월_남_연령구간인구수,"55,061","5,402","1,906","4,114","4,315","3,383","3,568","3,091","8,918","13,592","1,837","4,935"
2021년06월_남_0~9세,"2,538",194,83,187,116,171,207,168,485,682,91,154
2021년06월_남_10~19세,"3,709",263,117,285,234,194,237,226,730,"1,070",86,267
2021년06월_남_20~29세,"6,469",556,215,487,429,364,377,296,"1,029","1,862",369,485
2021년06월_남_30~39세,"5,626",573,181,433,347,363,415,314,954,"1,436",186,424
2021년06월_남_40~49세,"7,771",771,269,521,598,511,544,476,"1,297","1,886",255,643
2021년06월_남_50~59세,"9,698","1,044",311,698,881,570,620,525,"1,569","2,309",252,919
2021년06월_남_60~69세,"10,691","1,104",388,791,877,679,588,574,"1,628","2,552",328,"1,182"
2021년06월_남_70~79세,"6,298",651,241,519,577,380,416,384,924,"1,350",207,649
2021년06월_남_80~89세,"2,121",234,97,175,249,135,158,116,286,415,55,201
2021년06월_남_90~99세,135,12,4,18,6,15,6,12,16,29,7,10
2021년06월_남_100세 이상,5,0,0,0,1,1,0,0,0,1,1,1
2021년06월_여_총인구수,"56,624","5,439","2,071","4,348","4,267","3,491","3,747","3,224","8,982","14,247","1,625","5,183"
2021년06월_여_연령구간인구수,"56,624","5,439","2,071","4,348","4,267","3,491","3,747","3,224","8,982","14,247","1,625","5,183"
2021년06월_여_0~9세,"2,470",190,73,165,94,154,240,153,475,710,77,139
2021년06월_여_10~19세,"3,509",242,112,254,213,208,232,204,661,"1,038",85,260
2021년06월_여_20~29세,"5,323",531,197,397,340,328,319,259,840,"1,520",211,381
2021년06월_여_30~39세,"4,776",467,173,369,257,303,339,279,776,"1,301",139,373
2021년06월_여_40~49세,"7,103",632,250,533,436,434,499,426,"1,253","1,911",184,545
2021년06월_여_50~59세,"9,146",833,344,722,647,510,563,475,"1,518","2,483",215,836
2021년06월_여_60~69세,"11,635","1,169",471,880,923,752,701,659,"1,793","2,728",335,"1,224"
2021년06월_여_70~79세,"8,159",887,298,666,843,473,582,503,"1,082","1,639",266,920
2021년06월_여_80~89세,"3,901",409,135,315,455,270,248,226,508,795,97,443
2021년06월_여_90~99세,554,75,17,44,58,40,23,39,73,115,15,55
2021년06월_여_100세 이상,48,4,1,3,1,19,1,1,3,7,1,7
