카테고리,부산광역시 연제구,부산광역시 연제구 거제제1동,부산광역시 연제구 거제제2동,부산광역시 연제구 거제제3동,부산광역시 연제구 거제제4동,부산광역시 연제구 연산제1동,부산광역시 연제구 연산제2동,부산광역시 연제구 연산제3동,부산광역시 연제구 연산제4동,부산광역시 연제구 연산제5동,부산광역시 연제구 연산제6동,부산광역시 연제구 연산제8동,부산광역시 연제구 연산제9동
2020년01월_계_총인구수,"209,980","30,559","12,808","10,576","11,092","16,950","17,125","7,829","17,188","16,325","17,681","14,930","36,917"
2020년01월_계_연령구간인구수,"209,980","30,559","12,808","10,576","11,092","16,950","17,125","7,829","17,188","16,325","17,681","14,930","36,917"
2020년01월_계_0~9세,"15,425","2,848","1,164",561,804,"1,377","1,525",258,808,830,"1,106","1,337","2,807"
2020년01월_계_10~19세,"16,994","3,728","1,611",750,"1,043","1,295","1,065",444,950,688,"1,077","1,189","3,154"
2020년01월_계_20~29세,"26,406","3,307","1,352","1,224","1,288","1,955","2,083",854,"2,506","3,328","2,075","1,767","4,667"
2020년01월_계_30~39세,"28,256","3,514","1,361","1,159","1,340","2,350","2,908",831,"2,155","3,269","2,512","1,991","4,866"
2020년01월_계_40~49세,"32,106","5,713","2,428","1,452","1,668","2,532","2,424","1,055","2,324","2,296","2,391","2,290","5,533"
2020년01월_계_50~59세,"34,780","4,789","2,005","1,756","1,935","2,801","2,709","1,412","3,008","2,334","2,877","2,580","6,574"
2020년01월_계_60~69세,"31,166","3,556","1,599","1,747","1,729","2,683","2,348","1,606","3,056","2,022","2,992","2,240","5,588"
2020년01월_계_70~79세,"17,564","2,178",902,"1,266",882,"1,399","1,458",999,"1,724","1,119","1,902","1,123","2,612"
2020년01월_계_80~89세,"6,401",812,347,573,351,498,525,329,580,401,664,358,963
2020년01월_계_90~99세,804,111,30,80,50,52,72,36,73,31,76,48,145
2020년01월_계_100세 이상,78,3,9,8,2,8,8,5,4,7,9,7,8
2020년01월_남_총인구수,"101,486","14,839","6,176","5,003","5,443","8,278","8,236","3,731","8,278","7,807","8,598","7,332","17,765"
2020년01월_남_연령구간인구수,"101,486","14,839","6,176","5,003","5,443","8,278","8,236","3,731","8,278","7,807","8,598","7,332","17,765"
2020년01월_남_0~9세,"7,847","1,490",549,300,405,693,782,134,397,415,563,689,"1,430"
2020년01월_남_10~19세,"8,789","2,002",775,394,574,686,526,219,481,356,583,607,"1,586"
2020년01월_남_20~29세,"13,485","1,707",738,603,706,"1,051","1,032",451,"1,203","1,419","1,105",947,"2,523"
2020년01월_남_30~39세,"14,170","1,649",644,594,683,"1,179","1,455",442,"1,152","1,634","1,332",964,"2,442"
2020년01월_남_40~49세,"15,748","2,654","1,184",725,801,"1,251","1,234",527,"1,167","1,217","1,227","1,161","2,600"
2020년01월_남_50~59세,"16,387","2,374",962,813,906,"1,293","1,273",651,"1,428","1,106","1,372","1,245","2,964"
2020년01월_남_60~69세,"14,470","1,634",771,793,831,"1,254","1,054",744,"1,406",956,"1,339","1,051","2,637"
2020년01월_남_70~79세,"7,989",959,413,550,400,662,666,438,810,531,806,528,"1,226"
2020년01월_남_80~89세,"2,394",339,131,205,129,192,196,117,217,162,251,127,328
2020년01월_남_90~99세,187,30,7,24,8,15,15,7,16,9,18,10,28
2020년01월_남_100세 이상,20,1,2,2,0,2,3,1,1,2,2,3,1
2020년01월_여_총인구수,"108,494","15,720","6,632","5,573","5,649","8,672","8,889","4,098","8,910","8,518","9,083","7,598","19,152"
2020년01월_여_연령구간인구수,"108,494","15,720","6,632","5,573","5,649","8,672","8,889","4,098","8,910","8,518","9,083","7,598","19,152"
2020년01월_여_0~9세,"7,578","1,358",615,261,399,684,743,124,411,415,543,648,"1,377"
2020년01월_여_10~19세,"8,205","1,726",836,356,469,609,539,225,469,332,494,582,"1,568"
2020년01월_여_20~29세,"12,921","1,600",614,621,582,904,"1,051",403,"1,303","1,909",970,820,"2,144"
2020년01월_여_30~39세,"14,086","1,865",717,565,657,"1,171","1,453",389,"1,003","1,635","1,180","1,027","2,424"
2020년01월_여_40~49세,"16,358","3,059","1,244",727,867,"1,281","1,190",528,"1,157","1,079","1,164","1,129","2,933"
2020년01월_여_50~59세,"18,393","2,415","1,043",943,"1,029","1,508","1,436",761,"1,580","1,228","1,505","1,335","3,610"
2020년01월_여_60~69세,"16,696","1,922",828,954,898,"1,429","1,294",862,"1,650","1,066","1,653","1,189","2,951"
2020년01월_여_70~79세,"9,575","1,219",489,716,482,737,792,561,914,588,"1,096",595,"1,386"
2020년01월_여_80~89세,"4,007",473,216,368,222,306,329,212,363,239,413,231,635
2020년01월_여_90~99세,617,81,23,56,42,37,57,29,57,22,58,38,117
2020년01월_여_100세 이상,58,2,7,6,2,6,5,4,3,5,7,4,7
