카테고리,대구광역시 달서구,대구광역시 달서구 성당동,대구광역시 달서구 두류1.2동,대구광역시 달서구 두류3동,대구광역시 달서구 감삼동,대구광역시 달서구 죽전동,대구광역시 달서구 장기동,대구광역시 달서구 용산1동,대구광역시 달서구 용산2동,대구광역시 달서구 이곡1동,대구광역시 달서구 이곡2동,대구광역시 달서구 신당동,대구광역시 달서구 본리동,대구광역시 달서구 월성1동,대구광역시 달서구 월성2동,대구광역시 달서구 진천동,대구광역시 달서구 상인1동,대구광역시 달서구 상인2동,대구광역시 달서구 상인3동,대구광역시 달서구 도원동,대구광역시 달서구 송현1동,대구광역시 달서구 송현2동,대구광역시 달서구 본동
2021년02월_계_총인구수,"555,948","23,971","14,645","8,525","27,434","13,905","17,561","31,590","29,353","23,601","16,757","31,909","22,020","43,762","16,393","76,611","38,967","20,163","11,417","36,230","19,697","18,423","13,014"
2021년02월_계_연령구간인구수,"555,948","23,971","14,645","8,525","27,434","13,905","17,561","31,590","29,353","23,601","16,757","31,909","22,020","43,762","16,393","76,611","38,967","20,163","11,417","36,230","19,697","18,423","13,014"
2021년02월_계_0~9세,"39,466","1,626",566,380,"2,059",620,"1,323","2,007","1,794","1,320",865,"1,384","2,193","5,060",591,"8,806","2,942","1,112",349,"2,270",828,743,628
2021년02월_계_10~19세,"54,706","2,033",713,568,"2,303",964,"1,663","3,536","2,920","2,476","1,367","2,389","2,187","8,302","1,157","8,345","4,763","1,462",586,"3,519","1,284","1,211",958
2021년02월_계_20~29세,"78,411","2,888","2,348","1,269","4,172","2,312","2,482","4,995","4,687","4,130","2,561","6,805","2,611","4,259","1,765","9,078","5,251","3,473","1,224","5,024","2,894","2,514","1,669"
2021년02월_계_30~39세,"65,730","2,794","1,889",955,"3,725","1,718","2,236","3,324","3,296","2,525","2,148","3,662","3,105","4,505","1,273","11,217","4,010","2,842","1,046","3,826","2,244","1,929","1,461"
2021년02월_계_40~49세,"88,715","3,583","1,814","1,138","4,084","1,956","2,766","5,224","4,560","3,693","2,356","4,537","4,055","10,693","2,253","13,650","6,341","2,626","1,234","5,152","2,714","2,361","1,925"
2021년02월_계_50~59세,"103,239","4,207","2,569","1,497","5,135","2,775","3,379","6,696","6,534","5,275","3,511","6,411","3,767","6,059","3,070","11,967","7,248","3,811","2,230","7,287","3,814","3,426","2,571"
2021년02월_계_60~69세,"74,345","3,848","2,515","1,392","3,718","2,185","2,261","3,590","3,476","2,556","2,650","3,842","2,596","2,955","3,148","8,229","5,122","2,992","2,650","5,707","3,322","3,419","2,172"
2021년02월_계_70~79세,"34,527","2,085","1,536",876,"1,594",945,"1,034","1,536","1,390","1,080",909,"1,883","1,058","1,302","2,058","3,643","2,132","1,225","1,369","2,236","1,749","1,817","1,070"
