카테고리,경기도 안양시,경기도 안양시 만안구,경기도 안양시 만안구 안양1동,경기도 안양시 만안구 안양2동,경기도 안양시 만안구 안양3동,경기도 안양시 만안구 안양4동,경기도 안양시 만안구 안양5동,경기도 안양시 만안구 안양6동,경기도 안양시 만안구 안양7동,경기도 안양시 만안구 안양8동,경기도 안양시 만안구 안양9동,경기도 안양시 만안구 석수1동,경기도 안양시 만안구 석수2동,경기도 안양시 만안구 석수3동,경기도 안양시 만안구 박달1동,경기도 안양시 만안구 박달2동,경기도 안양시 동안구,경기도 안양시 동안구 비산1동,경기도 안양시 동안구 비산2동,경기도 안양시 동안구 비산3동,경기도 안양시 동안구 부흥동,경기도 안양시 동안구 달안동,경기도 안양시 동안구 관양1동,경기도 안양시 동안구 관양2동,경기도 안양시 동안구 부림동,경기도 안양시 동안구 평촌동,경기도 안양시 동안구 평안동,경기도 안양시 동안구 귀인동,경기도 안양시 동안구 호계1동,경기도 안양시 동안구 호계2동,경기도 안양시 동안구 호계3동,경기도 안양시 동안구 범계동,경기도 안양시 동안구 신촌동,경기도 안양시 동안구 갈산동
2020년10월_계_총인구수,"552,154","240,364","12,762","21,860","16,834","7,274","11,000","21,050","15,996","11,035","17,697","19,987","32,657","13,799","15,425","22,988","311,790","21,717","11,147","18,688","17,685","11,188","37,240","19,444","27,506","15,145","24,169","16,898","8,219","20,556","22,107","15,509","13,334","11,238"
2020년10월_계_연령구간인구수,"552,154","240,364","12,762","21,860","16,834","7,274","11,000","21,050","15,996","11,035","17,697","19,987","32,657","13,799","15,425","22,988","311,790","21,717","11,147","18,688","17,685","11,188","37,240","19,444","27,506","15,145","24,169","16,898","8,219","20,556","22,107","15,509","13,334","11,238"
2020년10월_계_0~9세,"39,877","15,798",965,"1,220",882,275,502,"1,155","1,811",482,"1,026","1,470","2,231",962,710,"2,107","24,079","1,825",834,985,"1,488",756,"2,195","1,267","2,398","1,391","2,480","1,427",997,"1,475","1,664","1,183",975,739
2020년10월_계_10~19세,"52,825","19,026","1,100","1,533","1,324",494,782,"1,329","1,332",725,"1,296","1,563","2,662","1,357","1,185","2,344","33,799","2,260","1,091","1,435","2,284",732,"3,021","1,461","2,451","1,707","3,795","3,448",751,"1,740","2,108","2,339","1,619","1,557"
2020년10월_계_20~29세,"78,012","34,692","1,957","3,465","2,486","1,079","1,457","3,230","2,042","1,637","2,534","2,617","4,703","1,980","2,163","3,342","43,320","2,943","1,601","2,866","2,137","1,486","5,981","3,032","3,638","2,194","2,620","1,879",954,"3,263","3,269","1,995","1,940","1,522"
2020년10월_계_30~39세,"76,895","33,156","1,886","3,019","2,219",948,"1,399","3,535","2,797","1,510","2,146","2,731","4,268","1,597","1,668","3,433","43,739","2,808","1,423","2,426","2,239","2,346","4,885","3,053","5,877","1,886","3,291","1,254","1,593","3,078","3,004","1,860","1,615","1,101"
2020년10월_계_40~49세,"88,486","35,429","2,031","3,053","2,380","1,015","1,537","3,112","2,619","1,496","2,331","3,039","4,868","2,130","2,295","3,523","53,057","3,537","1,695","2,429","3,358","1,866","5,177","3,009","5,148","2,576","5,376","4,045","1,459","2,872","3,281","3,044","2,187","1,998"
2020년10월_계_50~59세,"98,036","43,775","2,224","4,038","3,082","1,343","2,044","3,596","2,641","2,055","3,370","3,547","6,207","2,599","3,122","3,907","54,261","3,951","2,125","3,805","2,766","1,718","7,129","3,559","3,980","2,953","3,441","2,638","1,206","3,803","4,243","2,516","2,478","1,950"
2020년10월_계_60~69세,"70,052","34,069","1,529","3,203","2,665","1,069","1,799","2,985","1,719","1,869","2,861","2,922","4,418","1,877","2,383","2,770","35,983","2,768","1,457","2,870","2,005","1,268","5,201","2,339","2,406","1,477","1,868","1,252",803,"2,828","3,037","1,413","1,619","1,372"
2020년10월_계_70~79세,"31,631","16,473",741,"1,619","1,264",666,955,"1,408",714,869,"1,436","1,391","2,218",845,"1,307","1,040","15,158","1,077",632,"1,187",893,611,"2,430","1,138","1,025",574,790,591,297,"1,007",998,677,601,630
2020년10월_계_80~89세,"14,020","6,887",280,617,466,340,468,611,255,338,608,589,945,406,517,447,"7,133",447,232,573,450,348,"1,050",505,520,343,430,316,124,420,419,391,257,308
2020년10월_계_90~99세,"2,141",976,48,83,59,45,52,75,59,49,78,111,130,45,68,74,"1,165",82,47,104,63,56,159,74,61,38,75,46,30,64,76,89,43,58
2020년10월_계_100세 이상,179,83,1,10,7,0,5,14,7,5,11,7,7,1,7,1,96,19,10,8,2,1,12,7,2,6,3,2,5,6,8,2,0,3
2020년10월_남_총인구수,"273,030","120,356","6,354","10,952","8,405","3,636","5,481","10,836","7,872","5,711","8,741","9,796","16,360","6,926","7,779","11,507","152,674","10,585","5,407","9,233","8,513","5,099","18,235","9,838","13,338","7,438","11,786","8,317","4,175","10,128","11,114","7,433","6,559","5,476"
2020년10월_남_연령구간인구수,"273,030","120,356","6,354","10,952","8,405","3,636","5,481","10,836","7,872","5,711","8,741","9,796","16,360","6,926","7,779","11,507","152,674","10,585","5,407","9,233","8,513","5,099","18,235","9,838","13,338","7,438","11,786","8,317","4,175","10,128","11,114","7,433","6,559","5,476"
2020년10월_남_0~9세,"20,306","8,012",472,594,464,139,263,593,905,247,537,781,"1,126",469,340,"1,082","12,294",975,420,498,787,384,"1,156",643,"1,197",714,"1,252",775,502,726,838,588,482,357
