카테고리,인천광역시 연수구,인천광역시 연수구 옥련1동,인천광역시 연수구 옥련2동,인천광역시 연수구 선학동,인천광역시 연수구 연수1동,인천광역시 연수구 연수2동,인천광역시 연수구 연수3동,인천광역시 연수구 청학동,인천광역시 연수구 동춘1동,인천광역시 연수구 동춘2동,인천광역시 연수구 동춘3동,인천광역시 연수구 송도1동,인천광역시 연수구 송도2동,인천광역시 연수구 송도3동,인천광역시 연수구 송도4동,인천광역시 연수구 송도5동
2021년06월_계_총인구수,"390,827","19,529","20,665","17,296","19,777","21,314","16,409","24,891","25,582","18,459","18,739","38,082","36,798","49,000","25,172","39,114"
2021년06월_계_연령구간인구수,"390,827","19,529","20,665","17,296","19,777","21,314","16,409","24,891","25,582","18,459","18,739","38,082","36,798","49,000","25,172","39,114"
2021년06월_계_0~9세,"38,190","1,342","1,463",875,899,"1,360",922,"1,198","2,307","1,346","1,498","3,119","4,838","6,837","3,763","6,423"
2021년06월_계_10~19세,"43,087","1,874","2,208","1,067","1,551","1,647","1,215","1,695","2,676","1,935","2,838","5,599","6,355","5,983","2,928","3,516"
2021년06월_계_20~29세,"51,963","2,579","2,928","2,431","3,099","3,334","2,216","3,437","3,430","2,599","2,521","6,564","3,638","6,236","2,814","4,137"
2021년06월_계_30~39세,"57,665","2,299","2,456","2,254","2,500","3,184","2,196","3,016","3,747","2,614","1,787","4,363","4,407","9,212","4,664","8,966"
2021년06월_계_40~49세,"69,097","3,094","3,291","2,360","3,219","3,035","2,168","3,555","4,188","2,884","3,337","6,629","8,547","10,007","5,225","7,558"
2021년06월_계_50~59세,"64,784","3,680","3,938","3,305","3,993","3,848","3,029","5,190","4,677","3,468","3,383","6,345","5,527","6,145","3,382","4,874"
2021년06월_계_60~69세,"41,342","2,595","2,563","3,076","2,757","2,931","2,607","4,029","3,070","2,299","2,034","3,606","2,303","3,082","1,695","2,695"
2021년06월_계_70~79세,"15,806","1,345","1,171","1,250","1,171","1,172","1,204","1,748",946,809,846,"1,192",761,"1,036",492,663
2021년06월_계_80~89세,"7,472",631,547,578,502,668,694,875,435,445,406,542,349,393,182,225
2021년06월_계_90~99세,"1,372",90,97,95,81,131,147,143,102,58,88,122,70,67,25,56
2021년06월_계_100세 이상,49,0,3,5,5,4,11,5,4,2,1,1,3,2,2,1
2021년06월_남_총인구수,"194,215","9,679","10,225","8,956","10,838","10,476","7,817","12,913","12,550","8,991","9,126","18,730","18,057","23,998","12,484","19,375"
2021년06월_남_연령구간인구수,"194,215","9,679","10,225","8,956","10,838","10,476","7,817","12,913","12,550","8,991","9,126","18,730","18,057","23,998","12,484","19,375"
2021년06월_남_0~9세,"19,510",697,732,471,464,710,479,602,"1,182",689,746,"1,606","2,460","3,448","1,933","3,291"
2021년06월_남_10~19세,"22,108",969,"1,148",545,855,826,625,863,"1,334","1,002","1,458","2,867","3,252","3,054","1,482","1,828"
2021년06월_남_20~29세,"26,988","1,408","1,553","1,377","1,755","1,790","1,122","1,965","1,769","1,331","1,321","3,317","1,854","3,014","1,412","2,000"
2021년06월_남_30~39세,"28,358","1,192","1,211","1,278","1,496","1,667","1,161","1,726","1,825","1,331",788,"2,066","1,837","4,289","2,179","4,312"
2021년06월_남_40~49세,"34,025","1,518","1,634","1,315","1,857","1,472","1,032","1,903","2,033","1,362","1,500","3,032","3,986","4,910","2,600","3,871"
2021년06월_남_50~59세,"31,926","1,796","1,882","1,575","2,168","1,811","1,366","2,657","2,168","1,599","1,674","3,172","2,942","3,095","1,703","2,318"
2021년06월_남_60~69세,"21,232","1,274","1,301","1,593","1,501","1,485","1,303","2,076","1,608","1,156","1,074","1,866","1,240","1,561",855,"1,339"
2021년06월_남_70~79세,"7,311",577,565,580,551,507,514,790,469,368,390,586,342,480,249,343
2021년06월_남_80~89세,"2,461",226,178,204,174,181,191,299,134,136,151,193,131,131,69,63
2021년06월_남_90~99세,286,22,21,18,17,25,21,29,28,17,24,25,13,14,2,10
2021년06월_남_100세 이상,10,0,0,0,0,2,3,3,0,0,0,0,0,2,0,0
2021년06월_여_총인구수,"196,612","9,850","10,440","8,340","8,939","10,838","8,592","11,978","13,032","9,468","9,613","19,352","18,741","25,002","12,688","19,739"
2021년06월_여_연령구간인구수,"196,612","9,850","10,440","8,340","8,939","10,838","8,592","11,978","13,032","9,468","9,613","19,352","18,741","25,002","12,688","19,739"
2021년06월_여_0~9세,"18,680",645,731,404,435,650,443,596,"1,125",657,752,"1,513","2,378","3,389","1,830","3,132"
2021년06월_여_10~19세,"20,979",905,"1,060",522,696,821,590,832,"1,342",933,"1,380","2,732","3,103","2,929","1,446","1,688"
2021년06월_여_20~29세,"24,975","1,171","1,375","1,054","1,344","1,544","1,094","1,472","1,661","1,268","1,200","3,247","1,784","3,222","1,402","2,137"
2021년06월_여_30~39세,"29,307","1,107","1,245",976,"1,004","1,517","1,035","1,290","1,922","1,283",999,"2,297","2,570","4,923","2,485","4,654"
2021년06월_여_40~49세,"35,072","1,576","1,657","1,045","1,362","1,563","1,136","1,652","2,155","1,522","1,837","3,597","4,561","5,097","2,625","3,687"
2021년06월_여_50~59세,"32,858","1,884","2,056","1,730","1,825","2,037","1,663","2,533","2,509","1,869","1,709","3,173","2,585","3,050","1,679","2,556"
2021년06월_여_60~69세,"20,110","1,321","1,262","1,483","1,256","1,446","1,304","1,953","1,462","1,143",960,"1,740","1,063","1,521",840,"1,356"
2021년06월_여_70~79세,"8,495",768,606,670,620,665,690,958,477,441,456,606,419,556,243,320
2021년06월_여_80~89세,"5,011",405,369,374,328,487,503,576,301,309,255,349,218,262,113,162
2021년06월_여_90~99세,"1,086",68,76,77,64,106,126,114,74,41,64,97,57,53,23,46
