,충청남도 홍성군,충청남도 홍성군 홍성읍,충청남도 홍성군 광천읍,충청남도 홍성군 홍북읍,충청남도 홍성군 금마면,충청남도 홍성군 홍동면,충청남도 홍성군 장곡면,충청남도 홍성군 은하면,충청남도 홍성군 결성면,충청남도 홍성군 서부면,충청남도 홍성군 갈산면,충청남도 홍성군 구항면
2020년11월_계_총인구수,"99,890","38,213","8,493","28,707","3,501","3,448","2,922","2,300","2,110","3,242","3,506","3,448"
2020년11월_계_연령구간인구수,"99,890","38,213","8,493","28,707","3,501","3,448","2,922","2,300","2,110","3,242","3,506","3,448"
2020년11월_계_0~9세,"7,770","2,503",282,"4,385",98,129,76,40,23,76,73,85
2020년11월_계_10~19세,"9,615","4,355",461,"3,723",131,224,113,70,64,147,144,183
2020년11월_계_20~29세,"9,635","4,847",594,"2,731",227,234,148,123,117,201,195,218
2020년11월_계_30~39세,"10,503","3,607",476,"5,140",215,187,143,96,96,148,201,194
2020년11월_계_40~49세,"14,462","6,101",811,"5,440",318,367,231,164,129,288,271,342
2020년11월_계_50~59세,"15,930","6,801","1,469","3,444",652,585,466,380,367,553,575,638
2020년11월_계_60~69세,"14,622","5,104","1,843","2,074",780,706,625,544,522,782,847,795
2020년11월_계_70~79세,"10,061","3,082","1,572","1,061",583,542,576,458,422,594,616,555
2020년11월_계_80~89세,"6,356","1,575",844,627,434,427,492,355,324,386,504,388
2020년11월_계_90~99세,875,220,120,80,62,45,50,69,46,60,75,48
2020년11월_계_100세 이상,61,18,21,2,1,2,2,1,0,7,5,2
2020년11월_남_총인구수,"49,665","18,934","4,160","14,375","1,773","1,737","1,407","1,162","1,031","1,592","1,757","1,737"
2020년11월_남_연령구간인구수,"49,665","18,934","4,160","14,375","1,773","1,737","1,407","1,162","1,031","1,592","1,757","1,737"
2020년11월_남_0~9세,"4,037","1,280",148,"2,287",54,73,40,21,10,35,43,46
2020년11월_남_10~19세,"4,911","2,223",250,"1,903",73,113,57,35,26,64,76,91
2020년11월_남_20~29세,"5,298","2,669",356,"1,368",135,160,86,81,79,120,116,128
2020년11월_남_30~39세,"5,457","1,887",272,"2,532",134,105,85,65,64,86,126,101
2020년11월_남_40~49세,"7,545","2,990",475,"2,759",194,203,148,105,87,193,180,211
2020년11월_남_50~59세,"8,315","3,473",751,"1,811",361,315,257,215,189,283,310,350
2020년11월_남_60~69세,"7,175","2,434",880,"1,003",403,366,304,278,257,393,436,421
2020년11월_남_70~79세,"4,463","1,362",685,490,253,249,243,216,188,265,258,254
2020년11월_남_80~89세,"2,222",549,299,207,149,145,174,128,124,137,186,124
2020년11월_남_90~99세,223,60,38,15,16,8,12,18,7,14,24,11
2020년11월_남_100세 이상,19,7,6,0,1,0,1,0,0,2,2,0
2020년11월_여_총인구수,"50,225","19,279","4,333","14,332","1,728","1,711","1,515","1,138","1,079","1,650","1,749","1,711"
2020년11월_여_연령구간인구수,"50,225","19,279","4,333","14,332","1,728","1,711","1,515","1,138","1,079","1,650","1,749","1,711"
2020년11월_여_0~9세,"3,733","1,223",134,"2,098",44,56,36,19,13,41,30,39
2020년11월_여_10~19세,"4,704","2,132",211,"1,820",58,111,56,35,38,83,68,92
2020년11월_여_20~29세,"4,337","2,178",238,"1,363",92,74,62,42,38,81,79,90
2020년11월_여_30~39세,"5,046","1,720",204,"2,608",81,82,58,31,32,62,75,93
2020년11월_여_40~49세,"6,917","3,111",336,"2,681",124,164,83,59,42,95,91,131
2020년11월_여_50~59세,"7,615","3,328",718,"1,633",291,270,209,165,178,270,265,288
2020년11월_여_60~69세,"7,447","2,670",963,"1,071",377,340,321,266,265,389,411,374
2020년11월_여_70~79세,"5,598","1,720",887,571,330,293,333,242,234,329,358,301
2020년11월_여_80~89세,"4,134","1,026",545,420,285,282,318,227,200,249,318,264
2020년11월_여_90~99세,652,160,82,65,46,37,38,51,39,46,51,37
2020년11월_여_100세 이상,42,11,15,2,0,2,1,1,0,5,3,2
