카테고리,대구광역시 동구,대구광역시 동구 신암1동,대구광역시 동구 신암2동,대구광역시 동구 신암3동,대구광역시 동구 신암4동,대구광역시 동구 신암5동,대구광역시 동구 신천1.2동,대구광역시 동구 신천3동,대구광역시 동구 신천4동,대구광역시 동구 효목1동,대구광역시 동구 효목2동,대구광역시 동구 도평동,대구광역시 동구 불로.봉무동,대구광역시 동구 지저동,대구광역시 동구 동촌동,대구광역시 동구 방촌동,대구광역시 동구 해안동,대구광역시 동구 안심1동,대구광역시 동구 안심2동,대구광역시 동구 안심3.4동,대구광역시 동구 공산동
2020년06월_계_총인구수,"342,627","7,909","10,892","8,911","13,326","6,632","13,500","12,620","7,619","14,356","15,072","4,217","26,713","10,254","16,206","18,538","15,431","44,057","10,808","69,818","15,748"
2020년06월_계_연령구간인구수,"342,627","7,909","10,892","8,911","13,326","6,632","13,500","12,620","7,619","14,356","15,072","4,217","26,713","10,254","16,206","18,538","15,431","44,057","10,808","69,818","15,748"
2020년06월_계_0~9세,"25,923",290,"1,096",727,476,239,880,962,167,563,799,202,"2,708",409,908,934,811,"4,014",628,"8,408",702
2020년06월_계_10~19세,"27,046",482,856,593,726,415,954,"1,049",369,898,"1,065",273,"2,732",601,960,"1,382",949,"3,782",644,"7,173","1,143"
2020년06월_계_20~29세,"41,737",885,"1,026",986,"1,899",805,"1,534","1,675","1,314","1,838","1,936",618,"2,954","1,344","2,204","2,424","1,914","5,379","1,378","8,034","1,590"
2020년06월_계_30~39세,"44,676",729,"1,531","1,302","1,539",588,"1,609","1,638","1,061","1,473","1,716",458,"3,544","1,032","1,973","1,836","1,700","5,996","1,293","12,310","1,348"
2020년06월_계_40~49세,"51,576","1,005","1,901","1,224","1,804",871,"1,970","1,961","1,022","1,788","2,157",514,"4,628","1,255","2,089","2,381","1,982","6,935","1,383","12,539","2,167"
2020년06월_계_50~59세,"57,362","1,410","1,552","1,422","2,653","1,260","2,247","2,221","1,331","2,658","2,559",753,"4,250","2,091","3,082","3,633","2,878","7,137","2,125","9,160","2,940"
2020년06월_계_60~69세,"50,182","1,435","1,419","1,386","2,310","1,253","2,083","1,619","1,255","2,621","2,565",694,"3,411","1,931","2,712","3,181","2,734","6,053","1,810","6,878","2,832"
2020년06월_계_70~79세,"29,976","1,097","1,014",848,"1,359",805,"1,481",969,739,"1,727","1,529",468,"1,718","1,120","1,568","1,845","1,695","3,195","1,095","3,730","1,974"
2020년06월_계_80~89세,"12,578",513,436,370,490,362,669,465,322,708,656,218,677,424,634,827,682,"1,381",396,"1,407",941
2020년06월_계_90~99세,"1,448",58,51,50,60,30,66,53,35,72,80,19,87,42,74,89,84,178,50,166,104
2020년06월_계_100세 이상,123,5,10,3,10,4,7,8,4,10,10,0,4,5,2,6,2,7,6,13,7
