카테고리,인천광역시 남동구,인천광역시 남동구 구월1동,인천광역시 남동구 구월2동,인천광역시 남동구 구월3동,인천광역시 남동구 구월4동,인천광역시 남동구 간석1동,인천광역시 남동구 간석2동,인천광역시 남동구 간석3동,인천광역시 남동구 간석4동,인천광역시 남동구 만수1동,인천광역시 남동구 만수2동,인천광역시 남동구 만수3동,인천광역시 남동구 만수4동,인천광역시 남동구 만수5동,인천광역시 남동구 만수6동,인천광역시 남동구 장수서창동,인천광역시 남동구 서창2동,인천광역시 남동구 남촌도림동,인천광역시 남동구 논현1동,인천광역시 남동구 논현2동,인천광역시 남동구 논현고잔동
2020년05월_계_총인구수,"531,031","32,329","36,493","28,913","15,592","23,353","22,469","28,864","29,318","16,035","25,161","18,236","21,983","15,970","25,394","20,770","40,195","21,725","32,764","33,222","42,245"
2020년05월_계_연령구간인구수,"531,031","32,329","36,493","28,913","15,592","23,353","22,469","28,864","29,318","16,035","25,161","18,236","21,983","15,970","25,394","20,770","40,195","21,725","32,764","33,222","42,245"
2020년05월_계_0~9세,"44,226","3,409","3,757","1,626",757,"1,382","1,743","1,747","1,905",780,"1,927","1,388","1,606",720,"1,622","1,794","6,228","1,417","3,024","2,684","4,710"
2020년05월_계_10~19세,"50,991","3,053","4,534","1,750","1,159","1,703","2,168","2,233","2,410","1,112","2,503","1,726","2,050","1,061","2,463","2,260","3,597","2,029","3,718","3,510","5,952"
2020년05월_계_20~29세,"71,988","4,230","4,414","6,423","2,172","3,304","2,953","4,167","4,356","2,005","3,328","2,524","3,019","2,248","3,541","2,483","4,099","2,961","4,265","4,612","4,884"
2020년05월_계_30~39세,"75,505","5,086","4,753","5,520","1,825","3,375","2,899","3,930","4,249","1,958","3,230","2,357","2,937","1,951","3,043","2,596","8,137","2,406","4,761","4,755","5,737"
2020년05월_계_40~49세,"89,898","5,603","6,821","4,509","2,387","3,585","3,920","4,474","4,585","2,323","4,262","2,933","3,439","2,214","3,934","3,545","7,226","3,523","5,899","5,802","8,914"
2020년05월_계_50~59세,"91,103","5,174","5,876","4,399","3,180","4,163","3,822","5,488","5,344","3,136","4,423","3,329","3,892","3,186","5,001","3,546","4,962","4,409","5,545","5,583","6,645"
2020년05월_계_60~69세,"62,978","3,534","3,866","2,792","2,245","3,150","2,852","3,922","3,827","2,465","3,331","2,375","2,974","2,624","3,304","2,771","3,821","2,922","3,343","3,494","3,366"
2020년05월_계_70~79세,"30,148","1,508","1,771","1,328","1,256","1,823","1,474","2,005","1,775","1,426","1,530","1,146","1,340","1,409","1,577","1,223","1,541","1,393","1,474","1,802","1,347"
2020년05월_계_80~89세,"12,123",610,579,496,531,750,531,772,738,731,521,383,619,485,761,482,499,579,613,845,598
2020년05월_계_90~99세,"1,945",117,110,68,70,110,103,111,118,97,91,66,104,71,143,69,82,82,118,127,88
2020년05월_계_100세 이상,126,5,12,2,10,8,4,15,11,2,15,9,3,1,5,1,3,4,4,8,4
2020년05월_남_총인구수,"264,071","15,758","17,987","14,452","7,901","11,534","11,304","14,466","14,671","7,744","12,344","9,187","10,765","8,034","12,407","10,314","19,935","11,163","16,471","16,767","20,867"
2020년05월_남_연령구간인구수,"264,071","15,758","17,987","14,452","7,901","11,534","11,304","14,466","14,671","7,744","12,344","9,187","10,765","8,034","12,407","10,314","19,935","11,163","16,471","16,767","20,867"
2020년05월_남_0~9세,"22,760","1,731","1,954",873,403,742,904,867,981,399,964,720,807,387,841,908,"3,200",728,"1,534","1,393","2,424"
2020년05월_남_10~19세,"26,059","1,472","2,359",875,630,876,"1,143","1,120","1,213",573,"1,236",889,"1,069",532,"1,244","1,167","1,884","1,093","1,901","1,832","2,951"
2020년05월_남_20~29세,"37,279","2,113","2,302","2,941","1,138","1,696","1,569","2,151","2,241","1,025","1,751","1,310","1,615","1,220","1,872","1,332","2,022","1,652","2,274","2,487","2,568"
2020년05월_남_30~39세,"38,789","2,457","2,241","3,013","1,029","1,821","1,455","2,075","2,250","1,032","1,672","1,270","1,542","1,092","1,582","1,307","3,967","1,264","2,499","2,589","2,632"
2020년05월_남_40~49세,"45,734","2,895","3,283","2,432","1,281","1,859","2,026","2,361","2,329","1,224","2,129","1,496","1,659","1,209","1,881","1,775","3,780","1,842","3,000","2,962","4,311"
2020년05월_남_50~59세,"44,897","2,495","2,939","2,168","1,609","2,014","1,924","2,756","2,625","1,537","2,103","1,661","1,845","1,551","2,389","1,705","2,312","2,251","2,777","2,773","3,463"
2020년05월_남_60~69세,"30,417","1,680","1,826","1,341","1,077","1,465","1,375","1,915","1,914","1,169","1,560","1,172","1,395","1,230","1,651","1,350","1,863","1,474","1,612","1,649","1,699"
2020년05월_남_70~79세,"13,611",695,839,596,542,800,691,907,841,559,723,529,614,623,687,567,745,643,645,766,599
2020년05월_남_80~89세,"4,098",199,212,190,179,249,181,282,251,209,183,125,192,182,234,186,151,199,207,285,202
2020년05월_남_90~99세,397,21,28,22,12,11,35,26,24,17,19,11,27,8,26,17,10,15,21,29,18
2020년05월_남_100세 이상,30,0,4,1,1,1,1,6,2,0,4,4,0,0,0,0,1,2,1,2,0
2020년05월_여_총인구수,"266,960","16,571","18,506","14,461","7,691","11,819","11,165","14,398","14,647","8,291","12,817","9,049","11,218","7,936","12,987","10,456","20,260","10,562","16,293","16,455","21,378"
2020년05월_여_연령구간인구수,"266,960","16,571","18,506","14,461","7,691","11,819","11,165","14,398","14,647","8,291","12,817","9,049","11,218","7,936","12,987","10,456","20,260","10,562","16,293","16,455","21,378"
2020년05월_여_0~9세,"21,466","1,678","1,803",753,354,640,839,880,924,381,963,668,799,333,781,886,"3,028",689,"1,490","1,291","2,286"
2020년05월_여_10~19세,"24,932","1,581","2,175",875,529,827,"1,025","1,113","1,197",539,"1,267",837,981,529,"1,219","1,093","1,713",936,"1,817","1,678","3,001"
2020년05월_여_20~29세,"34,709","2,117","2,112","3,482","1,034","1,608","1,384","2,016","2,115",980,"1,577","1,214","1,404","1,028","1,669","1,151","2,077","1,309","1,991","2,125","2,316"
2020년05월_여_30~39세,"36,716","2,629","2,512","2,507",796,"1,554","1,444","1,855","1,999",926,"1,558","1,087","1,395",859,"1,461","1,289","4,170","1,142","2,262","2,166","3,105"
2020년05월_여_40~49세,"44,164","2,708","3,538","2,077","1,106","1,726","1,894","2,113","2,256","1,099","2,133","1,437","1,780","1,005","2,053","1,770","3,446","1,681","2,899","2,840","4,603"
2020년05월_여_50~59세,"46,206","2,679","2,937","2,231","1,571","2,149","1,898","2,732","2,719","1,599","2,320","1,668","2,047","1,635","2,612","1,841","2,650","2,158","2,768","2,810","3,182"
2020년05월_여_60~69세,"32,561","1,854","2,040","1,451","1,168","1,685","1,477","2,007","1,913","1,296","1,771","1,203","1,579","1,394","1,653","1,421","1,958","1,448","1,731","1,845","1,667"
