카테고리,인천광역시 부평구,인천광역시 부평구 부평1동,인천광역시 부평구 부평2동,인천광역시 부평구 부평3동,인천광역시 부평구 부평4동,인천광역시 부평구 부평5동,인천광역시 부평구 부평6동,인천광역시 부평구 산곡1동,인천광역시 부평구 산곡2동,인천광역시 부평구 산곡3동,인천광역시 부평구 산곡4동,인천광역시 부평구 청천1동,인천광역시 부평구 청천2동,인천광역시 부평구 갈산1동,인천광역시 부평구 갈산2동,인천광역시 부평구 삼산1동,인천광역시 부평구 삼산2동,인천광역시 부평구 부개1동,인천광역시 부평구 부개2동,인천광역시 부평구 부개3동,인천광역시 부평구 일신동,인천광역시 부평구 십정1동,인천광역시 부평구 십정2동
2021년10월_계_총인구수,"488,092","36,675","14,996","12,716","36,973","31,689","15,019","12,668","31,278","22,129","17,826","6,896","35,093","16,546","18,821","33,505","28,899","16,152","19,877","30,861","12,554","13,901","23,018"
2021년10월_계_연령구간인구수,"488,092","36,675","14,996","12,716","36,973","31,689","15,019","12,668","31,278","22,129","17,826","6,896","35,093","16,546","18,821","33,505","28,899","16,152","19,877","30,861","12,554","13,901","23,018"
2021년10월_계_0~9세,"30,760","2,186",763,594,"2,361","2,317","1,016",580,"2,557","1,137","1,150",305,"2,677",826,"1,089","2,176","2,246",808,"1,396","1,733",963,789,"1,091"
2021년10월_계_10~19세,"41,725","2,815","1,169",830,"2,362","2,169",891,930,"3,726","1,992","1,710",486,"2,918","1,251","1,400","3,396","4,139","1,033","1,774","3,126","1,033","1,093","1,482"
2021년10월_계_20~29세,"67,793","5,825","2,042","1,583","6,088","5,025","2,046","1,581","3,903","2,810","2,544",860,"4,793","2,522","2,414","4,577","3,667","2,013","2,654","4,605","1,569","1,740","2,932"
2021년10월_계_30~39세,"66,143","5,826","2,057","1,648","6,565","5,718","2,373","1,524","3,535","2,265","2,130",813,"5,221","2,218","2,608","3,792","2,902","1,941","2,880","3,916","1,734","1,616","2,861"
2021년10월_계_40~49세,"75,090","5,546","2,296","1,827","5,608","5,154","2,250","1,744","5,442","3,032","2,692","1,025","5,212","2,359","2,470","5,439","5,509","2,323","3,140","4,893","1,769","2,096","3,264"
2021년10월_계_50~59세,"88,253","6,156","2,637","2,263","6,025","5,031","2,593","2,395","5,542","4,006","3,337","1,450","6,446","3,284","3,438","6,434","5,430","2,847","3,493","6,065","2,126","2,639","4,616"
2021년10월_계_60~69세,"69,949","4,847","2,241","2,178","4,658","3,720","2,227","2,258","4,082","3,741","2,518","1,200","4,871","2,515","3,257","4,573","3,048","2,961","2,702","3,964","2,092","2,239","4,057"
2021년10월_계_70~79세,"31,555","2,202","1,253","1,164","2,209","1,699","1,021","1,081","1,694","1,916","1,071",508,"1,945","1,038","1,364","1,893","1,248","1,551","1,243","1,651",854,"1,114","1,836"
