,경상북도 영덕군,경상북도 영덕군 영덕읍,경상북도 영덕군 강구면,경상북도 영덕군 남정면,경상북도 영덕군 달산면,경상북도 영덕군 지품면,경상북도 영덕군 지품면원전출장소,경상북도 영덕군 축산면,경상북도 영덕군 축산면축산출장소,경상북도 영덕군 영해면,경상북도 영덕군 병곡면,경상북도 영덕군 창수면
2021년01월_계_총인구수,"36,245","11,011","6,233","2,367","1,131","1,489",535,925,"1,725","6,374","2,774","1,681"
2021년01월_계_연령구간인구수,"36,245","11,011","6,233","2,367","1,131","1,489",535,925,"1,725","6,374","2,774","1,681"
2021년01월_계_0~9세,"1,644",791,224,52,16,35,8,30,42,348,72,26
2021년01월_계_10~19세,"2,112",937,304,63,41,38,16,32,74,433,126,48
2021년01월_계_20~29세,"2,401",946,429,126,48,70,18,43,85,478,107,51
2021년01월_계_30~39세,"2,399","1,025",389,113,46,56,13,33,74,467,125,58
2021년01월_계_40~49세,"3,850","1,561",674,178,67,108,29,84,165,674,204,106
2021년01월_계_50~59세,"6,145","1,855","1,137",403,185,267,82,143,301,"1,088",445,239
2021년01월_계_60~69세,"7,431","1,825","1,387",557,274,379,143,191,414,"1,217",625,419
2021년01월_계_70~79세,"5,904","1,229","1,071",480,237,306,138,200,361,934,554,394
2021년01월_계_80~89세,"3,802",712,550,339,187,202,79,153,192,630,459,299
2021년01월_계_90~99세,527,120,66,55,28,27,9,14,17,102,55,34
2021년01월_계_100세 이상,30,10,2,1,2,1,0,2,0,3,2,7
2021년01월_남_총인구수,"17,163","5,265","2,929","1,152",509,735,250,438,809,"2,946","1,300",830
2021년01월_남_연령구간인구수,"17,163","5,265","2,929","1,152",509,735,250,438,809,"2,946","1,300",830
2021년01월_남_0~9세,818,384,118,30,11,20,3,17,24,157,41,13
2021년01월_남_10~19세,"1,080",462,169,39,22,22,8,17,41,220,57,23
2021년01월_남_20~29세,"1,395",548,247,76,23,43,11,25,49,279,61,33
2021년01월_남_30~39세,"1,232",497,213,60,28,31,8,16,43,231,69,36
2021년01월_남_40~49세,"2,140",788,386,119,31,71,23,52,94,363,139,74
2021년01월_남_50~59세,"3,271",999,577,236,105,150,46,85,156,546,244,127
2021년01월_남_60~69세,"3,553",850,640,287,145,195,65,88,191,563,311,218
2021년01월_남_70~79세,"2,383",489,411,187,87,130,56,90,147,381,223,182
2021년01월_남_80~89세,"1,188",221,159,107,53,65,29,44,57,194,145,114
2021년01월_남_90~99세,96,24,8,11,4,8,1,3,7,12,10,8
2021년01월_남_100세 이상,7,3,1,0,0,0,0,1,0,0,0,2
2021년01월_여_총인구수,"19,082","5,746","3,304","1,215",622,754,285,487,916,"3,428","1,474",851
2021년01월_여_연령구간인구수,"19,082","5,746","3,304","1,215",622,754,285,487,916,"3,428","1,474",851
2021년01월_여_0~9세,826,407,106,22,5,15,5,13,18,191,31,13
2021년01월_여_10~19세,"1,032",475,135,24,19,16,8,15,33,213,69,25
2021년01월_여_20~29세,"1,006",398,182,50,25,27,7,18,36,199,46,18
2021년01월_여_30~39세,"1,167",528,176,53,18,25,5,17,31,236,56,22
2021년01월_여_40~49세,"1,710",773,288,59,36,37,6,32,71,311,65,32
2021년01월_여_50~59세,"2,874",856,560,167,80,117,36,58,145,542,201,112
2021년01월_여_60~69세,"3,878",975,747,270,129,184,78,103,223,654,314,201
2021년01월_여_70~79세,"3,521",740,660,293,150,176,82,110,214,553,331,212
2021년01월_여_80~89세,"2,614",491,391,232,134,137,50,109,135,436,314,185
2021년01월_여_90~99세,431,96,58,44,24,19,8,11,10,90,45,26
2021년01월_여_100세 이상,23,7,1,1,2,1,0,1,0,3,2,5
