카테고리,울산광역시 북구,울산광역시 북구 농소1동,울산광역시 북구 농소2동,울산광역시 북구 농소3동,울산광역시 북구 강동동,울산광역시 북구 효문동,울산광역시 북구 송정동,울산광역시 북구 양정동,울산광역시 북구 염포동
2021년11월_계_총인구수,"218,258","36,807","41,165","38,271","16,436","29,500","36,306","9,891","9,882"
2021년11월_계_연령구간인구수,"218,258","36,807","41,165","38,271","16,436","29,500","36,306","9,891","9,882"
2021년11월_계_0~9세,"24,088","4,369","5,342","3,415","2,561","2,653","4,324",704,720
2021년11월_계_10~19세,"23,735","3,984","4,888","6,094","1,442","2,089","3,721",752,765
2021년11월_계_20~29세,"26,201","3,912","4,339","4,797","1,095","4,352","4,750","1,719","1,237"
2021년11월_계_30~39세,"32,840","5,466","6,699","3,606","3,187","4,907","6,025","1,577","1,373"
2021년11월_계_40~49세,"38,855","6,719","7,814","8,154","2,961","4,232","6,038","1,446","1,491"
2021년11월_계_50~59세,"38,792","6,194","6,506","7,338","2,111","6,211","6,736","1,857","1,839"
2021년11월_계_60~69세,"22,204","3,967","3,661","2,942","1,930","3,554","3,207","1,281","1,662"
2021년11월_계_70~79세,"7,850","1,552","1,285","1,292",722,"1,029",997,403,570
2021년11월_계_80~89세,"3,204",560,557,555,358,404,434,132,204
2021년11월_계_90~99세,469,80,73,73,67,67,74,20,15
2021년11월_계_100세 이상,20,4,1,5,2,2,0,0,6
2021년11월_남_총인구수,"113,003","18,837","20,921","19,459","8,429","15,805","18,473","5,744","5,335"
2021년11월_남_연령구간인구수,"113,003","18,837","20,921","19,459","8,429","15,805","18,473","5,744","5,335"
2021년11월_남_0~9세,"12,412","2,257","2,764","1,755","1,291","1,389","2,234",347,375
2021년11월_남_10~19세,"12,277","2,014","2,491","3,216",727,"1,091","1,923",396,419
2021년11월_남_20~29세,"15,012","2,180","2,400","2,657",621,"2,540","2,599","1,232",783
2021년11월_남_30~39세,"17,106","2,778","3,365","1,765","1,563","2,825","3,042",981,787
2021년11월_남_40~49세,"19,936","3,517","3,998","3,812","1,661","2,273","2,990",823,862
2021년11월_남_50~59세,"19,805","3,113","3,256","3,913","1,077","3,142","3,328","1,043",933
2021년11월_남_60~69세,"11,683","2,082","1,860","1,580","1,010","1,903","1,729",675,844
2021년11월_남_70~79세,"3,709",715,605,570,356,512,495,206,250
2021년11월_남_80~89세,986,164,171,176,112,123,123,39,78
2021년11월_남_90~99세,74,17,11,14,11,7,10,2,2
2021년11월_남_100세 이상,3,0,0,1,0,0,0,0,2
2021년11월_여_총인구수,"105,255","17,970","20,244","18,812","8,007","13,695","17,833","4,147","4,547"
2021년11월_여_연령구간인구수,"105,255","17,970","20,244","18,812","8,007","13,695","17,833","4,147","4,547"
2021년11월_여_0~9세,"11,676","2,112","2,578","1,660","1,270","1,264","2,090",357,345
2021년11월_여_10~19세,"11,458","1,970","2,397","2,878",715,998,"1,798",356,346
2021년11월_여_20~29세,"11,189","1,732","1,939","2,140",474,"1,812","2,151",487,454
2021년11월_여_30~39세,"15,734","2,688","3,334","1,841","1,624","2,082","2,983",596,586
2021년11월_여_40~49세,"18,919","3,202","3,816","4,342","1,300","1,959","3,048",623,629
2021년11월_여_50~59세,"18,987","3,081","3,250","3,425","1,034","3,069","3,408",814,906
2021년11월_여_60~69세,"10,521","1,885","1,801","1,362",920,"1,651","1,478",606,818
2021년11월_여_70~79세,"4,141",837,680,722,366,517,502,197,320
2021년11월_여_80~89세,"2,218",396,386,379,246,281,311,93,126
2021년11월_여_90~99세,395,63,62,59,56,60,64,18,13
2021년11월_여_100세 이상,17,4,1,4,2,2,0,0,4
