카테고리,세종특별자치시,세종특별자치시 세종특별자치시
2020년12월_계_총인구수,"355,831","355,831"
2020년12월_계_연령구간인구수,"355,831","355,831"
2020년12월_계_0~9세,"47,283","47,283"
2020년12월_계_10~19세,"42,677","42,677"
2020년12월_계_20~29세,"37,453","37,453"
2020년12월_계_30~39세,"61,492","61,492"
2020년12월_계_40~49세,"68,831","68,831"
2020년12월_계_50~59세,"45,205","45,205"
2020년12월_계_60~69세,"30,139","30,139"
2020년12월_계_70~79세,"14,392","14,392"
2020년12월_계_80~89세,"7,109","7,109"
2020년12월_계_90~99세,"1,200","1,200"
2020년12월_계_100세 이상,50,50
2020년12월_남_총인구수,"177,568","177,568"
2020년12월_남_연령구간인구수,"177,568","177,568"
2020년12월_남_0~9세,"24,188","24,188"
2020년12월_남_10~19세,"21,419","21,419"
2020년12월_남_20~29세,"19,050","19,050"
2020년12월_남_30~39세,"30,004","30,004"
2020년12월_남_40~49세,"35,188","35,188"
2020년12월_남_50~59세,"23,494","23,494"
2020년12월_남_60~69세,"14,935","14,935"
2020년12월_남_70~79세,"6,602","6,602"
2020년12월_남_80~89세,"2,415","2,415"
2020년12월_남_90~99세,263,263
2020년12월_남_100세 이상,10,10
2020년12월_여_총인구수,"178,263","178,263"
2020년12월_여_연령구간인구수,"178,263","178,263"
2020년12월_여_0~9세,"23,095","23,095"
2020년12월_여_10~19세,"21,258","21,258"
2020년12월_여_20~29세,"18,403","18,403"
2020년12월_여_30~39세,"31,488","31,488"
2020년12월_여_40~49세,"33,643","33,643"
2020년12월_여_50~59세,"21,711","21,711"
2020년12월_여_60~69세,"15,204","15,204"
2020년12월_여_70~79세,"7,790","7,790"
2020년12월_여_80~89세,"4,694","4,694"
2020년12월_여_90~99세,937,937
2020년12월_여_100세 이상,40,40
