카테고리,인천광역시 동구,인천광역시 동구 만석동,인천광역시 동구 화수1.화평동,인천광역시 동구 화수2동,인천광역시 동구 송현1.2동,인천광역시 동구 송현3동,인천광역시 동구 송림1동,인천광역시 동구 송림2동,인천광역시 동구 송림3.5동,인천광역시 동구 송림4동,인천광역시 동구 송림6동,인천광역시 동구 금창동
2020년01월_계_총인구수,"64,337","7,284","6,466","8,147","10,918","3,881","1,749","3,102","8,425","4,211","6,955","3,199"
2020년01월_계_연령구간인구수,"64,337","7,284","6,466","8,147","10,918","3,881","1,749","3,102","8,425","4,211","6,955","3,199"
2020년01월_계_0~9세,"4,293",542,308,434,914,152,111,108,595,364,644,121
2020년01월_계_10~19세,"5,351",637,529,669,976,243,122,183,744,429,579,240
2020년01월_계_20~29세,"6,854",755,751,870,"1,232",448,182,277,888,479,656,316
2020년01월_계_30~39세,"7,619",898,625,849,"1,558",382,201,260,"1,022",550,991,283
2020년01월_계_40~49세,"10,369","1,299",968,"1,293","1,844",558,255,384,"1,406",751,"1,173",438
2020년01월_계_50~59세,"10,412","1,201","1,096","1,346","1,646",716,273,539,"1,330",731,"1,047",487
2020년01월_계_60~69세,"9,735",976,"1,073","1,303","1,483",684,287,625,"1,218",529,968,589
2020년01월_계_70~79세,"6,506",617,756,943,908,443,208,455,842,258,575,501
2020년01월_계_80~89세,"2,715",305,297,387,304,232,95,230,316,97,263,189
2020년01월_계_90~99세,406,43,50,48,42,22,14,34,55,18,54,26
2020년01월_계_100세 이상,77,11,13,5,11,1,1,7,9,5,5,9
2020년01월_남_총인구수,"32,485","3,747","3,228","4,042","5,422","1,977",857,"1,588","4,331","2,184","3,471","1,638"
2020년01월_남_연령구간인구수,"32,485","3,747","3,228","4,042","5,422","1,977",857,"1,588","4,331","2,184","3,471","1,638"
2020년01월_남_0~9세,"2,257",293,164,222,467,75,55,58,329,188,340,66
2020년01월_남_10~19세,"2,772",330,278,333,516,116,51,90,393,210,317,138
2020년01월_남_20~29세,"3,712",425,395,459,639,248,105,167,506,259,338,171
2020년01월_남_30~39세,"4,007",461,323,475,781,209,109,150,543,300,495,161
2020년01월_남_40~49세,"5,625",705,501,708,984,322,132,227,772,393,631,250
2020년01월_남_50~59세,"5,450",654,587,685,789,392,133,297,700,400,542,271
2020년01월_남_60~69세,"4,729",510,517,622,685,348,148,302,585,269,457,286
2020년01월_남_70~79세,"2,874",262,336,399,436,188,87,200,372,121,254,219
2020년01월_남_80~89세,935,94,113,128,112,72,32,84,111,36,90,63
2020년01월_남_90~99세,100,9,12,10,8,7,5,11,18,5,7,8
2020년01월_남_100세 이상,24,4,2,1,5,0,0,2,2,3,0,5
2020년01월_여_총인구수,"31,852","3,537","3,238","4,105","5,496","1,904",892,"1,514","4,094","2,027","3,484","1,561"
2020년01월_여_연령구간인구수,"31,852","3,537","3,238","4,105","5,496","1,904",892,"1,514","4,094","2,027","3,484","1,561"
2020년01월_여_0~9세,"2,036",249,144,212,447,77,56,50,266,176,304,55
2020년01월_여_10~19세,"2,579",307,251,336,460,127,71,93,351,219,262,102
2020년01월_여_20~29세,"3,142",330,356,411,593,200,77,110,382,220,318,145
2020년01월_여_30~39세,"3,612",437,302,374,777,173,92,110,479,250,496,122
2020년01월_여_40~49세,"4,744",594,467,585,860,236,123,157,634,358,542,188
2020년01월_여_50~59세,"4,962",547,509,661,857,324,140,242,630,331,505,216
2020년01월_여_60~69세,"5,006",466,556,681,798,336,139,323,633,260,511,303
2020년01월_여_70~79세,"3,632",355,420,544,472,255,121,255,470,137,321,282
2020년01월_여_80~89세,"1,780",211,184,259,192,160,63,146,205,61,173,126
2020년01월_여_90~99세,306,34,38,38,34,15,9,23,37,13,47,18
2020년01월_여_100세 이상,53,7,11,4,6,1,1,5,7,2,5,4
