카테고리,경상북도 청송군,경상북도 청송군 청송읍,경상북도 청송군 주왕산면,경상북도 청송군 부남면,경상북도 청송군 현동면,경상북도 청송군 현서면,경상북도 청송군 안덕면,경상북도 청송군 파천면,경상북도 청송군 진보면
2020년01월_계_총인구수,"25,439","5,310","1,899","2,524","2,101","2,525","2,657","1,827","6,596"
2020년01월_계_연령구간인구수,"25,439","5,310","1,899","2,524","2,101","2,525","2,657","1,827","6,596"
2020년01월_계_0~9세,"1,050",307,50,72,80,65,87,58,331
2020년01월_계_10~19세,"1,307",381,65,101,102,100,91,52,415
2020년01월_계_20~29세,"1,872",516,112,146,138,139,139,108,574
2020년01월_계_30~39세,"1,816",505,129,119,119,126,122,111,585
2020년01월_계_40~49세,"2,506",632,166,169,202,203,214,152,768
2020년01월_계_50~59세,"4,832","1,010",378,506,411,507,511,299,"1,210"
2020년01월_계_60~69세,"5,308",891,450,630,435,650,610,418,"1,224"
2020년01월_계_70~79세,"4,078",645,353,470,353,445,520,341,951
2020년01월_계_80~89세,"2,359",365,180,274,236,259,309,244,492
2020년01월_계_90~99세,291,50,16,34,23,30,53,42,43
2020년01월_계_100세 이상,20,8,0,3,2,1,1,2,3
2020년01월_남_총인구수,"12,715","2,637",942,"1,241","1,063","1,248","1,272",906,"3,406"
2020년01월_남_연령구간인구수,"12,715","2,637",942,"1,241","1,063","1,248","1,272",906,"3,406"
2020년01월_남_0~9세,542,164,23,37,40,37,48,29,164
2020년01월_남_10~19세,704,189,41,58,55,51,52,22,236
2020년01월_남_20~29세,"1,108",298,65,89,87,73,81,67,348
2020년01월_남_30~39세,"1,075",273,83,75,76,73,68,75,352
2020년01월_남_40~49세,"1,440",347,105,84,124,119,126,92,443
2020년01월_남_50~59세,"2,520",534,187,263,215,247,252,165,657
2020년01월_남_60~69세,"2,648",432,233,307,227,327,306,220,596
2020년01월_남_70~79세,"1,772",275,146,206,144,206,224,152,419
2020년01월_남_80~89세,840,117,57,112,90,108,103,73,180
2020년01월_남_90~99세,61,6,2,9,5,7,12,10,10
2020년01월_남_100세 이상,5,2,0,1,0,0,0,1,1
2020년01월_여_총인구수,"12,724","2,673",957,"1,283","1,038","1,277","1,385",921,"3,190"
2020년01월_여_연령구간인구수,"12,724","2,673",957,"1,283","1,038","1,277","1,385",921,"3,190"
2020년01월_여_0~9세,508,143,27,35,40,28,39,29,167
2020년01월_여_10~19세,603,192,24,43,47,49,39,30,179
2020년01월_여_20~29세,764,218,47,57,51,66,58,41,226
2020년01월_여_30~39세,741,232,46,44,43,53,54,36,233
2020년01월_여_40~49세,"1,066",285,61,85,78,84,88,60,325
2020년01월_여_50~59세,"2,312",476,191,243,196,260,259,134,553
2020년01월_여_60~69세,"2,660",459,217,323,208,323,304,198,628
2020년01월_여_70~79세,"2,306",370,207,264,209,239,296,189,532
2020년01월_여_80~89세,"1,519",248,123,162,146,151,206,171,312
2020년01월_여_90~99세,230,44,14,25,18,23,41,32,33
2020년01월_여_100세 이상,15,6,0,2,2,1,1,1,2
