카테고리,충청남도 공주시,충청남도 공주시 유구읍,충청남도 공주시 이인면,충청남도 공주시 탄천면,충청남도 공주시 계룡면,충청남도 공주시 반포면,충청남도 공주시 의당면,충청남도 공주시 정안면,충청남도 공주시 우성면,충청남도 공주시 사곡면,충청남도 공주시 신풍면,충청남도 공주시 중학동,충청남도 공주시 웅진동,충청남도 공주시 금학동,충청남도 공주시 옥룡동,충청남도 공주시 신관동,충청남도 공주시 월송동
2021년03월_계_총인구수,"103,839","7,353","3,241","2,974","5,486","4,237","4,670","4,628","5,220","2,913","3,208","4,573","8,219","5,397","7,973","19,358","14,389"
2021년03월_계_연령구간인구수,"103,839","7,353","3,241","2,974","5,486","4,237","4,670","4,628","5,220","2,913","3,208","4,573","8,219","5,397","7,973","19,358","14,389"
2021년03월_계_0~9세,"5,651",269,101,71,168,149,193,116,166,68,75,181,438,341,308,"1,366","1,641"
2021년03월_계_10~19세,"8,103",390,116,126,283,193,360,218,287,157,91,315,687,586,540,"2,054","1,700"
2021년03월_계_20~29세,"11,030",466,224,196,309,334,461,286,362,185,161,570,927,717,861,"3,165","1,806"
2021년03월_계_30~39세,"9,347",479,184,181,297,319,349,253,337,143,172,374,831,524,684,"2,282","1,938"
2021년03월_계_40~49세,"13,157",755,271,232,480,471,579,432,525,252,303,561,"1,150",774,"1,009","2,971","2,392"
2021년03월_계_50~59세,"18,163","1,298",595,473,"1,012",957,953,777,909,504,600,802,"1,397",857,"1,536","3,260","2,233"
2021년03월_계_60~69세,"18,747","1,774",743,668,"1,384","1,009",872,"1,139","1,170",683,878,802,"1,431",869,"1,509","2,382","1,434"
2021년03월_계_70~79세,"11,415","1,115",544,532,867,506,505,738,804,479,547,591,850,448,957,"1,204",728
2021년03월_계_80~89세,"7,139",719,405,420,594,253,341,569,566,395,324,319,448,243,512,591,440
2021년03월_계_90~99세,"1,049",86,55,72,91,45,57,99,88,43,52,58,55,36,57,81,74
2021년03월_계_100세 이상,38,2,3,3,1,1,0,1,6,4,5,0,5,2,0,2,3
2021년03월_남_총인구수,"51,972","3,713","1,658","1,537","2,809","2,226","2,411","2,410","2,718","1,463","1,438","2,280","4,029","2,702","4,023","9,446","7,109"
2021년03월_남_연령구간인구수,"51,972","3,713","1,658","1,537","2,809","2,226","2,411","2,410","2,718","1,463","1,438","2,280","4,029","2,702","4,023","9,446","7,109"
2021년03월_남_0~9세,"2,929",152,46,36,88,92,93,65,89,37,36,96,234,177,159,710,819
2021년03월_남_10~19세,"4,191",199,75,62,151,113,179,125,140,75,49,173,334,289,278,"1,050",899
2021년03월_남_20~29세,"6,061",289,129,129,179,191,278,177,222,96,97,300,496,365,500,"1,627",986
2021년03월_남_30~39세,"5,027",288,106,106,161,184,191,143,210,91,87,214,463,283,401,"1,171",928
2021년03월_남_40~49세,"6,951",436,169,143,286,249,329,274,330,150,132,306,610,398,551,"1,438","1,150"
2021년03월_남_50~59세,"9,364",643,339,272,595,517,511,419,514,282,257,406,692,442,788,"1,571","1,116"
2021년03월_남_60~69세,"9,394",908,389,362,700,522,457,613,605,357,407,391,669,449,738,"1,102",725
2021년03월_남_70~79세,"5,253",514,257,257,428,240,248,354,392,213,236,259,360,221,409,538,327
2021년03월_남_80~89세,"2,521",264,127,153,197,104,114,209,190,152,120,118,157,74,183,220,139
2021년03월_남_90~99세,273,19,21,17,23,14,11,31,26,9,17,17,13,3,16,17,19
2021년03월_남_100세 이상,8,1,0,0,1,0,0,0,0,1,0,0,1,1,0,2,1
2021년03월_여_총인구수,"51,867","3,640","1,583","1,437","2,677","2,011","2,259","2,218","2,502","1,450","1,770","2,293","4,190","2,695","3,950","9,912","7,280"
2021년03월_여_연령구간인구수,"51,867","3,640","1,583","1,437","2,677","2,011","2,259","2,218","2,502","1,450","1,770","2,293","4,190","2,695","3,950","9,912","7,280"
2021년03월_여_0~9세,"2,722",117,55,35,80,57,100,51,77,31,39,85,204,164,149,656,822
2021년03월_여_10~19세,"3,912",191,41,64,132,80,181,93,147,82,42,142,353,297,262,"1,004",801
2021년03월_여_20~29세,"4,969",177,95,67,130,143,183,109,140,89,64,270,431,352,361,"1,538",820
2021년03월_여_30~39세,"4,320",191,78,75,136,135,158,110,127,52,85,160,368,241,283,"1,111","1,010"
2021년03월_여_40~49세,"6,206",319,102,89,194,222,250,158,195,102,171,255,540,376,458,"1,533","1,242"
2021년03월_여_50~59세,"8,799",655,256,201,417,440,442,358,395,222,343,396,705,415,748,"1,689","1,117"
2021년03월_여_60~69세,"9,353",866,354,306,684,487,415,526,565,326,471,411,762,420,771,"1,280",709
2021년03월_여_70~79세,"6,162",601,287,275,439,266,257,384,412,266,311,332,490,227,548,666,401
2021년03월_여_80~89세,"4,618",455,278,267,397,149,227,360,376,243,204,201,291,169,329,371,301
2021년03월_여_90~99세,776,67,34,55,68,31,46,68,62,34,35,41,42,33,41,64,55
2021년03월_여_100세 이상,30,1,3,3,0,1,0,1,6,3,5,0,4,1,0,0,2
