,전라북도 고창군,전라북도 고창군 고창읍,전라북도 고창군 고수면,전라북도 고창군 아산면,전라북도 고창군 무장면,전라북도 고창군 공음면,전라북도 고창군 상하면,전라북도 고창군 해리면,전라북도 고창군 성송면,전라북도 고창군 대산면,전라북도 고창군 심원면,전라북도 고창군 흥덕면,전라북도 고창군 성내면,전라북도 고창군 신림면,전라북도 고창군 부안면
2021년10월_계_총인구수,"53,534","21,155","2,229","2,613","2,717","2,479","2,383","2,703","1,778","3,217","2,453","3,125","1,906","2,205","2,571"
2021년10월_계_연령구간인구수,"53,534","21,155","2,229","2,613","2,717","2,479","2,383","2,703","1,778","3,217","2,453","3,125","1,906","2,205","2,571"
2021년10월_계_0~9세,"2,478","1,720",41,74,81,51,57,71,31,68,61,79,33,45,66
2021년10월_계_10~19세,"4,120","2,643",94,96,202,113,147,104,52,144,100,149,58,105,113
2021년10월_계_20~29세,"4,038","2,249",137,146,152,122,144,131,67,168,142,213,114,135,118
2021년10월_계_30~39세,"3,613","2,034",112,135,119,127,110,125,82,136,147,159,93,104,130
2021년10월_계_40~49세,"5,859","3,057",192,227,232,208,219,213,133,259,228,309,172,193,217
2021년10월_계_50~59세,"8,773","3,420",392,473,441,390,412,384,293,544,469,525,282,352,396
2021년10월_계_60~69세,"10,106","2,975",496,592,545,568,486,644,412,723,545,686,437,459,538
2021년10월_계_70~79세,"8,157","1,822",422,481,539,479,467,593,343,651,426,537,395,429,573
2021년10월_계_80~89세,"5,473","1,044",291,337,363,365,298,381,308,464,290,399,273,315,345
2021년10월_계_90~99세,885,182,50,50,41,53,43,56,56,58,44,66,49,66,71
2021년10월_계_100세 이상,32,9,2,2,2,3,0,1,1,2,1,3,0,2,4
2021년10월_남_총인구수,"26,575","10,512","1,147","1,326","1,341","1,217","1,168","1,334",871,"1,594","1,228","1,539",980,"1,060","1,258"
2021년10월_남_연령구간인구수,"26,575","10,512","1,147","1,326","1,341","1,217","1,168","1,334",871,"1,594","1,228","1,539",980,"1,060","1,258"
2021년10월_남_0~9세,"1,317",898,21,35,45,31,32,43,15,43,38,43,14,24,35
2021년10월_남_10~19세,"2,270","1,466",57,56,118,49,91,49,32,79,47,70,41,50,65
2021년10월_남_20~29세,"2,329","1,254",83,84,93,79,83,74,46,104,76,132,75,73,73
2021년10월_남_30~39세,"1,945","1,013",70,79,59,80,61,75,51,82,85,96,54,54,86
2021년10월_남_40~49세,"3,314","1,523",121,146,150,125,138,149,77,172,160,176,118,119,140
2021년10월_남_50~59세,"4,859","1,712",238,295,266,231,229,237,189,296,259,291,165,206,245
2021년10월_남_60~69세,"5,063","1,436",282,295,257,281,240,301,202,392,274,363,236,239,265
2021년10월_남_70~79세,"3,580",792,185,214,230,220,207,285,154,271,187,232,178,185,240
2021년10월_남_80~89세,"1,746",384,87,114,115,111,77,112,92,141,95,126,91,103,98
2021년10월_남_90~99세,150,33,3,7,8,10,10,9,13,14,7,10,8,7,11
2021년10월_남_100세 이상,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2021년10월_여_총인구수,"26,959","10,643","1,082","1,287","1,376","1,262","1,215","1,369",907,"1,623","1,225","1,586",926,"1,145","1,313"
2021년10월_여_연령구간인구수,"26,959","10,643","1,082","1,287","1,376","1,262","1,215","1,369",907,"1,623","1,225","1,586",926,"1,145","1,313"
2021년10월_여_0~9세,"1,161",822,20,39,36,20,25,28,16,25,23,36,19,21,31
2021년10월_여_10~19세,"1,850","1,177",37,40,84,64,56,55,20,65,53,79,17,55,48
2021년10월_여_20~29세,"1,709",995,54,62,59,43,61,57,21,64,66,81,39,62,45
2021년10월_여_30~39세,"1,668","1,021",42,56,60,47,49,50,31,54,62,63,39,50,44
2021년10월_여_40~49세,"2,545","1,534",71,81,82,83,81,64,56,87,68,133,54,74,77
2021년10월_여_50~59세,"3,914","1,708",154,178,175,159,183,147,104,248,210,234,117,146,151
2021년10월_여_60~69세,"5,043","1,539",214,297,288,287,246,343,210,331,271,323,201,220,273
2021년10월_여_70~79세,"4,577","1,030",237,267,309,259,260,308,189,380,239,305,217,244,333
2021년10월_여_80~89세,"3,727",660,204,223,248,254,221,269,216,323,195,273,182,212,247
2021년10월_여_90~99세,735,149,47,43,33,43,33,47,43,44,37,56,41,59,60
2021년10월_여_100세 이상,30,8,2,1,2,3,0,1,1,2,1,3,0,2,4
