카테고리,충청북도 단양군,충청북도 단양군 단양읍,충청북도 단양군 매포읍,충청북도 단양군 대강면,충청북도 단양군 가곡면,충청북도 단양군 영춘면,충청북도 단양군 어상천면,충청북도 단양군 적성면,충청북도 단양군 단성면
2021년12월_계_총인구수,"28,331","10,329","5,223","2,449","2,072","3,193","1,861","1,525","1,679"
2021년12월_계_연령구간인구수,"28,331","10,329","5,223","2,449","2,072","3,193","1,861","1,525","1,679"
2021년12월_계_0~9세,"1,086",594,232,60,45,63,38,21,33
2021년12월_계_10~19세,"1,860",910,398,94,130,164,56,27,81
2021년12월_계_20~29세,"2,051","1,046",424,120,107,121,82,60,91
2021년12월_계_30~39세,"1,806",932,375,88,72,124,61,76,78
2021년12월_계_40~49세,"3,060","1,411",649,187,171,283,135,107,117
2021년12월_계_50~59세,"5,346","1,906",947,475,385,655,373,280,325
2021년12월_계_60~69세,"6,819","1,935","1,064",707,605,905,601,498,504
2021년12월_계_70~79세,"3,777",978,714,409,338,522,299,255,262
2021년12월_계_80~89세,"2,224",535,380,263,194,314,195,175,168
2021년12월_계_90~99세,291,79,40,44,24,41,21,25,17
2021년12월_계_100세 이상,11,3,0,2,1,1,0,1,3
2021년12월_남_총인구수,"14,360","5,163","2,707","1,225","1,105","1,531","1,023",781,825
2021년12월_남_연령구간인구수,"14,360","5,163","2,707","1,225","1,105","1,531","1,023",781,825
2021년12월_남_0~9세,569,298,131,29,29,32,22,9,19
2021년12월_남_10~19세,999,468,221,49,79,91,39,13,39
2021년12월_남_20~29세,"1,183",577,257,63,64,82,56,29,55
2021년12월_남_30~39세,976,496,216,46,40,61,31,48,38
2021년12월_남_40~49세,"1,683",743,367,102,102,142,88,71,68
2021년12월_남_50~59세,"2,853","1,012",524,267,206,326,194,155,169
2021년12월_남_60~69세,"3,537",951,534,371,319,448,358,278,278
2021년12월_남_70~79세,"1,691",414,309,194,179,227,145,116,107
2021년12월_남_80~89세,794,186,139,93,80,112,84,53,47
2021년12월_남_90~99세,73,18,9,10,7,10,6,9,4
2021년12월_남_100세 이상,2,0,0,1,0,0,0,0,1
2021년12월_여_총인구수,"13,971","5,166","2,516","1,224",967,"1,662",838,744,854
2021년12월_여_연령구간인구수,"13,971","5,166","2,516","1,224",967,"1,662",838,744,854
2021년12월_여_0~9세,517,296,101,31,16,31,16,12,14
2021년12월_여_10~19세,861,442,177,45,51,73,17,14,42
2021년12월_여_20~29세,868,469,167,57,43,39,26,31,36
2021년12월_여_30~39세,830,436,159,42,32,63,30,28,40
2021년12월_여_40~49세,"1,377",668,282,85,69,141,47,36,49
2021년12월_여_50~59세,"2,493",894,423,208,179,329,179,125,156
2021년12월_여_60~69세,"3,282",984,530,336,286,457,243,220,226
2021년12월_여_70~79세,"2,086",564,405,215,159,295,154,139,155
2021년12월_여_80~89세,"1,430",349,241,170,114,202,111,122,121
2021년12월_여_90~99세,218,61,31,34,17,31,15,16,13
2021년12월_여_100세 이상,9,3,0,1,1,1,0,1,2
