카테고리,전라남도 목포시,전라남도 목포시 용당1동,전라남도 목포시 용당2동,전라남도 목포시 연동,전라남도 목포시 산정동,전라남도 목포시 연산동,전라남도 목포시 원산동,전라남도 목포시 대성동,전라남도 목포시 목원동,전라남도 목포시 동명동,전라남도 목포시 삼학동,전라남도 목포시 만호동,전라남도 목포시 유달동,전라남도 목포시 죽교동,전라남도 목포시 북항동,전라남도 목포시 용해동,전라남도 목포시 이로동,전라남도 목포시 상동,전라남도 목포시 하당동,전라남도 목포시 신흥동,전라남도 목포시 삼향동,전라남도 목포시 옥암동,전라남도 목포시 부흥동,전라남도 목포시 부주동
2020년11월_계_총인구수,"224,973","10,820","5,306","4,742","8,706","9,817","13,324","5,226","7,931","5,577","6,196","3,023","4,461","3,262","9,494","17,520","10,908","20,730","11,946","16,889","4,897","11,548","9,054","23,596"
2020년11월_계_연령구간인구수,"224,973","10,820","5,306","4,742","8,706","9,817","13,324","5,226","7,931","5,577","6,196","3,023","4,461","3,262","9,494","17,520","10,908","20,730","11,946","16,889","4,897","11,548","9,054","23,596"
2020년11월_계_0~9세,"18,501",486,234,162,617,"1,390","1,006",497,241,206,433,61,146,144,721,"1,884","1,001","1,816",839,"1,346",424,"1,171",772,"2,904"
2020년11월_계_10~19세,"24,631",747,329,303,937,"1,127","1,562",476,441,338,605,140,207,246,"1,007","2,468","1,444","2,327","1,161","1,893",539,"1,594",969,"3,771"
2020년11월_계_20~29세,"27,206","1,127",553,424,"1,022","1,295","1,821",526,739,541,718,208,516,316,"1,148","1,792","1,161","2,422","2,109","2,642",545,"1,513","1,248","2,820"
2020년11월_계_30~39세,"26,078","1,025",475,365,927,"1,681","1,389",750,640,457,648,213,312,248,"1,013","2,218","1,226","2,470","1,647","2,007",564,"1,484","1,174","3,145"
2020년11월_계_40~49세,"37,641","1,420",721,647,"1,349","1,716","2,271",828,"1,037",739,942,417,535,455,"1,533","3,293","1,871","3,486","2,118","2,750",829,"2,141","1,555","4,988"
2020년11월_계_50~59세,"36,381","1,808",866,831,"1,458","1,205","2,375",798,"1,390",900,952,554,739,531,"1,638","2,485","1,651","3,360","1,980","3,135",773,"1,838","1,659","3,455"
2020년11월_계_60~69세,"28,849","2,071","1,072",863,"1,248",806,"1,600",682,"1,525","1,091","1,001",685,867,577,"1,381","1,787","1,398","2,689","1,234","1,920",656,"1,066",977,"1,653"
2020년11월_계_70~79세,"17,608","1,492",784,785,777,409,887,440,"1,308",933,650,517,750,508,736,"1,064",782,"1,461",575,789,387,492,468,614
2020년11월_계_80~89세,"7,043",561,227,319,323,157,364,206,512,340,229,194,343,205,287,467,324,602,247,357,157,219,202,201
2020년11월_계_90~99세,954,78,41,39,44,29,42,19,89,30,18,28,37,27,30,59,46,91,34,48,23,28,29,45
2020년11월_계_100세 이상,81,5,4,4,4,2,7,4,9,2,0,6,9,5,0,3,4,6,2,2,0,2,1,0
2020년11월_남_총인구수,"111,999","5,427","2,684","2,396","4,239","4,833","6,592","2,563","4,032","2,930","3,051","1,601","2,390","1,698","4,757","8,635","5,380","10,126","6,157","8,421","2,457","5,541","4,412","11,677"
2020년11월_남_연령구간인구수,"111,999","5,427","2,684","2,396","4,239","4,833","6,592","2,563","4,032","2,930","3,051","1,601","2,390","1,698","4,757","8,635","5,380","10,126","6,157","8,421","2,457","5,541","4,412","11,677"
2020년11월_남_0~9세,"9,505",268,122,76,295,729,526,268,115,109,222,27,71,68,392,968,539,949,433,680,202,584,376,"1,486"
2020년11월_남_10~19세,"12,620",368,170,152,493,571,798,236,227,177,286,75,110,127,505,"1,260",736,"1,194",651,"1,008",295,784,511,"1,886"
2020년11월_남_20~29세,"14,699",636,324,233,533,643,"1,030",266,404,305,391,113,355,183,638,991,635,"1,280","1,065","1,422",285,777,647,"1,543"
2020년11월_남_30~39세,"13,419",588,262,223,496,830,734,371,368,272,351,132,191,149,540,"1,084",593,"1,290",887,"1,027",290,690,601,"1,450"
2020년11월_남_40~49세,"19,373",802,428,411,688,863,"1,126",436,594,463,507,272,361,268,823,"1,668",942,"1,697","1,125","1,325",430,964,773,"2,407"
2020년11월_남_50~59세,"18,227",924,451,458,687,593,"1,184",405,765,500,441,337,448,316,786,"1,216",780,"1,582","1,048","1,490",397,902,774,"1,743"
2020년11월_남_60~69세,"13,752",938,485,402,570,356,732,330,755,501,452,341,436,298,639,817,651,"1,305",610,984,328,512,468,842
2020년11월_남_70~79세,"7,814",674,364,327,361,196,352,186,591,441,308,222,315,212,326,453,370,650,259,350,177,228,185,267
2020년11월_남_80~89세,"2,378",211,72,100,108,48,100,61,189,151,89,76,96,70,103,159,130,160,72,125,50,93,70,45
2020년11월_남_90~99세,196,15,6,12,8,3,9,3,22,10,4,4,7,5,5,19,4,19,7,10,3,7,6,8
2020년11월_남_100세 이상,16,3,0,2,0,1,1,1,2,1,0,2,0,2,0,0,0,0,0,0,0,0,1,0
2020년11월_여_총인구수,"112,974","5,393","2,622","2,346","4,467","4,984","6,732","2,663","3,899","2,647","3,145","1,422","2,071","1,564","4,737","8,885","5,528","10,604","5,789","8,468","2,440","6,007","4,642","11,919"
2020년11월_여_연령구간인구수,"112,974","5,393","2,622","2,346","4,467","4,984","6,732","2,663","3,899","2,647","3,145","1,422","2,071","1,564","4,737","8,885","5,528","10,604","5,789","8,468","2,440","6,007","4,642","11,919"
2020년11월_여_0~9세,"8,996",218,112,86,322,661,480,229,126,97,211,34,75,76,329,916,462,867,406,666,222,587,396,"1,418"
2020년11월_여_10~19세,"12,011",379,159,151,444,556,764,240,214,161,319,65,97,119,502,"1,208",708,"1,133",510,885,244,810,458,"1,885"
2020년11월_여_20~29세,"12,507",491,229,191,489,652,791,260,335,236,327,95,161,133,510,801,526,"1,142","1,044","1,220",260,736,601,"1,277"
2020년11월_여_30~39세,"12,659",437,213,142,431,851,655,379,272,185,297,81,121,99,473,"1,134",633,"1,180",760,980,274,794,573,"1,695"
2020년11월_여_40~49세,"18,268",618,293,236,661,853,"1,145",392,443,276,435,145,174,187,710,"1,625",929,"1,789",993,"1,425",399,"1,177",782,"2,581"
2020년11월_여_50~59세,"18,154",884,415,373,771,612,"1,191",393,625,400,511,217,291,215,852,"1,269",871,"1,778",932,"1,645",376,936,885,"1,712"
2020년11월_여_60~69세,"15,097","1,133",587,461,678,450,868,352,770,590,549,344,431,279,742,970,747,"1,384",624,936,328,554,509,811
2020년11월_여_70~79세,"9,794",818,420,458,416,213,535,254,717,492,342,295,435,296,410,611,412,811,316,439,210,264,283,347
