카테고리,충청남도 보령시,충청남도 보령시 웅천읍,충청남도 보령시 주포면,충청남도 보령시 오천면,충청남도 보령시 오천면어항출장소,충청남도 보령시 원산도출장소,충청남도 보령시 천북면,충청남도 보령시 청소면,충청남도 보령시 청라면,충청남도 보령시 남포면,충청남도 보령시 주산면,충청남도 보령시 미산면,충청남도 보령시 성주면,충청남도 보령시 주교면,충청남도 보령시 대천1동,충청남도 보령시 대천2동,충청남도 보령시 대천3동,충청남도 보령시 대천4동,충청남도 보령시 대천5동
2021년12월_계_총인구수,"98,408","6,018","1,632","2,149","1,602","1,113","3,423","2,593","3,851","5,101","2,398","1,702","2,148","5,160","14,048","6,721","16,196","16,276","6,277"
2021년12월_계_연령구간인구수,"98,408","6,018","1,632","2,149","1,602","1,113","3,423","2,593","3,851","5,101","2,398","1,702","2,148","5,160","14,048","6,721","16,196","16,276","6,277"
2021년12월_계_0~9세,"5,616",123,34,38,53,26,101,56,104,137,30,35,68,154,977,421,"1,516","1,511",232
2021년12월_계_10~19세,"8,043",285,85,110,100,61,165,100,191,247,85,63,101,317,"1,388",651,"1,915","1,818",361
2021년12월_계_20~29세,"9,094",348,172,135,119,66,205,144,252,352,106,82,146,446,"1,616",681,"1,897","1,857",470
2021년12월_계_30~39세,"8,848",338,82,118,96,60,197,130,193,258,89,65,132,345,"1,536",719,"2,051","1,934",505
2021년12월_계_40~49세,"13,356",536,152,227,210,100,319,201,357,446,169,128,253,638,"2,117","1,048","2,988","2,742",725
2021년12월_계_50~59세,"16,641","1,048",271,383,301,207,551,403,637,915,361,247,375,928,"2,408","1,134","2,527","2,739","1,206"
2021년12월_계_60~69세,"17,910","1,559",405,530,387,256,837,601,935,"1,238",591,445,519,"1,114","2,122","1,003","1,880","2,038","1,450"
2021년12월_계_70~79세,"11,320","1,025",270,348,190,190,585,514,677,856,506,355,358,716,"1,240",654,930,"1,061",845
2021년12월_계_80~89세,"6,568",632,137,223,124,127,402,380,441,541,384,239,179,438,572,372,445,508,424
2021년12월_계_90~99세,987,124,24,36,21,20,60,64,59,105,76,43,16,63,71,37,45,66,57
2021년12월_계_100세 이상,25,0,0,1,1,0,1,0,5,6,1,0,1,1,1,1,2,2,2
2021년12월_남_총인구수,"49,933","3,044",855,"1,138",859,602,"1,773","1,300","1,940","2,566","1,194",873,"1,073","2,727","7,076","3,394","8,128","8,129","3,262"
2021년12월_남_연령구간인구수,"49,933","3,044",855,"1,138",859,602,"1,773","1,300","1,940","2,566","1,194",873,"1,073","2,727","7,076","3,394","8,128","8,129","3,262"
2021년12월_남_0~9세,"2,852",65,13,14,24,12,49,35,57,77,21,16,40,77,492,210,769,771,110
2021년12월_남_10~19세,"4,150",142,41,57,55,33,91,60,101,124,49,38,60,165,699,317,976,959,183
2021년12월_남_20~29세,"5,348",228,129,77,79,45,125,81,149,203,61,52,83,294,946,390,"1,065","1,045",296
2021년12월_남_30~39세,"4,823",193,38,75,55,39,127,84,112,158,53,31,74,212,835,398,"1,035",994,310
2021년12월_남_40~49세,"7,290",327,91,148,128,67,195,126,209,252,111,93,158,388,"1,076",561,"1,545","1,359",456
2021년12월_남_50~59세,"8,916",572,160,236,179,130,312,237,352,510,201,140,208,509,"1,236",595,"1,276","1,401",662
2021년12월_남_60~69세,"8,844",790,218,261,196,139,423,302,487,632,301,245,241,562,"1,009",473,899,963,703
2021년12월_남_70~79세,"5,133",473,122,174,96,89,296,234,305,397,221,156,152,343,545,288,407,468,367
2021년12월_남_80~89세,"2,348",225,39,88,43,44,144,126,159,190,152,91,54,162,220,153,146,152,160
2021년12월_남_90~99세,225,29,4,8,4,4,11,15,9,22,23,11,3,15,18,9,10,15,15
2021년12월_남_100세 이상,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0
2021년12월_여_총인구수,"48,475","2,974",777,"1,011",743,511,"1,650","1,293","1,911","2,535","1,204",829,"1,075","2,433","6,972","3,327","8,068","8,147","3,015"
2021년12월_여_연령구간인구수,"48,475","2,974",777,"1,011",743,511,"1,650","1,293","1,911","2,535","1,204",829,"1,075","2,433","6,972","3,327","8,068","8,147","3,015"
2021년12월_여_0~9세,"2,764",58,21,24,29,14,52,21,47,60,9,19,28,77,485,211,747,740,122
2021년12월_여_10~19세,"3,893",143,44,53,45,28,74,40,90,123,36,25,41,152,689,334,939,859,178
2021년12월_여_20~29세,"3,746",120,43,58,40,21,80,63,103,149,45,30,63,152,670,291,832,812,174
2021년12월_여_30~39세,"4,025",145,44,43,41,21,70,46,81,100,36,34,58,133,701,321,"1,016",940,195
2021년12월_여_40~49세,"6,066",209,61,79,82,33,124,75,148,194,58,35,95,250,"1,041",487,"1,443","1,383",269
2021년12월_여_50~59세,"7,725",476,111,147,122,77,239,166,285,405,160,107,167,419,"1,172",539,"1,251","1,338",544
2021년12월_여_60~69세,"9,066",769,187,269,191,117,414,299,448,606,290,200,278,552,"1,113",530,981,"1,075",747
2021년12월_여_70~79세,"6,187",552,148,174,94,101,289,280,372,459,285,199,206,373,695,366,523,593,478
2021년12월_여_80~89세,"4,220",407,98,135,81,83,258,254,282,351,232,148,125,276,352,219,299,356,264
2021년12월_여_90~99세,762,95,20,28,17,16,49,49,50,83,53,32,13,48,53,28,35,51,42
2021년12월_여_100세 이상,21,0,0,1,1,0,1,0,5,5,0,0,1,1,1,1,2,0,2
