카테고리,전라남도 장흥군,전라남도 장흥군 장흥읍,전라남도 장흥군 관산읍,전라남도 장흥군 대덕읍,전라남도 장흥군 용산면,전라남도 장흥군 안양면,전라남도 장흥군 장동면,전라남도 장흥군 장평면,전라남도 장흥군 유치면,전라남도 장흥군 부산면,전라남도 장흥군 회진면
2021년03월_계_총인구수,"37,266","15,238","4,886","3,353","2,316","2,829","1,255","2,085","1,073","1,433","2,798"
2021년03월_계_연령구간인구수,"37,266","15,238","4,886","3,353","2,316","2,829","1,255","2,085","1,073","1,433","2,798"
2021년03월_계_0~9세,"1,951","1,273",150,133,83,80,35,39,13,42,103
2021년03월_계_10~19세,"2,730","1,579",279,200,110,132,48,101,36,75,170
2021년03월_계_20~29세,"3,027","1,583",319,216,132,199,71,142,61,90,214
2021년03월_계_30~39세,"2,661","1,496",277,185,136,168,65,86,46,51,151
2021년03월_계_40~49세,"4,022","2,090",402,326,196,253,98,154,90,139,274
2021년03월_계_50~59세,"6,230","2,473",843,563,338,491,208,383,250,235,446
2021년03월_계_60~69세,"6,633","2,183",999,672,505,569,264,379,252,246,564
2021년03월_계_70~79세,"5,419","1,472",883,575,410,481,218,396,176,262,546
2021년03월_계_80~89세,"3,930",908,640,418,334,374,221,368,126,238,303
2021년03월_계_90~99세,641,170,92,64,69,81,25,37,22,54,27
2021년03월_계_100세 이상,22,11,2,1,3,1,2,0,1,1,0
2021년03월_남_총인구수,"18,134","7,435","2,386","1,610","1,120","1,391",591,988,541,704,"1,368"
2021년03월_남_연령구간인구수,"18,134","7,435","2,386","1,610","1,120","1,391",591,988,541,704,"1,368"
2021년03월_남_0~9세,980,629,84,50,46,51,15,19,4,24,58
2021년03월_남_10~19세,"1,448",822,163,105,60,78,21,49,22,37,91
2021년03월_남_20~29세,"1,715",888,186,118,77,114,33,80,36,51,132
2021년03월_남_30~39세,"1,408",736,153,101,85,103,35,50,30,28,87
2021년03월_남_40~49세,"2,225","1,045",235,204,121,149,65,104,54,84,164
2021년03월_남_50~59세,"3,395","1,311",454,314,187,274,120,215,147,145,228
2021년03월_남_60~69세,"3,315","1,047",510,339,271,298,132,197,131,131,259
2021년03월_남_70~79세,"2,304",634,363,240,168,213,101,162,72,109,242
2021년03월_남_80~89세,"1,216",290,217,125,93,95,63,106,39,85,103
2021년03월_남_90~99세,125,32,21,14,12,16,5,6,6,9,4
2021년03월_남_100세 이상,3,1,0,0,0,0,1,0,0,1,0
2021년03월_여_총인구수,"19,132","7,803","2,500","1,743","1,196","1,438",664,"1,097",532,729,"1,430"
2021년03월_여_연령구간인구수,"19,132","7,803","2,500","1,743","1,196","1,438",664,"1,097",532,729,"1,430"
2021년03월_여_0~9세,971,644,66,83,37,29,20,20,9,18,45
2021년03월_여_10~19세,"1,282",757,116,95,50,54,27,52,14,38,79
2021년03월_여_20~29세,"1,312",695,133,98,55,85,38,62,25,39,82
2021년03월_여_30~39세,"1,253",760,124,84,51,65,30,36,16,23,64
2021년03월_여_40~49세,"1,797","1,045",167,122,75,104,33,50,36,55,110
2021년03월_여_50~59세,"2,835","1,162",389,249,151,217,88,168,103,90,218
2021년03월_여_60~69세,"3,318","1,136",489,333,234,271,132,182,121,115,305
2021년03월_여_70~79세,"3,115",838,520,335,242,268,117,234,104,153,304
2021년03월_여_80~89세,"2,714",618,423,293,241,279,158,262,87,153,200
2021년03월_여_90~99세,516,138,71,50,57,65,20,31,16,45,23
2021년03월_여_100세 이상,19,10,2,1,3,1,1,0,1,0,0
