카테고리,광주광역시 광산구,광주광역시 광산구 송정1동,광주광역시 광산구 송정2동,광주광역시 광산구 도산동,광주광역시 광산구 신흥동,광주광역시 광산구 어룡동,광주광역시 광산구 우산동,광주광역시 광산구 월곡1동,광주광역시 광산구 월곡2동,광주광역시 광산구 비아동,광주광역시 광산구 첨단1동,광주광역시 광산구 첨단2동,광주광역시 광산구 신가동,광주광역시 광산구 운남동,광주광역시 광산구 수완동,광주광역시 광산구 하남동,광주광역시 광산구 임곡동,광주광역시 광산구 동곡동,광주광역시 광산구 평동,광주광역시 광산구 삼도동,광주광역시 광산구 본량동,광주광역시 광산구 신창동
2021년06월_계_총인구수,"404,645","11,002","6,579","15,409","4,639","32,918","28,995","11,025","15,947","7,233","27,517","43,428","18,564","31,183","77,710","24,943","2,128","1,911","4,074","2,209","2,027","35,204"
2021년06월_계_연령구간인구수,"404,645","11,002","6,579","15,409","4,639","32,918","28,995","11,025","15,947","7,233","27,517","43,428","18,564","31,183","77,710","24,943","2,128","1,911","4,074","2,209","2,027","35,204"
2021년06월_계_0~9세,"38,583",661,310,"1,399",299,"3,844","2,354",688,"1,053",642,"1,973","3,740","2,009","2,801","9,814","3,071",60,41,131,50,28,"3,615"
2021년06월_계_10~19세,"51,669","1,116",368,"1,601",405,"3,712","2,146","1,110","1,976",751,"3,422","5,531","2,821","3,868","13,580","3,288",107,71,139,116,98,"5,443"
2021년06월_계_20~29세,"58,785","1,731","1,008","2,131",598,"4,013","4,379","1,870","2,454",857,"5,104","7,869","2,638","4,678","9,651","3,319",162,169,424,160,148,"5,422"
2021년06월_계_30~39세,"53,710","1,173",876,"2,110",543,"5,365","4,575","1,230","1,756",883,"3,451","5,798","2,308","3,930","10,085","3,697",111,137,453,149,121,"4,959"
2021년06월_계_40~49세,"75,720","1,818",835,"2,650",703,"6,131","4,272","1,604","2,776","1,353","4,292","7,937","3,877","5,718","17,920","5,066",183,181,490,195,216,"7,503"
2021년06월_계_50~59세,"65,060","1,866","1,101","2,469",789,"4,596","5,127","2,190","3,036","1,372","5,516","7,701","2,876","5,574","10,209","3,551",389,312,652,373,309,"5,052"
2021년06월_계_60~69세,"34,760","1,360",941,"1,570",639,"3,149","3,560","1,452","1,775",722,"2,434","2,984","1,168","2,569","4,041","1,995",467,416,811,462,390,"1,855"
2021년06월_계_70~79세,"17,165",890,774,"1,009",462,"1,390","1,599",570,771,403,830,"1,171",612,"1,372","1,740",641,335,365,571,369,360,931
2021년06월_계_80~89세,"7,959",337,316,409,167,620,847,271,313,221,418,612,219,603,573,271,263,188,337,293,309,372
2021년06월_계_90~99세,"1,184",47,44,59,31,92,136,40,36,29,75,81,34,67,95,42,50,28,63,40,47,48
2021년06월_계_100세 이상,50,3,6,2,3,6,0,0,1,0,2,4,2,3,2,2,1,3,3,2,1,4
2021년06월_남_총인구수,"203,914","5,578","3,309","7,779","2,348","16,815","14,746","5,565","8,058","3,813","13,655","21,875","9,451","15,278","38,376","12,811","1,110",985,"2,263","1,145","1,008","17,946"
2021년06월_남_연령구간인구수,"203,914","5,578","3,309","7,779","2,348","16,815","14,746","5,565","8,058","3,813","13,655","21,875","9,451","15,278","38,376","12,811","1,110",985,"2,263","1,145","1,008","17,946"
2021년06월_남_0~9세,"19,785",349,168,743,160,"1,995","1,210",356,531,322,"1,007","1,916","1,035","1,416","5,036","1,573",24,22,67,22,14,"1,819"
2021년06월_남_10~19세,"26,544",570,187,850,212,"1,878","1,101",590,"1,027",402,"1,726","2,861","1,440","2,015","6,788","1,716",61,43,73,61,53,"2,890"
2021년06월_남_20~29세,"31,252",977,531,"1,155",325,"2,212","2,318","1,018","1,300",482,"2,693","4,166","1,422","2,400","5,016","1,783",95,99,251,108,81,"2,820"
2021년06월_남_30~39세,"27,333",620,500,"1,092",302,"2,743","2,487",657,899,467,"1,769","3,024","1,132","1,955","4,666","1,865",66,92,283,94,63,"2,557"
2021년06월_남_40~49세,"37,705",937,460,"1,372",360,"3,311","2,237",794,"1,382",729,"1,955","3,751","1,913","2,766","8,604","2,640",116,114,348,115,137,"3,664"
2021년06월_남_50~59세,"33,774",981,566,"1,257",409,"2,312","2,624","1,069","1,560",777,"2,655","3,926","1,595","2,774","5,454","1,820",239,180,419,238,182,"2,737"
2021년06월_남_60~69세,"17,482",646,430,734,300,"1,549","1,852",725,886,386,"1,316","1,564",571,"1,238","1,917","1,039",261,213,443,253,230,929
2021년06월_남_70~79세,"7,450",367,346,434,217,613,698,269,355,181,369,478,272,514,726,294,156,169,270,176,139,407
2021년06월_남_80~89세,"2,368",118,110,129,56,188,206,78,111,59,153,178,63,180,154,73,86,49,96,72,98,111
2021년06월_남_90~99세,216,12,11,13,7,13,13,9,7,8,11,11,7,20,15,8,6,3,13,6,11,12
2021년06월_남_100세 이상,5,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0
2021년06월_여_총인구수,"200,731","5,424","3,270","7,630","2,291","16,103","14,249","5,460","7,889","3,420","13,862","21,553","9,113","15,905","39,334","12,132","1,018",926,"1,811","1,064","1,019","17,258"
2021년06월_여_연령구간인구수,"200,731","5,424","3,270","7,630","2,291","16,103","14,249","5,460","7,889","3,420","13,862","21,553","9,113","15,905","39,334","12,132","1,018",926,"1,811","1,064","1,019","17,258"
2021년06월_여_0~9세,"18,798",312,142,656,139,"1,849","1,144",332,522,320,966,"1,824",974,"1,385","4,778","1,498",36,19,64,28,14,"1,796"
2021년06월_여_10~19세,"25,125",546,181,751,193,"1,834","1,045",520,949,349,"1,696","2,670","1,381","1,853","6,792","1,572",46,28,66,55,45,"2,553"
2021년06월_여_20~29세,"27,533",754,477,976,273,"1,801","2,061",852,"1,154",375,"2,411","3,703","1,216","2,278","4,635","1,536",67,70,173,52,67,"2,602"
2021년06월_여_30~39세,"26,377",553,376,"1,018",241,"2,622","2,088",573,857,416,"1,682","2,774","1,176","1,975","5,419","1,832",45,45,170,55,58,"2,402"
2021년06월_여_40~49세,"38,015",881,375,"1,278",343,"2,820","2,035",810,"1,394",624,"2,337","4,186","1,964","2,952","9,316","2,426",67,67,142,80,79,"3,839"
2021년06월_여_50~59세,"31,286",885,535,"1,212",380,"2,284","2,503","1,121","1,476",595,"2,861","3,775","1,281","2,800","4,755","1,731",150,132,233,135,127,"2,315"
2021년06월_여_60~69세,"17,278",714,511,836,339,"1,600","1,708",727,889,336,"1,118","1,420",597,"1,331","2,124",956,206,203,368,209,160,926
2021년06월_여_70~79세,"9,715",523,428,575,245,777,901,301,416,222,461,693,340,858,"1,014",347,179,196,301,193,221,524
2021년06월_여_80~89세,"5,591",219,206,280,111,432,641,193,202,162,265,434,156,423,419,198,177,139,241,221,211,261
2021년06월_여_90~99세,968,35,33,46,24,79,123,31,29,21,64,70,27,47,80,34,44,25,50,34,36,36
2021년06월_여_100세 이상,45,2,6,2,3,5,0,0,1,0,1,4,1,3,2,2,1,2,3,2,1,4
