카테고리,부산광역시 서구,부산광역시 서구 동대신제1동,부산광역시 서구 동대신제2동,부산광역시 서구 동대신제3동,부산광역시 서구 서대신제1동,부산광역시 서구 서대신제3동,부산광역시 서구 서대신제4동,부산광역시 서구 부민동,부산광역시 서구 아미동,부산광역시 서구 초장동,부산광역시 서구 충무동,부산광역시 서구 남부민제1동,부산광역시 서구 남부민제2동,부산광역시 서구 암남동
2021년12월_계_총인구수,"105,164","5,614","7,333","7,702","13,712","8,120","7,758","7,517","6,607","4,271","9,896","4,870","8,992","12,772"
2021년12월_계_연령구간인구수,"105,164","5,614","7,333","7,702","13,712","8,120","7,758","7,517","6,607","4,271","9,896","4,870","8,992","12,772"
2021년12월_계_0~9세,"5,310",350,277,408,"1,084",565,597,407,86,99,456,131,292,558
2021년12월_계_10~19세,"7,082",365,471,511,"1,099",818,768,527,272,163,503,175,455,955
2021년12월_계_20~29세,"13,028",693,760,"1,211","1,685",893,865,"1,510",727,397,"1,418",432,803,"1,634"
2021년12월_계_30~39세,"10,552",675,595,848,"1,740",844,815,888,479,296,"1,100",421,672,"1,179"
2021년12월_계_40~49세,"14,164",762,939,"1,034","2,156","1,292","1,218","1,003",748,544,"1,255",544,"1,090","1,579"
2021년12월_계_50~59세,"17,090",926,"1,256","1,129","2,088","1,296","1,242","1,067","1,117",742,"1,660",868,"1,582","2,117"
2021년12월_계_60~69세,"19,315",923,"1,450","1,302","1,914","1,292","1,225","1,150","1,502",957,"1,817","1,150","2,020","2,613"
2021년12월_계_70~79세,"12,232",568,"1,010",815,"1,263",727,657,624,"1,052",677,"1,156",765,"1,431","1,487"
2021년12월_계_80~89세,"5,659",308,512,388,596,338,318,294,557,354,489,341,584,580
2021년12월_계_90~99세,714,43,62,55,87,54,51,43,63,42,42,43,60,69
2021년12월_계_100세 이상,18,1,1,1,0,1,2,4,4,0,0,0,3,1
2021년12월_남_총인구수,"50,853","2,744","3,563","3,614","6,456","3,724","3,737","3,548","3,350","2,164","4,717","2,464","4,480","6,292"
2021년12월_남_연령구간인구수,"50,853","2,744","3,563","3,614","6,456","3,724","3,737","3,548","3,350","2,164","4,717","2,464","4,480","6,292"
2021년12월_남_0~9세,"2,773",197,144,210,572,288,328,206,41,49,232,67,150,289
2021년12월_남_10~19세,"3,623",186,238,245,561,390,398,275,155,74,255,94,254,498
2021년12월_남_20~29세,"6,301",345,390,536,794,409,457,653,366,221,618,225,444,843
2021년12월_남_30~39세,"5,424",362,328,449,801,403,366,433,277,176,570,238,371,650
2021년12월_남_40~49세,"7,323",402,483,515,"1,052",599,580,509,439,317,648,321,600,858
2021년12월_남_50~59세,"8,809",472,641,565,"1,020",607,607,538,652,428,861,480,873,"1,065"
2021년12월_남_60~69세,"9,021",415,675,597,869,587,580,537,744,476,844,549,961,"1,187"
2021년12월_남_70~79세,"5,356",246,440,341,552,320,289,279,465,307,490,348,617,662
2021년12월_남_80~89세,"2,085",111,214,143,217,109,122,111,197,109,190,134,201,227
2021년12월_남_90~99세,133,8,10,13,18,12,9,6,11,7,9,8,9,13
2021년12월_남_100세 이상,5,0,0,0,0,0,1,1,3,0,0,0,0,0
2021년12월_여_총인구수,"54,311","2,870","3,770","4,088","7,256","4,396","4,021","3,969","3,257","2,107","5,179","2,406","4,512","6,480"
2021년12월_여_연령구간인구수,"54,311","2,870","3,770","4,088","7,256","4,396","4,021","3,969","3,257","2,107","5,179","2,406","4,512","6,480"
2021년12월_여_0~9세,"2,537",153,133,198,512,277,269,201,45,50,224,64,142,269
2021년12월_여_10~19세,"3,459",179,233,266,538,428,370,252,117,89,248,81,201,457
2021년12월_여_20~29세,"6,727",348,370,675,891,484,408,857,361,176,800,207,359,791
2021년12월_여_30~39세,"5,128",313,267,399,939,441,449,455,202,120,530,183,301,529
2021년12월_여_40~49세,"6,841",360,456,519,"1,104",693,638,494,309,227,607,223,490,721
2021년12월_여_50~59세,"8,281",454,615,564,"1,068",689,635,529,465,314,799,388,709,"1,052"
2021년12월_여_60~69세,"10,294",508,775,705,"1,045",705,645,613,758,481,973,601,"1,059","1,426"
2021년12월_여_70~79세,"6,876",322,570,474,711,407,368,345,587,370,666,417,814,825
2021년12월_여_80~89세,"3,574",197,298,245,379,229,196,183,360,245,299,207,383,353
2021년12월_여_90~99세,581,35,52,42,69,42,42,37,52,35,33,35,51,56
2021년12월_여_100세 이상,13,1,1,1,0,1,1,3,1,0,0,0,3,1
