,서울특별시 강북구,서울특별시 강북구 삼양동,서울특별시 강북구 미아동,서울특별시 강북구 송중동,서울특별시 강북구 송천동,서울특별시 강북구 삼각산동,서울특별시 강북구 번1동,서울특별시 강북구 번2동,서울특별시 강북구 번3동,서울특별시 강북구 수유1동,서울특별시 강북구 수유2동,서울특별시 강북구 수유3동,서울특별시 강북구 우이동,서울특별시 강북구 인수동
2021년07월_계_총인구수,"302,113","24,006","21,799","29,785","26,751","31,391","18,585","16,044","17,115","20,782","21,356","23,152","20,631","30,716"
2021년07월_계_연령구간인구수,"302,113","24,006","21,799","29,785","26,751","31,391","18,585","16,044","17,115","20,782","21,356","23,152","20,631","30,716"
2021년07월_계_0~9세,"14,788","1,224",720,"1,485","1,008","2,864",633,638,912,963,"1,029",779,"1,044","1,489"
2021년07월_계_10~19세,"21,241","1,917","1,286","1,979","1,554","3,934","1,058","1,025","1,275","1,307","1,394","1,086","1,361","2,065"
2021년07월_계_20~29세,"41,811","3,108","3,764","4,227","3,534","3,321","3,178","2,182","1,863","3,007","2,931","4,150","2,607","3,939"
2021년07월_계_30~39세,"37,619","2,906","2,883","3,985","3,176","3,642","2,679","1,747","1,679","2,755","2,503","3,349","2,555","3,760"
2021년07월_계_40~49세,"45,038","3,503","2,960","4,462","3,737","6,336","2,813","2,305","2,515","2,924","3,030","3,220","2,905","4,328"
2021년07월_계_50~59세,"51,628","4,336","3,758","5,085","4,931","4,986","3,076","2,695","2,772","3,518","3,702","3,947","3,543","5,279"
2021년07월_계_60~69세,"46,982","3,813","3,424","4,679","4,684","3,395","2,692","2,701","2,718","3,387","3,472","3,514","3,372","5,131"
2021년07월_계_70~79세,"29,455","2,205","2,041","2,716","2,857","1,982","1,725","1,962","2,471","1,943","2,130","2,129","2,129","3,165"
2021년07월_계_80~89세,"12,079",870,871,"1,047","1,131",832,656,714,826,866,"1,032",881,984,"1,369"
2021년07월_계_90~99세,"1,427",119,91,115,130,94,75,73,81,109,132,95,126,187
2021년07월_계_100세 이상,45,5,1,5,9,5,0,2,3,3,1,2,5,4
2021년07월_남_총인구수,"147,237","11,961","10,524","14,299","13,306","15,078","9,394","7,771","8,021","10,286","10,214","11,520","10,017","14,846"
2021년07월_남_연령구간인구수,"147,237","11,961","10,524","14,299","13,306","15,078","9,394","7,771","8,021","10,286","10,214","11,520","10,017","14,846"
2021년07월_남_0~9세,"7,642",638,372,764,510,"1,484",329,338,460,495,541,395,542,774
2021년07월_남_10~19세,"10,879","1,014",675,950,791,"1,984",544,536,647,658,742,593,713,"1,032"
2021년07월_남_20~29세,"20,572","1,615","1,654","2,078","1,806","1,654","1,594","1,130",951,"1,502","1,402","1,971","1,235","1,980"
2021년07월_남_30~39세,"19,668","1,529","1,525","1,997","1,684","1,687","1,450",975,864,"1,499","1,313","1,832","1,345","1,968"
2021년07월_남_40~49세,"23,128","1,791","1,544","2,274","1,999","3,059","1,500","1,166","1,261","1,569","1,520","1,717","1,512","2,216"
2021년07월_남_50~59세,"25,455","2,186","1,838","2,407","2,491","2,499","1,615","1,333","1,345","1,727","1,764","2,012","1,734","2,504"
2021년07월_남_60~69세,"21,920","1,811","1,672","2,158","2,286","1,552","1,275","1,227","1,212","1,580","1,583","1,623","1,549","2,392"
2021년07월_남_70~79세,"12,747","1,007",883,"1,192","1,255",845,780,788,941,868,903,964,937,"1,384"
2021년07월_남_80~89세,"4,826",334,341,448,444,293,282,261,323,350,405,379,413,553
2021년07월_남_90~99세,386,33,20,29,38,20,25,17,16,38,40,34,35,41
2021년07월_남_100세 이상,14,3,0,2,2,1,0,0,1,0,1,0,2,2
2021년07월_여_총인구수,"154,876","12,045","11,275","15,486","13,445","16,313","9,191","8,273","9,094","10,496","11,142","11,632","10,614","15,870"
2021년07월_여_연령구간인구수,"154,876","12,045","11,275","15,486","13,445","16,313","9,191","8,273","9,094","10,496","11,142","11,632","10,614","15,870"
2021년07월_여_0~9세,"7,146",586,348,721,498,"1,380",304,300,452,468,488,384,502,715
2021년07월_여_10~19세,"10,362",903,611,"1,029",763,"1,950",514,489,628,649,652,493,648,"1,033"
2021년07월_여_20~29세,"21,239","1,493","2,110","2,149","1,728","1,667","1,584","1,052",912,"1,505","1,529","2,179","1,372","1,959"
2021년07월_여_30~39세,"17,951","1,377","1,358","1,988","1,492","1,955","1,229",772,815,"1,256","1,190","1,517","1,210","1,792"
2021년07월_여_40~49세,"21,910","1,712","1,416","2,188","1,738","3,277","1,313","1,139","1,254","1,355","1,510","1,503","1,393","2,112"
2021년07월_여_50~59세,"26,173","2,150","1,920","2,678","2,440","2,487","1,461","1,362","1,427","1,791","1,938","1,935","1,809","2,775"
2021년07월_여_60~69세,"25,062","2,002","1,752","2,521","2,398","1,843","1,417","1,474","1,506","1,807","1,889","1,891","1,823","2,739"
2021년07월_여_70~79세,"16,708","1,198","1,158","1,524","1,602","1,137",945,"1,174","1,530","1,075","1,227","1,165","1,192","1,781"
2021년07월_여_80~89세,"7,253",536,530,599,687,539,374,453,503,516,627,502,571,816
2021년07월_여_90~99세,"1,041",86,71,86,92,74,50,56,65,71,92,61,91,146
2021년07월_여_100세 이상,31,2,1,3,7,4,0,2,2,3,0,2,3,2
