카테고리,경상북도 구미시,경상북도 구미시 선산읍,경상북도 구미시 고아읍,경상북도 구미시 산동읍,경상북도 구미시 무을면,경상북도 구미시 옥성면,경상북도 구미시 도개면,경상북도 구미시 해평면,경상북도 구미시 장천면,경상북도 구미시 송정동,경상북도 구미시 원평동,경상북도 구미시 도량동,경상북도 구미시 지산동,경상북도 구미시 선주원남동,경상북도 구미시 형곡1동,경상북도 구미시 형곡2동,경상북도 구미시 신평1동,경상북도 구미시 신평2동,경상북도 구미시 비산동,경상북도 구미시 광평동,경상북도 구미시 상모사곡동,경상북도 구미시 임오동,경상북도 구미시 인동동,경상북도 구미시 진미동,경상북도 구미시 양포동,경상북도 구미시 공단동
2021년08월_계_총인구수,"413,813","14,715","38,228","26,697","1,841","1,685","2,184","4,036","3,075","24,246","6,388","29,331","2,191","39,052","14,274","16,661","3,242","3,166","13,171","4,337","31,021","18,796","48,112","16,436","46,533","4,395"
2021년08월_계_연령구간인구수,"413,813","14,715","38,228","26,697","1,841","1,685","2,184","4,036","3,075","24,246","6,388","29,331","2,191","39,052","14,274","16,661","3,242","3,166","13,171","4,337","31,021","18,796","48,112","16,436","46,533","4,395"
2021년08월_계_0~9세,"39,594",828,"3,630","5,586",44,11,38,57,67,"1,750",128,"2,239",68,"3,667","1,010",789,135,278,"1,658",303,"2,745","2,066","4,511",888,"6,516",582
2021년08월_계_10~19세,"44,246","1,124","3,870","2,404",55,52,105,144,188,"2,405",202,"3,365",120,"4,980","1,538","1,842",162,223,"1,093",354,"3,695","2,484","5,898","1,063","6,656",224
2021년08월_계_20~29세,"55,381","1,351","4,656","2,410",98,100,140,272,230,"3,350",728,"3,716",208,"5,122","1,877","2,647",582,389,"1,799",618,"4,701","2,398","7,153","4,236","5,915",685
2021년08월_계_30~39세,"63,768","1,214","4,878","7,742",76,67,97,210,172,"3,344",726,"3,345",144,"4,883","1,599","1,606",503,530,"2,787",662,"4,349","2,867","8,270","4,301","8,359","1,037"
2021년08월_계_40~49세,"72,709","1,904","5,817","4,640",120,140,178,394,335,"3,844",975,"4,853",275,"7,330","2,324","2,606",442,431,"2,168",757,"6,021","3,867","9,491","2,759","10,292",746
2021년08월_계_50~59세,"69,749","2,896","7,915","2,094",358,312,393,795,590,"4,393","1,327","5,964",462,"7,113","2,950","3,798",599,610,"2,190",821,"6,037","3,191","7,071","1,782","5,464",624
2021년08월_계_60~69세,"42,507","2,801","4,667","1,098",487,438,519,938,668,"3,488","1,330","3,919",541,"4,109","1,958","2,387",483,413,"1,056",496,"2,335","1,288","3,706",922,"2,078",382
2021년08월_계_70~79세,"16,262","1,471","1,638",392,305,274,374,666,468,"1,208",670,"1,265",242,"1,235",717,699,242,184,293,234,735,410,"1,323",335,796,86
2021년08월_계_80~89세,"8,330",950,983,285,255,253,299,492,316,425,253,596,115,537,271,252,82,94,109,81,346,191,603,123,397,22
2021년08월_계_90~99세,"1,229",170,171,45,43,37,41,65,39,38,47,69,15,75,29,33,12,11,18,10,55,33,84,25,58,6
2021년08월_계_100세 이상,38,6,3,1,0,1,0,3,2,1,2,0,1,1,1,2,0,3,0,1,2,1,2,2,2,1
2021년08월_남_총인구수,"212,607","7,270","19,345","13,944",917,872,"1,122","2,110","1,564","11,946","3,486","14,331","1,137","19,837","7,056","8,366","1,827","1,718","6,919","2,332","16,156","9,822","24,918","8,924","24,252","2,436"
2021년08월_남_연령구간인구수,"212,607","7,270","19,345","13,944",917,872,"1,122","2,110","1,564","11,946","3,486","14,331","1,137","19,837","7,056","8,366","1,827","1,718","6,919","2,332","16,156","9,822","24,918","8,924","24,252","2,436"
2021년08월_남_0~9세,"20,329",424,"1,886","2,813",21,5,18,29,45,875,65,"1,175",31,"1,879",519,419,69,143,855,163,"1,347","1,061","2,400",449,"3,328",310
2021년08월_남_10~19세,"23,107",565,"2,087","1,262",27,23,65,70,93,"1,211",111,"1,650",60,"2,630",832,"1,010",83,128,552,176,"1,920","1,342","3,090",550,"3,457",113
2021년08월_남_20~29세,"30,933",818,"2,643","1,170",61,70,94,166,133,"1,811",421,"2,105",129,"2,830","1,053","1,523",377,214,992,359,"2,685","1,357","3,929","2,176","3,402",415
2021년08월_남_30~39세,"34,027",630,"2,489","4,082",43,44,61,140,96,"1,794",436,"1,709",93,"2,448",808,860,332,324,"1,559",416,"2,382","1,475","4,411","2,554","4,249",592
2021년08월_남_40~49세,"36,757",983,"2,772","2,599",76,94,111,251,188,"1,830",573,"2,240",152,"3,571","1,038","1,158",260,242,"1,130",408,"2,912","1,934","4,850","1,572","5,375",438
2021년08월_남_50~59세,"35,556","1,441","3,915","1,143",208,176,238,474,325,"2,058",770,"2,766",245,"3,555","1,408","1,792",323,333,"1,100",413,"3,234","1,720","3,659",978,"2,958",324
2021년08월_남_60~69세,"21,813","1,435","2,515",606,261,237,262,514,354,"1,637",712,"1,921",274,"2,170",955,"1,204",247,218,546,251,"1,239",702,"1,853",455,"1,042",203
2021년08월_남_70~79세,"7,245",657,714,177,132,135,169,275,222,582,301,550,116,572,355,317,102,81,151,115,322,162,537,153,314,34
2021년08월_남_80~89세,"2,609",292,294,80,76,82,93,175,102,143,87,199,37,172,83,76,33,32,31,28,103,63,173,33,115,7
2021년08월_남_90~99세,228,25,30,12,12,6,11,16,6,4,10,16,0,10,5,7,1,3,3,3,10,6,16,4,12,0
2021년08월_남_100세 이상,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2021년08월_여_총인구수,"201,206","7,445","18,883","12,753",924,813,"1,062","1,926","1,511","12,300","2,902","15,000","1,054","19,215","7,218","8,295","1,415","1,448","6,252","2,005","14,865","8,974","23,194","7,512","22,281","1,959"
2021년08월_여_연령구간인구수,"201,206","7,445","18,883","12,753",924,813,"1,062","1,926","1,511","12,300","2,902","15,000","1,054","19,215","7,218","8,295","1,415","1,448","6,252","2,005","14,865","8,974","23,194","7,512","22,281","1,959"
2021년08월_여_0~9세,"19,265",404,"1,744","2,773",23,6,20,28,22,875,63,"1,064",37,"1,788",491,370,66,135,803,140,"1,398","1,005","2,111",439,"3,188",272
2021년08월_여_10~19세,"21,139",559,"1,783","1,142",28,29,40,74,95,"1,194",91,"1,715",60,"2,350",706,832,79,95,541,178,"1,775","1,142","2,808",513,"3,199",111
2021년08월_여_20~29세,"24,448",533,"2,013","1,240",37,30,46,106,97,"1,539",307,"1,611",79,"2,292",824,"1,124",205,175,807,259,"2,016","1,041","3,224","2,060","2,513",270
2021년08월_여_30~39세,"29,741",584,"2,389","3,660",33,23,36,70,76,"1,550",290,"1,636",51,"2,435",791,746,171,206,"1,228",246,"1,967","1,392","3,859","1,747","4,110",445
2021년08월_여_40~49세,"35,952",921,"3,045","2,041",44,46,67,143,147,"2,014",402,"2,613",123,"3,759","1,286","1,448",182,189,"1,038",349,"3,109","1,933","4,641","1,187","4,917",308
2021년08월_여_50~59세,"34,193","1,455","4,000",951,150,136,155,321,265,"2,335",557,"3,198",217,"3,558","1,542","2,006",276,277,"1,090",408,"2,803","1,471","3,412",804,"2,506",300
2021년08월_여_60~69세,"20,694","1,366","2,152",492,226,201,257,424,314,"1,851",618,"1,998",267,"1,939","1,003","1,183",236,195,510,245,"1,096",586,"1,853",467,"1,036",179
2021년08월_여_70~79세,"9,017",814,924,215,173,139,205,391,246,626,369,715,126,663,362,382,140,103,142,119,413,248,786,182,482,52
2021년08월_여_80~89세,"5,721",658,689,205,179,171,206,317,214,282,166,397,78,365,188,176,49,62,78,53,243,128,430,90,282,15
2021년08월_여_90~99세,"1,001",145,141,33,31,31,30,49,33,34,37,53,15,65,24,26,11,8,15,7,45,27,68,21,46,6
2021년08월_여_100세 이상,35,6,3,1,0,1,0,3,2,0,2,0,1,1,1,2,0,3,0,1,0,1,2,2,2,1
