,충청북도 제천시,충청북도 제천시 봉양읍,충청북도 제천시 금성면,충청북도 제천시 청풍면,충청북도 제천시 수산면,충청북도 제천시 덕산면,충청북도 제천시 한수면,충청북도 제천시 백운면,충청북도 제천시 송학면,충청북도 제천시 교동,충청북도 제천시 의림지동,충청북도 제천시 중앙동,충청북도 제천시 남현동,충청북도 제천시 영서동,충청북도 제천시 용두동,충청북도 제천시 신백동,충청북도 제천시 청전동,충청북도 제천시 화산동
2020년05월_계_총인구수,"133,513","6,797","1,971","1,288","2,043","2,223",711,"3,265","4,618","18,914","9,938","6,007","4,965","10,344","17,984","11,222","15,838","15,385"
2020년05월_계_연령구간인구수,"133,513","6,797","1,971","1,288","2,043","2,223",711,"3,265","4,618","18,914","9,938","6,007","4,965","10,344","17,984","11,222","15,838","15,385"
2020년05월_계_0~9세,"9,110",288,56,31,45,63,16,93,101,"1,649",832,276,214,838,"1,394",784,734,"1,696"
2020년05월_계_10~19세,"11,977",364,95,47,78,207,39,138,220,"2,444","1,149",443,324,893,"1,850","1,203","1,169","1,314"
2020년05월_계_20~29세,"14,860",469,123,68,82,86,30,181,378,"2,238","1,310",636,569,"1,097","2,706","1,349","1,948","1,590"
2020년05월_계_30~39세,"13,388",447,114,68,79,80,41,130,227,"2,061","1,071",531,419,"1,157","2,166","1,109","1,428","2,260"
2020년05월_계_40~49세,"18,720",723,139,96,143,184,78,248,424,"3,377","1,635",765,560,"1,496","2,747","1,742","1,971","2,392"
2020년05월_계_50~59세,"24,265","1,293",410,275,427,410,144,631,949,"3,397","1,772","1,061",924,"1,797","3,154","2,147","3,055","2,419"
2020년05월_계_60~69세,"21,917","1,625",522,320,544,558,184,917,"1,160","2,184","1,274","1,217","1,058","1,542","2,203","1,509","3,145","1,955"
2020년05월_계_70~79세,"12,342",965,287,230,386,397,94,541,698,"1,076",550,722,626,"1,012","1,082",907,"1,615","1,154"
2020년05월_계_80~89세,"6,067",539,193,133,232,206,70,331,401,442,294,300,243,449,609,413,669,543
2020년05월_계_90~99세,793,82,27,16,21,32,14,50,57,40,49,51,26,46,72,54,98,58
2020년05월_계_100세 이상,74,2,5,4,6,0,1,5,3,6,2,5,2,17,1,5,6,4
2020년05월_남_총인구수,"66,966","3,456","1,058",661,"1,056","1,134",356,"1,670","2,427","9,295","4,906","2,997","2,467","5,183","8,989","5,624","7,917","7,770"
2020년05월_남_연령구간인구수,"66,966","3,456","1,058",661,"1,056","1,134",356,"1,670","2,427","9,295","4,906","2,997","2,467","5,183","8,989","5,624","7,917","7,770"
2020년05월_남_0~9세,"4,653",151,33,18,24,37,5,51,51,817,441,138,108,450,701,402,365,861
2020년05월_남_10~19세,"6,199",189,59,22,42,110,21,84,127,"1,228",584,232,167,471,942,629,635,657
2020년05월_남_20~29세,"8,264",268,83,36,61,53,21,107,238,"1,227",688,338,330,600,"1,491",769,"1,096",858
2020년05월_남_30~39세,"6,964",239,68,43,47,45,24,72,151,"1,011",519,307,228,585,"1,151",557,778,"1,139"
2020년05월_남_40~49세,"9,642",399,80,60,89,117,46,148,266,"1,602",798,400,305,790,"1,353",854,"1,029","1,306"
2020년05월_남_50~59세,"12,389",691,230,143,223,210,78,332,494,"1,733",893,532,459,897,"1,595","1,146","1,466","1,267"
2020년05월_남_60~69세,"10,888",848,289,174,286,297,87,477,609,"1,060",636,574,474,754,"1,119",737,"1,528",939
2020년05월_남_70~79세,"5,576",460,139,112,195,190,39,260,320,461,233,339,300,447,436,373,753,519
2020년05월_남_80~89세,"2,193",192,66,51,79,70,31,123,159,147,101,124,88,169,188,146,245,214
2020년05월_남_90~99세,173,19,9,1,7,5,4,14,11,8,12,11,8,13,13,9,21,8
2020년05월_남_100세 이상,25,0,2,1,3,0,0,2,1,1,1,2,0,7,0,2,1,2
2020년05월_여_총인구수,"66,547","3,341",913,627,987,"1,089",355,"1,595","2,191","9,619","5,032","3,010","2,498","5,161","8,995","5,598","7,921","7,615"
2020년05월_여_연령구간인구수,"66,547","3,341",913,627,987,"1,089",355,"1,595","2,191","9,619","5,032","3,010","2,498","5,161","8,995","5,598","7,921","7,615"
2020년05월_여_0~9세,"4,457",137,23,13,21,26,11,42,50,832,391,138,106,388,693,382,369,835
2020년05월_여_10~19세,"5,778",175,36,25,36,97,18,54,93,"1,216",565,211,157,422,908,574,534,657
2020년05월_여_20~29세,"6,596",201,40,32,21,33,9,74,140,"1,011",622,298,239,497,"1,215",580,852,732
2020년05월_여_30~39세,"6,424",208,46,25,32,35,17,58,76,"1,050",552,224,191,572,"1,015",552,650,"1,121"
2020년05월_여_40~49세,"9,078",324,59,36,54,67,32,100,158,"1,775",837,365,255,706,"1,394",888,942,"1,086"
2020년05월_여_50~59세,"11,876",602,180,132,204,200,66,299,455,"1,664",879,529,465,900,"1,559","1,001","1,589","1,152"
2020년05월_여_60~69세,"11,029",777,233,146,258,261,97,440,551,"1,124",638,643,584,788,"1,084",772,"1,617","1,016"
2020년05월_여_70~79세,"6,766",505,148,118,191,207,55,281,378,615,317,383,326,565,646,534,862,635
2020년05월_여_80~89세,"3,874",347,127,82,153,136,39,208,242,295,193,176,155,280,421,267,424,329
2020년05월_여_90~99세,620,63,18,15,14,27,10,36,46,32,37,40,18,33,59,45,77,50
2020년05월_여_100세 이상,49,2,3,3,3,0,1,3,2,5,1,3,2,10,1,3,5,2
