카테고리,경기도 이천시,경기도 이천시 장호원읍,경기도 이천시 부발읍,경기도 이천시 신둔면,경기도 이천시 백사면,경기도 이천시 호법면,경기도 이천시 마장면,경기도 이천시 대월면,경기도 이천시 모가면,경기도 이천시 설성면,경기도 이천시 율면,경기도 이천시 창전동,경기도 이천시 증포동,경기도 이천시 중리동,경기도 이천시 관고동
2020년02월_계_총인구수,"215,869","14,833","35,884","13,222","11,043","5,705","12,826","14,436","4,467","4,872","2,687","17,346","53,735","14,521","10,292"
2020년02월_계_연령구간인구수,"215,869","14,833","35,884","13,222","11,043","5,705","12,826","14,436","4,467","4,872","2,687","17,346","53,735","14,521","10,292"
2020년02월_계_0~9세,"19,765","1,044","3,581","1,029",812,335,"1,372","1,310",164,206,72,"1,046","7,180",991,623
2020년02월_계_10~19세,"22,375","1,422","4,594",990,855,301,984,"1,265",264,243,123,"1,597","7,950",955,832
2020년02월_계_20~29세,"28,814","1,584","4,658","1,607","1,302",650,"1,864","2,379",414,428,198,"2,791","6,546","2,857","1,536"
2020년02월_계_30~39세,"30,708","1,576","5,269","1,755","1,224",653,"2,184","2,565",370,403,148,"2,258","8,582","2,333","1,388"
2020년02월_계_40~49세,"34,987","2,089","6,813","1,946","1,627",746,"1,830","2,121",502,517,256,"2,644","10,481","1,894","1,521"
2020년02월_계_50~59세,"34,980","2,581","5,381","2,512","2,146","1,106","1,875","2,009",901,962,480,"3,113","7,593","2,371","1,950"
2020년02월_계_60~69세,"24,012","2,259","3,171","1,894","1,603",985,"1,437","1,450",914,970,625,"2,270","3,250","1,755","1,429"
2020년02월_계_70~79세,"12,797","1,397","1,556",972,916,569,808,875,540,671,395,"1,113","1,380",911,694
2020년02월_계_80~89세,"6,449",778,757,432,472,311,398,386,353,404,339,462,681,395,281
2020년02월_계_90~99세,919,94,99,79,82,48,69,71,43,61,47,48,89,54,35
2020년02월_계_100세 이상,63,9,5,6,4,1,5,5,2,7,4,4,3,5,3
2020년02월_남_총인구수,"111,272","7,538","18,680","6,918","5,627","3,010","6,972","7,405","2,388","2,561","1,365","8,620","26,792","8,149","5,247"
2020년02월_남_연령구간인구수,"111,272","7,538","18,680","6,918","5,627","3,010","6,972","7,405","2,388","2,561","1,365","8,620","26,792","8,149","5,247"
2020년02월_남_0~9세,"10,210",535,"1,821",528,418,180,697,689,90,96,40,543,"3,703",535,335
2020년02월_남_10~19세,"11,635",758,"2,396",520,455,158,508,627,144,134,63,808,"4,178",495,391
2020년02월_남_20~29세,"16,199",938,"2,658",872,701,351,"1,148","1,245",258,242,109,"1,517","3,434","1,916",810
2020년02월_남_30~39세,"16,358",827,"2,778",946,630,389,"1,244","1,357",232,248,92,"1,240","4,125","1,448",802
2020년02월_남_40~49세,"18,072","1,098","3,502","1,066",867,441,"1,062","1,141",289,313,161,"1,289","5,023","1,031",789
2020년02월_남_50~59세,"18,081","1,310","2,852","1,322","1,092",599,"1,011","1,065",493,532,252,"1,461","3,890","1,221",981
2020년02월_남_60~69세,"12,240","1,121","1,655","1,014",819,509,757,731,484,509,321,"1,075","1,626",894,725
2020년02월_남_70~79세,"5,902",650,720,464,435,259,381,394,258,324,192,514,578,432,301
2020년02월_남_80~89세,"2,334",269,275,165,186,114,143,138,128,149,121,160,221,160,105
2020년02월_남_90~99세,222,28,23,19,24,10,20,16,12,11,13,13,12,14,7
2020년02월_남_100세 이상,19,4,0,2,0,0,1,2,0,3,1,0,2,3,1
2020년02월_여_총인구수,"104,597","7,295","17,204","6,304","5,416","2,695","5,854","7,031","2,079","2,311","1,322","8,726","26,943","6,372","5,045"
2020년02월_여_연령구간인구수,"104,597","7,295","17,204","6,304","5,416","2,695","5,854","7,031","2,079","2,311","1,322","8,726","26,943","6,372","5,045"
2020년02월_여_0~9세,"9,555",509,"1,760",501,394,155,675,621,74,110,32,503,"3,477",456,288
2020년02월_여_10~19세,"10,740",664,"2,198",470,400,143,476,638,120,109,60,789,"3,772",460,441
2020년02월_여_20~29세,"12,615",646,"2,000",735,601,299,716,"1,134",156,186,89,"1,274","3,112",941,726
2020년02월_여_30~39세,"14,350",749,"2,491",809,594,264,940,"1,208",138,155,56,"1,018","4,457",885,586
2020년02월_여_40~49세,"16,915",991,"3,311",880,760,305,768,980,213,204,95,"1,355","5,458",863,732
2020년02월_여_50~59세,"16,899","1,271","2,529","1,190","1,054",507,864,944,408,430,228,"1,652","3,703","1,150",969
2020년02월_여_60~69세,"11,772","1,138","1,516",880,784,476,680,719,430,461,304,"1,195","1,624",861,704
2020년02월_여_70~79세,"6,895",747,836,508,481,310,427,481,282,347,203,599,802,479,393
2020년02월_여_80~89세,"4,115",509,482,267,286,197,255,248,225,255,218,302,460,235,176
2020년02월_여_90~99세,697,66,76,60,58,38,49,55,31,50,34,35,77,40,28
2020년02월_여_100세 이상,44,5,5,4,4,1,4,3,2,4,3,4,1,2,2
