,인천광역시 서구,인천광역시 서구 검암경서동,인천광역시 서구 연희동,인천광역시 서구 청라1동,인천광역시 서구 청라2동,인천광역시 서구 청라3동,인천광역시 서구 가정1동,인천광역시 서구 가정2동,인천광역시 서구 가정3동,인천광역시 서구 석남1동,인천광역시 서구 석남2동,인천광역시 서구 석남3동,인천광역시 서구 신현원창동,인천광역시 서구 가좌1동,인천광역시 서구 가좌2동,인천광역시 서구 가좌3동,인천광역시 서구 가좌4동,인천광역시 서구 검단동,인천광역시 서구 불로대곡동,인천광역시 서구 원당동,인천광역시 서구 당하동,인천광역시 서구 오류왕길동,인천광역시 서구 마전동,인천광역시 서구 아라동
2021년09월_계_총인구수,"549,053","45,440","40,718","31,463","48,880","31,376","28,067","6,479","9,677","22,424","13,098","13,864","31,751","12,176","20,089","16,554","10,550","32,801","22,595","23,987","27,951","25,471","22,854","10,788"
2021년09월_계_연령구간인구수,"549,053","45,440","40,718","31,463","48,880","31,376","28,067","6,479","9,677","22,424","13,098","13,864","31,751","12,176","20,089","16,554","10,550","32,801","22,595","23,987","27,951","25,471","22,854","10,788"
2021년09월_계_0~9세,"48,989","4,286","2,203","3,741","6,350","4,673","3,191",321,416,"1,093",624,549,"2,660",608,"1,290",677,746,"2,499","1,725","2,283","2,728","2,271","1,992","2,063"
2021년09월_계_10~19세,"56,724","4,417","3,389","4,402","6,591","4,030","2,158",359,709,"1,543",899,"1,183","2,953",845,"1,861","1,194",733,"3,350","2,731","3,419","3,249","2,685","3,113",911
2021년09월_계_20~29세,"71,771","6,286","6,388","3,924","5,582","3,368","3,320","1,034","1,540","3,112","1,664","2,022","4,090","1,724","2,779","2,336","1,250","4,611","2,841","2,745","3,836","3,181","3,175",963
2021년09월_계_30~39세,"79,804","7,948","4,850","5,604","7,911","5,588","4,665",895,"1,193","2,937","1,470","1,568","4,288","1,550","2,518","1,825","1,587","4,556","2,429","3,034","4,296","3,352","2,715","3,025"
2021년09월_계_40~49세,"96,224","8,512","5,994","6,449","10,185","6,486","4,630",780,"1,255","3,148","1,822","1,988","4,965","1,789","2,932","2,231","1,534","5,723","4,327","5,371","5,347","4,479","4,263","2,014"
2021년09월_계_50~59세,"94,376","7,061","8,483","4,262","6,796","4,123","4,605","1,528","2,201","4,525","2,674","2,869","5,837","2,447","3,898","3,313","1,911","5,925","4,132","3,789","4,648","4,499","3,931",919
2021년09월_계_60~69세,"63,456","4,377","5,749","2,053","3,741","2,237","3,507","1,101","1,574","3,814","2,392","2,281","4,644","1,963","3,096","2,994","1,760","3,759","2,354","1,863","2,394","3,061","2,154",588
2021년09월_계_70~79세,"24,963","1,770","2,266",673,"1,162",601,"1,353",289,497,"1,540","1,068",933,"1,623",841,"1,090","1,284",667,"1,577","1,338",980,934,"1,260",998,219
2021년09월_계_80~89세,"10,911",657,"1,188",314,476,216,535,129,258,607,414,412,586,371,526,604,309,700,653,427,453,566,438,72
2021년09월_계_90~99세,"1,753",123,197,40,81,52,99,36,30,101,69,57,100,35,97,93,51,94,62,73,65,110,75,13
2021년09월_계_100세 이상,82,3,11,1,5,2,4,7,4,4,2,2,5,3,2,3,2,7,3,3,1,7,0,1
2021년09월_남_총인구수,"277,255","23,159","20,715","15,675","24,262","15,563","14,125","3,384","4,837","11,556","6,809","7,020","15,850","6,478","9,800","8,417","5,460","16,942","11,491","12,173","13,910","12,989","11,270","5,370"
2021년09월_남_연령구간인구수,"277,255","23,159","20,715","15,675","24,262","15,563","14,125","3,384","4,837","11,556","6,809","7,020","15,850","6,478","9,800","8,417","5,460","16,942","11,491","12,173","13,910","12,989","11,270","5,370"
2021년09월_남_0~9세,"25,266","2,207","1,105","1,976","3,304","2,372","1,702",153,201,568,316,312,"1,349",318,670,344,374,"1,283",885,"1,189","1,400","1,140","1,042","1,056"
2021년09월_남_10~19세,"29,053","2,334","1,740","2,201","3,385","2,050","1,130",189,372,811,482,580,"1,459",426,951,626,398,"1,695","1,410","1,782","1,660","1,393","1,545",434
2021년09월_남_20~29세,"37,160","3,240","3,442","1,898","2,798","1,700","1,697",578,809,"1,690",944,"1,092","2,137",938,"1,448","1,213",641,"2,431","1,530","1,402","1,888","1,627","1,584",433
2021년09월_남_30~39세,"40,774","4,097","2,630","2,804","3,712","2,631","2,302",478,648,"1,658",821,898,"2,152",903,"1,294","1,024",833,"2,480","1,254","1,502","2,144","1,712","1,327","1,470"
2021년09월_남_40~49세,"49,312","4,474","3,079","3,144","5,010","3,229","2,469",447,649,"1,736",996,"1,046","2,559","1,016","1,388","1,165",843,"2,992","2,187","2,666","2,665","2,344","2,093","1,115"
2021년09월_남_50~59세,"47,754","3,527","4,264","2,211","3,425","2,076","2,251",773,"1,019","2,264","1,356","1,417","2,867","1,328","1,814","1,652",980,"3,123","2,193","2,128","2,361","2,304","1,966",455
2021년09월_남_60~69세,"32,319","2,186","3,007","1,042","1,894","1,160","1,749",582,843,"1,908","1,221","1,123","2,336","1,039","1,538","1,527",945,"1,953","1,166",893,"1,188","1,645","1,084",290
2021년09월_남_70~79세,"11,612",836,989,288,551,285,648,142,220,734,514,423,791,375,517,629,333,738,591,437,411,613,460,87
2021년09월_남_80~89세,"3,640",235,411,109,168,53,160,34,67,163,141,120,186,123,159,215,99,232,255,162,170,194,155,29
2021년09월_남_90~99세,342,21,45,2,15,6,16,5,6,22,18,9,13,10,20,22,14,14,19,12,22,16,14,1
2021년09월_남_100세 이상,23,2,3,0,0,1,1,3,3,2,0,0,1,2,1,0,0,1,1,0,1,1,0,0
2021년09월_여_총인구수,"271,798","22,281","20,003","15,788","24,618","15,813","13,942","3,095","4,840","10,868","6,289","6,844","15,901","5,698","10,289","8,137","5,090","15,859","11,104","11,814","14,041","12,482","11,584","5,418"
2021년09월_여_연령구간인구수,"271,798","22,281","20,003","15,788","24,618","15,813","13,942","3,095","4,840","10,868","6,289","6,844","15,901","5,698","10,289","8,137","5,090","15,859","11,104","11,814","14,041","12,482","11,584","5,418"
2021년09월_여_0~9세,"23,723","2,079","1,098","1,765","3,046","2,301","1,489",168,215,525,308,237,"1,311",290,620,333,372,"1,216",840,"1,094","1,328","1,131",950,"1,007"
2021년09월_여_10~19세,"27,671","2,083","1,649","2,201","3,206","1,980","1,028",170,337,732,417,603,"1,494",419,910,568,335,"1,655","1,321","1,637","1,589","1,292","1,568",477
2021년09월_여_20~29세,"34,611","3,046","2,946","2,026","2,784","1,668","1,623",456,731,"1,422",720,930,"1,953",786,"1,331","1,123",609,"2,180","1,311","1,343","1,948","1,554","1,591",530
2021년09월_여_30~39세,"39,030","3,851","2,220","2,800","4,199","2,957","2,363",417,545,"1,279",649,670,"2,136",647,"1,224",801,754,"2,076","1,175","1,532","2,152","1,640","1,388","1,555"
2021년09월_여_40~49세,"46,912","4,038","2,915","3,305","5,175","3,257","2,161",333,606,"1,412",826,942,"2,406",773,"1,544","1,066",691,"2,731","2,140","2,705","2,682","2,135","2,170",899
2021년09월_여_50~59세,"46,622","3,534","4,219","2,051","3,371","2,047","2,354",755,"1,182","2,261","1,318","1,452","2,970","1,119","2,084","1,661",931,"2,802","1,939","1,661","2,287","2,195","1,965",464
2021년09월_여_60~69세,"31,137","2,191","2,742","1,011","1,847","1,077","1,758",519,731,"1,906","1,171","1,158","2,308",924,"1,558","1,467",815,"1,806","1,188",970,"1,206","1,416","1,070",298
2021년09월_여_70~79세,"13,351",934,"1,277",385,611,316,705,147,277,806,554,510,832,466,573,655,334,839,747,543,523,647,538,132
2021년09월_여_80~89세,"7,271",422,777,205,308,163,375,95,191,444,273,292,400,248,367,389,210,468,398,265,283,372,283,43
2021년09월_여_90~99세,"1,411",102,152,38,66,46,83,31,24,79,51,48,87,25,77,71,37,80,43,61,43,94,61,12
2021년09월_여_100세 이상,59,1,8,1,5,1,3,4,1,2,2,2,4,1,1,3,2,6,2,3,0,6,0,1
