,대구광역시 북구,대구광역시 북구 고성동,대구광역시 북구 칠성동,대구광역시 북구 침산1동,대구광역시 북구 침산2동,대구광역시 북구 침산3동,대구광역시 북구 산격1동,대구광역시 북구 산격2동,대구광역시 북구 산격3동,대구광역시 북구 산격4동,대구광역시 북구 대현동,대구광역시 북구 복현1동,대구광역시 북구 복현2동,대구광역시 북구 검단동,대구광역시 북구 무태조야동,대구광역시 북구 관문동,대구광역시 북구 태전1동,대구광역시 북구 태전2동,대구광역시 북구 구암동,대구광역시 북구 관음동,대구광역시 북구 읍내동,대구광역시 북구 동천동,대구광역시 북구 노원동,대구광역시 북구 국우동
2021년09월_계_총인구수,"437,146","4,920","23,357","4,152","19,118","20,102","9,280","10,959","9,126","8,528","18,074","7,715","30,130","6,532","36,726","37,037","22,385","24,820","35,949","16,805","27,094","28,690","11,774","23,873"
2021년09월_계_연령구간인구수,"437,146","4,920","23,357","4,152","19,118","20,102","9,280","10,959","9,126","8,528","18,074","7,715","30,130","6,532","36,726","37,037","22,385","24,820","35,949","16,805","27,094","28,690","11,774","23,873"
2021년09월_계_0~9세,"32,320",357,"2,280",165,"2,099","1,690",241,575,264,290,"1,092",166,"2,333",279,"3,430","4,384","1,290","1,523","2,512",847,"1,669","2,188",597,"2,049"
2021년09월_계_10~19세,"42,097",346,"2,020",202,"2,294","2,203",418,859,459,462,"1,133",347,"3,101",393,"3,876","3,239","1,697","2,394","4,835","1,507","2,419","4,256",585,"3,052"
2021년09월_계_20~29세,"61,585",564,"2,853",462,"2,068","2,367",963,"1,632","2,585","1,280","2,893","2,411","4,367",701,"4,201","3,785","3,932","3,654","5,311","2,354","4,266","4,123","1,303","3,510"
2021년09월_계_30~39세,"52,667",686,"3,600",461,"2,645","2,228",727,"1,157","1,140","1,034","2,030","1,062","3,887",766,"4,708","6,079","2,610","2,703","3,362","1,601","3,173","2,802","1,513","2,693"
2021년09월_계_40~49세,"70,526",682,"4,067",467,"3,700","3,408","1,059","1,401","1,037",989,"2,607",813,"4,785",862,"6,878","6,516","3,059","3,872","6,492","2,380","3,686","5,690","1,548","4,528"
2021년09월_계_50~59세,"77,879",773,"3,271",844,"2,803","3,455","1,807","2,183","1,215","1,502","2,868","1,203","5,245","1,140","6,439","5,898","4,164","4,669","7,303","3,520","5,444","5,580","2,248","4,305"
2021년09월_계_60~69세,"56,936",776,"2,711",922,"1,967","2,510","2,058","1,811","1,269","1,631","2,748","1,005","3,973","1,322","4,259","4,422","3,249","3,532","3,608","2,763","3,875","2,213","2,282","2,030"
2021년09월_계_70~79세,"28,719",498,"1,603",430,"1,022","1,498","1,338",917,764,907,"1,730",477,"1,618",704,"2,096","1,920","1,559","1,695","1,662","1,157","1,623","1,155","1,248","1,098"
2021년09월_계_80~89세,"12,867",202,833,173,472,668,617,378,350,384,851,210,715,332,743,697,734,690,778,620,845,637,401,537
2021년09월_계_90~99세,"1,500",35,118,24,46,72,50,45,42,48,109,20,104,32,95,94,90,86,85,53,89,46,47,70
2021년09월_계_100세 이상,50,1,1,2,2,3,2,1,1,1,13,1,2,1,1,3,1,2,1,3,5,0,2,1
2021년09월_남_총인구수,"217,543","2,378","11,246","2,216","9,203","9,700","4,610","5,352","4,753","4,472","9,134","4,208","14,910","3,249","18,719","18,469","11,221","12,220","17,709","8,492","13,453","13,959","6,122","11,748"
2021년09월_남_연령구간인구수,"217,543","2,378","11,246","2,216","9,203","9,700","4,610","5,352","4,753","4,472","9,134","4,208","14,910","3,249","18,719","18,469","11,221","12,220","17,709","8,492","13,453","13,959","6,122","11,748"
2021년09월_남_0~9세,"16,518",170,"1,125",85,"1,049",879,125,278,135,154,538,87,"1,190",136,"1,812","2,268",672,796,"1,234",432,870,"1,137",297,"1,049"
