,부산광역시 영도구,부산광역시 영도구 남항동,부산광역시 영도구 영선제1동,부산광역시 영도구 영선제2동,부산광역시 영도구 신선동,부산광역시 영도구 봉래제1동,부산광역시 영도구 봉래제2동,부산광역시 영도구 청학제1동,부산광역시 영도구 청학제2동,부산광역시 영도구 동삼제1동,부산광역시 영도구 동삼제2동,부산광역시 영도구 동삼제3동
2021년01월_계_총인구수,"113,048","11,017","4,178","8,757","9,037","7,256","5,202","6,688","18,357","28,646","3,548","10,362"
2021년01월_계_연령구간인구수,"113,048","11,017","4,178","8,757","9,037","7,256","5,202","6,688","18,357","28,646","3,548","10,362"
2021년01월_계_0~9세,"5,083",418,184,391,216,350,147,348,"1,022","1,494",175,338
2021년01월_계_10~19세,"7,369",538,251,561,475,422,266,449,"1,442","2,243",175,547
2021년01월_계_20~29세,"11,890","1,051",443,889,793,735,488,602,"1,937","3,458",602,892
2021년01월_계_30~39세,"10,562","1,062",390,811,638,728,379,650,"1,821","2,855",344,884
2021년01월_계_40~49세,"15,082","1,458",536,"1,108","1,104",973,668,965,"2,607","3,982",447,"1,234"
2021년01월_계_50~59세,"19,444","1,927",707,"1,500","1,648","1,181",919,"1,057","3,194","5,015",487,"1,809"
2021년01월_계_60~69세,"22,261","2,271",861,"1,703","1,866","1,461","1,059","1,263","3,441","5,250",669,"2,417"
2021년01월_계_70~79세,"14,544","1,556",552,"1,192","1,517",889,894,913,"1,994","3,020",472,"1,545"
2021년01월_계_80~89세,"5,943",636,220,515,694,429,347,366,786,"1,174",150,626
2021년01월_계_90~99세,734,91,24,74,74,58,27,63,97,139,25,62
2021년01월_계_100세 이상,136,9,10,13,12,30,8,12,16,16,2,8
2021년01월_남_총인구수,"55,697","5,486","2,015","4,242","4,532","3,561","2,582","3,249","9,146","13,964","1,879","5,041"
2021년01월_남_연령구간인구수,"55,697","5,486","2,015","4,242","4,532","3,561","2,582","3,249","9,146","13,964","1,879","5,041"
2021년01월_남_0~9세,"2,563",206,99,204,122,180,68,176,504,739,99,166
2021년01월_남_10~19세,"3,814",277,136,298,248,212,139,241,761,"1,141",87,274
2021년01월_남_20~29세,"6,536",541,241,492,429,389,274,316,"1,073","1,901",376,504
2021년01월_남_30~39세,"5,685",574,205,423,374,393,228,334,992,"1,492",196,474
2021년01월_남_40~49세,"7,897",813,270,544,632,521,380,503,"1,327","1,973",261,673
2021년01월_남_50~59세,"9,934","1,070",347,739,925,615,493,543,"1,623","2,390",265,924
2021년01월_남_60~69세,"10,659","1,095",388,808,912,693,480,592,"1,635","2,539",326,"1,191"
2021년01월_남_70~79세,"6,318",662,235,522,622,391,371,396,924,"1,353",208,634
2021년01월_남_80~89세,"2,107",233,86,191,253,148,137,130,283,404,52,190
2021년01월_남_90~99세,150,13,4,18,10,15,8,15,18,31,8,10
2021년01월_남_100세 이상,34,2,4,3,5,4,4,3,6,1,1,1
2021년01월_여_총인구수,"57,351","5,531","2,163","4,515","4,505","3,695","2,620","3,439","9,211","14,682","1,669","5,321"
2021년01월_여_연령구간인구수,"57,351","5,531","2,163","4,515","4,505","3,695","2,620","3,439","9,211","14,682","1,669","5,321"
2021년01월_여_0~9세,"2,520",212,85,187,94,170,79,172,518,755,76,172
2021년01월_여_10~19세,"3,555",261,115,263,227,210,127,208,681,"1,102",88,273
2021년01월_여_20~29세,"5,354",510,202,397,364,346,214,286,864,"1,557",226,388
2021년01월_여_30~39세,"4,877",488,185,388,264,335,151,316,829,"1,363",148,410
2021년01월_여_40~49세,"7,185",645,266,564,472,452,288,462,"1,280","2,009",186,561
2021년01월_여_50~59세,"9,510",857,360,761,723,566,426,514,"1,571","2,625",222,885
2021년01월_여_60~69세,"11,602","1,176",473,895,954,768,579,671,"1,806","2,711",343,"1,226"
2021년01월_여_70~79세,"8,226",894,317,670,895,498,523,517,"1,070","1,667",264,911
2021년01월_여_80~89세,"3,836",403,134,324,441,281,210,236,503,770,98,436
2021년01월_여_90~99세,584,78,20,56,64,43,19,48,79,108,17,52
2021년01월_여_100세 이상,102,7,6,10,7,26,4,9,10,15,1,7
