카테고리,부산광역시,부산광역시 중구,부산광역시 서구,부산광역시 동구,부산광역시 영도구,부산광역시 부산진구,부산광역시 동래구,부산광역시 남구,부산광역시 북구,부산광역시 해운대구,부산광역시 사하구,부산광역시 금정구,부산광역시 강서구,부산광역시 연제구,부산광역시 수영구,부산광역시 사상구,부산광역시 기장군
2021년03월_계_총인구수,"3,372,399","41,370","106,451","88,218","111,507","357,645","269,497","265,759","281,851","400,083","309,302","230,605","139,239","207,419","176,145","211,252","176,056"
2021년03월_계_연령구간인구수,"3,372,399","41,370","106,451","88,218","111,507","357,645","269,497","265,759","281,851","400,083","309,302","230,605","139,239","207,419","176,145","211,252","176,056"
2021년03월_계_0~9세,"228,788","1,276","5,534","4,070","5,011","21,032","19,413","17,679","18,589","28,177","19,482","12,816","20,022","14,356","10,227","12,059","19,045"
2021년03월_계_10~19세,"269,772","2,017","7,233","5,020","7,253","24,736","24,815","22,864","22,894","37,708","25,077","17,507","12,040","16,382","11,665","14,887","17,674"
2021년03월_계_20~29세,"427,087","5,703","13,417","10,406","11,807","52,772","32,341","34,949","36,844","48,354","39,473","32,941","12,428","25,711","24,196","28,630","17,115"
2021년03월_계_30~39세,"413,824","4,483","10,904","10,421","10,351","47,800","32,628","29,642","33,094","46,208","36,240","24,774","27,169","26,630","23,805","24,812","24,863"
2021년03월_계_40~49세,"507,745","5,353","14,448","11,727","14,861","51,312","43,096","41,455","40,052","65,291","45,468","31,790","24,275","31,640","25,263","29,113","32,601"
2021년03월_계_50~59세,"562,268","6,964","17,517","14,505","19,040","57,760","43,968","42,483","53,063","69,830","54,292","39,864","17,002","33,768","27,387","40,469","24,356"
2021년03월_계_60~69세,"536,731","7,938","19,053","16,117","22,125","56,275","41,334","41,023","46,395","58,577","51,794","39,152","16,207","32,777","28,774","37,336","21,854"
2021년03월_계_70~79세,"293,083","5,106","12,212","10,612","14,413","31,430","22,329","24,832","21,433","30,897","26,306","21,627","6,912","18,180","17,026","17,267","12,501"
2021년03월_계_80~89세,"117,687","2,146","5,441","4,708","5,911","13,020","8,438","9,638","8,411","13,227","9,811","8,938","2,717","7,107","6,892","5,989","5,293"
2021년03월_계_90~99세,"14,652",364,663,569,683,"1,446","1,065","1,129","1,039","1,727","1,317","1,131",444,826,876,647,726
2021년03월_계_100세 이상,762,20,29,63,52,62,70,65,37,87,42,65,23,42,34,43,28
2021년03월_남_총인구수,"1,651,804","20,169","51,583","43,213","54,997","172,703","131,207","130,080","139,355","192,576","154,063","112,741","72,000","99,948","83,280","106,717","87,172"
2021년03월_남_연령구간인구수,"1,651,804","20,169","51,583","43,213","54,997","172,703","131,207","130,080","139,355","192,576","154,063","112,741","72,000","99,948","83,280","106,717","87,172"
2021년03월_남_0~9세,"117,397",661,"2,898","2,154","2,541","10,676","10,033","9,012","9,599","14,549","9,986","6,577","10,319","7,276","5,262","6,154","9,700"
2021년03월_남_10~19세,"139,207","1,001","3,644","2,593","3,733","12,529","12,933","11,806","11,900","19,453","13,007","9,037","6,137","8,444","6,024","7,768","9,198"
2021년03월_남_20~29세,"222,299","2,814","6,587","5,254","6,513","25,735","16,905","18,506","19,806","25,323","21,187","17,790","6,722","13,047","11,753","15,303","9,054"
2021년03월_남_30~39세,"211,834","2,420","5,630","5,568","5,591","24,374","16,399","15,205","17,171","22,565","19,222","12,891","13,848","13,348","11,880","13,368","12,354"
2021년03월_남_40~49세,"255,985","2,933","7,491","6,291","7,789","25,983","21,082","20,818","19,905","31,002","23,286","15,865","13,568","15,484","12,445","15,337","16,706"
2021년03월_남_50~59세,"273,191","3,503","8,959","7,417","9,746","28,005","20,892","20,781","25,219","33,248","26,637","18,936","8,723","15,994","12,627","20,167","12,337"
2021년03월_남_60~69세,"253,865","3,733","8,905","7,609","10,597","26,458","19,221","18,861","22,850","27,669","24,943","18,246","8,216","15,061","12,790","18,511","10,195"
2021년03월_남_70~79세,"132,317","2,217","5,330","4,567","6,287","13,934","10,280","11,136","9,846","13,643","12,098","9,870","3,476","8,325","7,640","7,985","5,683"
2021년03월_남_80~89세,"42,457",786,"1,994","1,608","2,068","4,705","3,207","3,704","2,851","4,715","3,440","3,254",906,"2,771","2,628","2,009","1,811"
2021년03월_남_90~99세,"3,105",97,139,134,128,292,245,238,204,382,248,266,79,187,223,111,132
2021년03월_남_100세 이상,147,4,6,18,4,12,10,13,4,27,9,9,6,11,8,4,2
2021년03월_여_총인구수,"1,720,595","21,201","54,868","45,005","56,510","184,942","138,290","135,679","142,496","207,507","155,239","117,864","67,239","107,471","92,865","104,535","88,884"
2021년03월_여_연령구간인구수,"1,720,595","21,201","54,868","45,005","56,510","184,942","138,290","135,679","142,496","207,507","155,239","117,864","67,239","107,471","92,865","104,535","88,884"
2021년03월_여_0~9세,"111,391",615,"2,636","1,916","2,470","10,356","9,380","8,667","8,990","13,628","9,496","6,239","9,703","7,080","4,965","5,905","9,345"
2021년03월_여_10~19세,"130,565","1,016","3,589","2,427","3,520","12,207","11,882","11,058","10,994","18,255","12,070","8,470","5,903","7,938","5,641","7,119","8,476"
2021년03월_여_20~29세,"204,788","2,889","6,830","5,152","5,294","27,037","15,436","16,443","17,038","23,031","18,286","15,151","5,706","12,664","12,443","13,327","8,061"
2021년03월_여_30~39세,"201,990","2,063","5,274","4,853","4,760","23,426","16,229","14,437","15,923","23,643","17,018","11,883","13,321","13,282","11,925","11,444","12,509"
2021년03월_여_40~49세,"251,760","2,420","6,957","5,436","7,072","25,329","22,014","20,637","20,147","34,289","22,182","15,925","10,707","16,156","12,818","13,776","15,895"
2021년03월_여_50~59세,"289,077","3,461","8,558","7,088","9,294","29,755","23,076","21,702","27,844","36,582","27,655","20,928","8,279","17,774","14,760","20,302","12,019"
2021년03월_여_60~69세,"282,866","4,205","10,148","8,508","11,528","29,817","22,113","22,162","23,545","30,908","26,851","20,906","7,991","17,716","15,984","18,825","11,659"
2021년03월_여_70~79세,"160,766","2,889","6,882","6,045","8,126","17,496","12,049","13,696","11,587","17,254","14,208","11,757","3,436","9,855","9,386","9,282","6,818"
2021년03월_여_80~89세,"75,230","1,360","3,447","3,100","3,843","8,315","5,231","5,934","5,560","8,512","6,371","5,684","1,811","4,336","4,264","3,980","3,482"
2021년03월_여_90~99세,"11,547",267,524,435,555,"1,154",820,891,835,"1,345","1,069",865,365,639,653,536,594
2021년03월_여_100세 이상,615,16,23,45,48,50,60,52,33,60,33,56,17,31,26,39,26
