,경상북도 봉화군,경상북도 봉화군 봉화읍,경상북도 봉화군 물야면,경상북도 봉화군 봉성면,경상북도 봉화군 법전면,경상북도 봉화군 춘양면,경상북도 봉화군 소천면,경상북도 봉화군 재산면,경상북도 봉화군 명호면,경상북도 봉화군 상운면,경상북도 봉화군 석포면
2021년06월_계_총인구수,"31,084","9,857","3,110","2,083","2,016","4,337","2,193","1,521","2,238","1,712","2,017"
2021년06월_계_연령구간인구수,"31,084","9,857","3,110","2,083","2,016","4,337","2,193","1,521","2,238","1,712","2,017"
2021년06월_계_0~9세,"1,299",582,91,53,65,167,53,31,58,26,173
2021년06월_계_10~19세,"1,852",909,129,85,85,223,83,66,104,37,131
2021년06월_계_20~29세,"1,899",845,127,118,99,235,94,65,101,86,129
2021년06월_계_30~39세,"1,842",746,149,107,95,227,97,58,91,57,215
2021년06월_계_40~49세,"3,121","1,259",229,180,136,381,175,119,203,122,317
2021년06월_계_50~59세,"5,572","1,713",568,343,356,832,421,332,415,271,321
2021년06월_계_60~69세,"7,035","1,729",840,536,493,"1,015",614,409,572,446,381
2021년06월_계_70~79세,"4,643","1,145",545,351,336,683,362,237,396,377,211
2021년06월_계_80~89세,"3,294",795,366,269,309,488,255,182,256,255,119
2021년06월_계_90~99세,501,130,61,39,39,84,35,21,38,34,20
2021년06월_계_100세 이상,26,4,5,2,3,2,4,1,4,1,0
2021년06월_남_총인구수,"15,680","4,857","1,564","1,007","1,030","2,164","1,106",772,"1,172",880,"1,128"
2021년06월_남_연령구간인구수,"15,680","4,857","1,564","1,007","1,030","2,164","1,106",772,"1,172",880,"1,128"
2021년06월_남_0~9세,669,298,45,29,36,93,28,14,34,9,83
2021년06월_남_10~19세,973,448,77,42,44,120,46,44,58,25,69
2021년06월_남_20~29세,"1,141",485,85,70,65,136,58,37,70,54,81
2021년06월_남_30~39세,"1,006",373,82,63,52,123,49,32,52,39,141
2021년06월_남_40~49세,"1,830",668,136,114,85,224,110,66,128,83,216
2021년06월_남_50~59세,"3,015",908,286,179,206,439,228,178,236,154,201
2021년06월_남_60~69세,"3,662",864,450,265,274,518,334,222,307,224,204
2021년06월_남_70~79세,"2,105",506,250,156,143,308,164,110,189,187,92
2021년06월_남_80~89세,"1,158",287,134,81,114,182,78,62,92,95,33
2021년06월_남_90~99세,120,20,19,7,11,21,11,7,6,10,8
2021년06월_남_100세 이상,1,0,0,1,0,0,0,0,0,0,0
2021년06월_여_총인구수,"15,404","5,000","1,546","1,076",986,"2,173","1,087",749,"1,066",832,889
2021년06월_여_연령구간인구수,"15,404","5,000","1,546","1,076",986,"2,173","1,087",749,"1,066",832,889
2021년06월_여_0~9세,630,284,46,24,29,74,25,17,24,17,90
2021년06월_여_10~19세,879,461,52,43,41,103,37,22,46,12,62
2021년06월_여_20~29세,758,360,42,48,34,99,36,28,31,32,48
2021년06월_여_30~39세,836,373,67,44,43,104,48,26,39,18,74
2021년06월_여_40~49세,"1,291",591,93,66,51,157,65,53,75,39,101
2021년06월_여_50~59세,"2,557",805,282,164,150,393,193,154,179,117,120
2021년06월_여_60~69세,"3,373",865,390,271,219,497,280,187,265,222,177
2021년06월_여_70~79세,"2,538",639,295,195,193,375,198,127,207,190,119
2021년06월_여_80~89세,"2,136",508,232,188,195,306,177,120,164,160,86
2021년06월_여_90~99세,381,110,42,32,28,63,24,14,32,24,12
2021년06월_여_100세 이상,25,4,5,1,3,2,4,1,4,1,0
