카테고리,부산광역시 해운대구,부산광역시 해운대구 우제1동,부산광역시 해운대구 우제2동,부산광역시 해운대구 우제3동,부산광역시 해운대구 중제1동,부산광역시 해운대구 중제2동,부산광역시 해운대구 좌제1동,부산광역시 해운대구 좌제2동,부산광역시 해운대구 좌제3동,부산광역시 해운대구 좌제4동,부산광역시 해운대구 송정동,부산광역시 해운대구 반여제1동,부산광역시 해운대구 반여제2동,부산광역시 해운대구 반여제3동,부산광역시 해운대구 반여제4동,부산광역시 해운대구 반송제1동,부산광역시 해운대구 반송제2동,부산광역시 해운대구 재송제1동,부산광역시 해운대구 재송제2동
2020년08월_계_총인구수,"403,118","23,333","31,209","28,518","24,751","15,834","18,364","32,401","16,593","23,609","10,076","35,565","13,427","9,185","16,701","14,653","24,567","38,496","25,836"
2020년08월_계_연령구간인구수,"403,118","23,333","31,209","28,518","24,751","15,834","18,364","32,401","16,593","23,609","10,076","35,565","13,427","9,185","16,701","14,653","24,567","38,496","25,836"
2020년08월_계_0~9세,"28,887","1,351","2,875","2,793","1,793","1,274","1,309","2,146","1,161","1,785",529,"2,698",530,277,"1,330",405,998,"4,222","1,411"
2020년08월_계_10~19세,"38,551","1,638","3,208","3,124","2,268","1,128","2,122","2,949","1,866","3,085",522,"4,290",720,558,"1,599",843,"1,605","4,923","2,103"
2020년08월_계_20~29세,"49,457","3,093","3,555","2,949","3,195","1,736","2,824","5,142","1,998","3,063","1,227","4,284","1,516","1,022","2,204","1,676","2,552","4,185","3,236"
2020년08월_계_30~39세,"47,325","3,042","3,880","3,409","2,971","2,236","2,129","4,502","1,754","2,398","1,343","3,745","1,622",862,"2,106","1,203","2,102","4,975","3,046"
2020년08월_계_40~49세,"66,350","3,563","5,361","4,970","4,230","2,700","3,330","5,116","2,603","4,174","1,320","6,406","1,826","1,190","2,675","1,869","3,294","7,780","3,943"
2020년08월_계_50~59세,"70,579","3,922","5,409","4,850","4,374","2,787","3,139","5,747","3,030","4,334","1,763","6,326","2,489","1,802","3,052","2,809","4,414","5,479","4,853"
2020년08월_계_60~69세,"56,838","3,648","3,823","3,725","3,225","2,387","1,770","3,700","2,182","2,603","1,890","4,605","2,523","1,845","2,384","2,827","5,053","4,211","4,437"
2020년08월_계_70~79세,"30,658","2,167","2,081","1,838","1,825","1,122","1,049","1,962","1,212","1,369",966,"2,200","1,566","1,127","1,001","2,060","3,138","1,972","2,003"
2020년08월_계_80~89세,"12,641",775,868,753,762,399,611,"1,016",697,703,451,880,563,446,306,825,"1,226",649,711
2020년08월_계_90~99세,"1,673",108,142,103,92,57,79,120,90,95,61,127,57,50,42,109,161,94,86
2020년08월_계_100세 이상,159,26,7,4,16,8,2,1,0,0,4,4,15,6,2,27,24,6,7
2020년08월_남_총인구수,"194,137","11,162","14,871","13,428","11,896","7,529","8,594","14,970","7,821","11,272","4,876","17,667","6,526","4,494","8,228","7,365","11,939","18,948","12,551"
2020년08월_남_연령구간인구수,"194,137","11,162","14,871","13,428","11,896","7,529","8,594","14,970","7,821","11,272","4,876","17,667","6,526","4,494","8,228","7,365","11,939","18,948","12,551"
2020년08월_남_0~9세,"14,974",677,"1,486","1,448",944,640,669,"1,099",588,952,290,"1,406",265,149,681,204,521,"2,226",729
2020년08월_남_10~19세,"19,901",836,"1,624","1,555","1,175",574,"1,124","1,531",966,"1,574",277,"2,256",372,293,814,449,830,"2,581","1,070"
2020년08월_남_20~29세,"25,879","1,545","1,859","1,538","1,648",915,"1,339","2,424","1,078","1,610",669,"2,343",842,548,"1,202",939,"1,418","2,177","1,785"
2020년08월_남_30~39세,"23,029","1,503","1,765","1,447","1,443","1,069",955,"2,112",836,"1,117",726,"1,820",910,505,"1,051",704,"1,159","2,325","1,582"
2020년08월_남_40~49세,"31,489","1,718","2,453","2,258","1,944","1,310","1,446","2,232","1,151","1,841",708,"2,994",951,642,"1,302","1,068","1,797","3,720","1,954"
2020년08월_남_50~59세,"33,592","1,841","2,606","2,223","2,085","1,244","1,549","2,601","1,421","2,056",774,"3,180","1,199",882,"1,421","1,443","2,140","2,715","2,212"
2020년08월_남_60~69세,"26,860","1,693","1,760","1,758","1,526","1,128",849,"1,763","1,017","1,277",867,"2,275","1,139",821,"1,176","1,385","2,373","1,988","2,065"
2020년08월_남_70~79세,"13,532","1,004",954,868,796,491,412,807,493,578,412,"1,044",653,491,491,848,"1,306",960,924
2020년08월_남_80~89세,"4,471",316,332,304,306,141,221,373,242,244,144,317,180,149,82,297,363,240,220
2020년08월_남_90~99세,366,22,30,27,26,15,29,28,29,23,9,29,13,12,7,18,26,14,9
2020년08월_남_100세 이상,44,7,2,2,3,2,1,0,0,0,0,3,2,2,1,10,6,2,1
2020년08월_여_총인구수,"208,981","12,171","16,338","15,090","12,855","8,305","9,770","17,431","8,772","12,337","5,200","17,898","6,901","4,691","8,473","7,288","12,628","19,548","13,285"
2020년08월_여_연령구간인구수,"208,981","12,171","16,338","15,090","12,855","8,305","9,770","17,431","8,772","12,337","5,200","17,898","6,901","4,691","8,473","7,288","12,628","19,548","13,285"
2020년08월_여_0~9세,"13,913",674,"1,389","1,345",849,634,640,"1,047",573,833,239,"1,292",265,128,649,201,477,"1,996",682
2020년08월_여_10~19세,"18,650",802,"1,584","1,569","1,093",554,998,"1,418",900,"1,511",245,"2,034",348,265,785,394,775,"2,342","1,033"
