,경상남도,경상남도 창원시,경상남도 창원시 의창구,경상남도 창원시 성산구,경상남도 창원시 마산합포구,경상남도 창원시 마산회원구,경상남도 창원시 진해구,경상남도 진주시,경상남도 통영시,경상남도 사천시,경상남도 김해시,경상남도 밀양시,경상남도 거제시,경상남도 양산시,경상남도 의령군,경상남도 함안군,경상남도 창녕군,경상남도 고성군,경상남도 남해군,경상남도 하동군,경상남도 산청군,경상남도 함양군,경상남도 거창군,경상남도 합천군
2021년08월_계_총인구수,"3,322,373","1,034,150","218,422","252,996","180,795","187,941","193,996","347,407","126,141","110,243","539,226","103,891","242,555","353,798","26,475","63,039","60,389","50,803","42,538","43,896","34,530","38,665","61,399","43,228"
2021년08월_계_연령구간인구수,"3,322,373","1,034,150","218,422","252,996","180,795","187,941","193,996","347,407","126,141","110,243","539,226","103,891","242,555","353,798","26,475","63,039","60,389","50,803","42,538","43,896","34,530","38,665","61,399","43,228"
2021년08월_계_0~9세,"256,482","80,493","17,412","18,738","13,302","12,476","18,565","27,301","8,899","7,799","46,889","5,380","24,960","33,407","1,026","3,723","2,987","2,362","1,522","1,681","1,242","1,724","3,608","1,479"
2021년08월_계_10~19세,"320,646","98,317","19,351","25,928","14,143","17,766","21,129","34,736","12,678","10,159","60,425","7,582","27,870","34,615","1,459","5,873","4,098","4,140","2,862","2,736","2,043","2,865","5,862","2,326"
2021년08월_계_20~29세,"369,145","127,291","28,466","37,609","19,115","21,442","20,659","44,859","10,773","10,498","67,824","8,831","23,369","39,836","1,919","5,213","4,592","3,769","3,147","3,189","2,317","2,984","5,837","2,897"
2021년08월_계_30~39세,"386,080","131,257","28,588","34,534","21,412","20,668","26,055","40,964","12,793","11,353","67,193","8,571","34,093","47,887","1,659","5,186","4,817","3,593","2,365","2,609","2,005","2,510","4,837","2,388"
2021년08월_계_40~49세,"529,780","166,816","34,103","40,984","26,654","29,462","35,613","53,493","20,926","17,442","96,748","12,737","47,341","61,271","2,721","8,990","6,898","6,098","4,434","4,699","3,351","4,216","7,528","4,071"
2021년08월_계_50~59세,"576,850","184,230","41,000","51,190","29,432","33,710","28,898","56,990","21,915","18,206","97,863","18,263","39,525","58,852","4,476","11,020","10,647","8,918","7,115","8,088","6,329","6,764","10,351","7,298"
2021년08월_계_60~69세,"487,653","149,583","31,507","30,928","31,442","30,963","24,743","48,381","21,273","17,198","62,064","21,758","28,260","45,747","5,760","11,565","12,565","10,140","8,572","9,267","7,686","7,645","10,679","9,510"
2021년08월_계_70~79세,"247,965","64,956","12,058","8,822","16,864","15,112","12,100","25,807","11,245","10,724","26,761","12,794","11,164","21,679","3,860","6,630","7,986","6,761","6,655","6,338","5,175","5,425","6,935","7,070"
