카테고리,충청남도 아산시,충청남도 아산시 염치읍,충청남도 아산시 배방읍,충청남도 아산시 송악면,충청남도 아산시 탕정면,충청남도 아산시 음봉면,충청남도 아산시 둔포면,충청남도 아산시 영인면,충청남도 아산시 인주면,충청남도 아산시 선장면,충청남도 아산시 도고면,충청남도 아산시 신창면,충청남도 아산시 온양1동,충청남도 아산시 온양2동,충청남도 아산시 온양3동,충청남도 아산시 온양4동,충청남도 아산시 온양5동,충청남도 아산시 온양6동
2021년04월_계_총인구수,"318,699","6,496","77,319","4,244","22,130","20,262","21,937","5,503","6,471","3,095","4,463","19,965","9,447","10,840","36,860","18,796","21,684","29,187"
2021년04월_계_연령구간인구수,"318,699","6,496","77,319","4,244","22,130","20,262","21,937","5,503","6,471","3,095","4,463","19,965","9,447","10,840","36,860","18,796","21,684","29,187"
2021년04월_계_0~9세,"32,224",345,"9,511",196,"2,903","2,540","2,473",136,308,61,105,"1,511",883,426,"3,909","1,502","2,178","3,237"
2021년04월_계_10~19세,"34,780",503,"9,439",358,"3,075","1,793","1,458",268,402,105,179,"2,096",732,786,"4,825","2,417","2,769","3,575"
2021년04월_계_20~29세,"37,066",542,"9,778",302,"2,901","2,099","2,424",415,539,183,350,"2,410","1,094","1,689","4,514","2,169","2,746","2,911"
2021년04월_계_30~39세,"48,138",610,"14,126",274,"3,989","3,594","4,657",395,608,181,308,"2,245","1,735","1,255","5,023","2,119","2,913","4,106"
2021년04월_계_40~49세,"57,138",883,"14,886",542,"4,757","3,530","3,600",573,951,257,395,"3,493","1,501","1,471","7,063","3,463","4,094","5,679"
2021년04월_계_50~59세,"46,656","1,137","9,977",756,"2,438","2,806","3,054",965,"1,241",510,832,"3,235","1,327","2,000","5,362","3,228","3,384","4,404"
2021년04월_계_60~69세,"33,301","1,176","5,610",830,"1,115","2,260","2,401","1,265","1,169",778,"1,005","2,521","1,158","1,693","3,408","2,098","1,973","2,841"
2021년04월_계_70~79세,"18,087",718,"2,588",573,584,978,"1,139",825,686,561,729,"1,526",670,997,"1,781","1,162","1,061","1,509"
2021년04월_계_80~89세,"9,914",511,"1,206",350,323,568,632,580,497,410,505,828,291,458,860,562,497,836
2021년04월_계_90~99세,"1,339",68,187,57,45,92,97,80,70,47,54,95,53,61,109,72,65,87
2021년04월_계_100세 이상,56,3,11,6,0,2,2,1,0,2,1,5,3,4,6,4,4,2
2021년04월_남_총인구수,"165,503","3,393","39,684","2,174","12,016","10,955","12,345","2,913","3,612","1,604","2,284","10,426","4,941","5,635","18,372","9,578","11,098","14,473"
2021년04월_남_연령구간인구수,"165,503","3,393","39,684","2,174","12,016","10,955","12,345","2,913","3,612","1,604","2,284","10,426","4,941","5,635","18,372","9,578","11,098","14,473"
2021년04월_남_0~9세,"16,528",172,"4,882",102,"1,492","1,258","1,286",66,164,34,48,769,447,203,"2,010",811,"1,155","1,629"
2021년04월_남_10~19세,"17,859",260,"4,839",188,"1,593",941,733,156,220,56,89,"1,060",391,413,"2,421","1,261","1,447","1,791"
2021년04월_남_20~29세,"20,671",328,"5,161",165,"1,694","1,306","1,465",265,345,102,203,"1,409",574,971,"2,372","1,232","1,556","1,523"
2021년04월_남_30~39세,"25,680",374,"7,268",147,"2,098","1,968","2,804",241,391,116,185,"1,207",964,759,"2,496","1,102","1,518","2,042"
2021년04월_남_40~49세,"31,038",512,"7,868",304,"2,726","2,098","2,281",354,614,164,233,"1,892",863,804,"3,605","1,764","2,067","2,889"
2021년04월_남_50~59세,"25,249",618,"5,263",423,"1,471","1,540","1,731",547,750,304,471,"1,797",714,"1,029","2,797","1,684","1,765","2,345"
2021년04월_남_60~69세,"16,640",587,"2,785",427,563,"1,176","1,289",680,624,378,524,"1,303",575,820,"1,583","1,015",949,"1,362"
2021년04월_남_70~79세,"8,048",343,"1,162",276,257,470,529,376,315,278,335,662,300,445,749,505,435,611
2021년04월_남_80~89세,"3,484",185,413,128,115,184,205,210,174,161,185,300,105,173,310,187,190,259
2021년04월_남_90~99세,296,14,38,13,7,14,21,18,15,10,11,27,8,17,29,17,16,21
2021년04월_남_100세 이상,10,0,5,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
2021년04월_여_총인구수,"153,196","3,103","37,635","2,070","10,114","9,307","9,592","2,590","2,859","1,491","2,179","9,539","4,506","5,205","18,488","9,218","10,586","14,714"
2021년04월_여_연령구간인구수,"153,196","3,103","37,635","2,070","10,114","9,307","9,592","2,590","2,859","1,491","2,179","9,539","4,506","5,205","18,488","9,218","10,586","14,714"
2021년04월_여_0~9세,"15,696",173,"4,629",94,"1,411","1,282","1,187",70,144,27,57,742,436,223,"1,899",691,"1,023","1,608"
2021년04월_여_10~19세,"16,921",243,"4,600",170,"1,482",852,725,112,182,49,90,"1,036",341,373,"2,404","1,156","1,322","1,784"
2021년04월_여_20~29세,"16,395",214,"4,617",137,"1,207",793,959,150,194,81,147,"1,001",520,718,"2,142",937,"1,190","1,388"
2021년04월_여_30~39세,"22,458",236,"6,858",127,"1,891","1,626","1,853",154,217,65,123,"1,038",771,496,"2,527","1,017","1,395","2,064"
2021년04월_여_40~49세,"26,100",371,"7,018",238,"2,031","1,432","1,319",219,337,93,162,"1,601",638,667,"3,458","1,699","2,027","2,790"
2021년04월_여_50~59세,"21,407",519,"4,714",333,967,"1,266","1,323",418,491,206,361,"1,438",613,971,"2,565","1,544","1,619","2,059"
2021년04월_여_60~69세,"16,661",589,"2,825",403,552,"1,084","1,112",585,545,400,481,"1,218",583,873,"1,825","1,083","1,024","1,479"
2021년04월_여_70~79세,"10,039",375,"1,426",297,327,508,610,449,371,283,394,864,370,552,"1,032",657,626,898
2021년04월_여_80~89세,"6,430",326,793,222,208,384,427,370,323,249,320,528,186,285,550,375,307,577
2021년04월_여_90~99세,"1,043",54,149,44,38,78,76,62,55,37,43,68,45,44,80,55,49,66
2021년04월_여_100세 이상,46,3,6,5,0,2,1,1,0,1,1,5,3,3,6,4,4,1
