카테고리,강원도 홍천군,강원도 홍천군 홍천읍,강원도 홍천군 화촌면,강원도 홍천군 두촌면,강원도 홍천군 내촌면,강원도 홍천군 서석면,강원도 홍천군 동면,강원도 홍천군 남면,강원도 홍천군 서면,강원도 홍천군 북방면,강원도 홍천군 내면
2020년01월_계_총인구수,"68,933","34,874","4,603","2,385","2,366","3,800","3,924","5,969","3,833","3,943","3,236"
2020년01월_계_연령구간인구수,"68,933","34,874","4,603","2,385","2,366","3,800","3,924","5,969","3,833","3,943","3,236"
2020년01월_계_0~9세,"3,993","2,845",128,37,48,128,92,375,93,129,118
2020년01월_계_10~19세,"5,455","3,738",165,93,119,219,172,428,143,204,174
2020년01월_계_20~29세,"6,554","3,972",349,158,129,289,265,650,260,298,184
2020년01월_계_30~39세,"6,296","4,052",326,94,95,210,212,575,256,271,205
2020년01월_계_40~49세,"8,527","5,459",388,180,193,346,355,560,363,372,311
2020년01월_계_50~59세,"13,071","6,029",875,492,511,843,787,"1,060",805,873,796
2020년01월_계_60~69세,"12,898","4,729","1,163",623,652,909,"1,023","1,126","1,006",879,788
2020년01월_계_70~79세,"7,325","2,523",713,422,372,495,611,686,561,524,418
2020년01월_계_80~89세,"4,199","1,326",413,247,226,319,363,455,295,349,206
2020년01월_계_90~99세,577,185,78,39,20,39,39,53,49,40,35
2020년01월_계_100세 이상,38,16,5,0,1,3,5,1,2,4,1
2020년01월_남_총인구수,"35,249","17,529","2,406","1,179","1,234","1,929","2,011","3,172","2,011","2,062","1,716"
2020년01월_남_연령구간인구수,"35,249","17,529","2,406","1,179","1,234","1,929","2,011","3,172","2,011","2,062","1,716"
2020년01월_남_0~9세,"2,000","1,400",62,22,30,71,45,197,45,65,63
2020년01월_남_10~19세,"2,812","1,928",89,44,71,110,104,187,76,110,93
2020년01월_남_20~29세,"3,833","2,252",215,94,70,178,143,457,155,166,103
2020년01월_남_30~39세,"3,426","2,124",202,47,58,107,121,330,167,160,110
2020년01월_남_40~49세,"4,569","2,764",244,102,124,192,211,324,214,218,176
2020년01월_남_50~59세,"6,830","3,107",474,254,255,427,418,567,423,467,438
2020년01월_남_60~69세,"6,735","2,362",615,323,348,485,527,618,537,492,428
2020년01월_남_70~79세,"3,418","1,085",350,187,193,239,311,321,274,249,209
2020년01월_남_80~89세,"1,458",456,132,94,80,108,121,156,103,125,83
2020년01월_남_90~99세,160,50,20,12,5,12,9,15,17,8,12
2020년01월_남_100세 이상,8,1,3,0,0,0,1,0,0,2,1
2020년01월_여_총인구수,"33,684","17,345","2,197","1,206","1,132","1,871","1,913","2,797","1,822","1,881","1,520"
2020년01월_여_연령구간인구수,"33,684","17,345","2,197","1,206","1,132","1,871","1,913","2,797","1,822","1,881","1,520"
2020년01월_여_0~9세,"1,993","1,445",66,15,18,57,47,178,48,64,55
2020년01월_여_10~19세,"2,643","1,810",76,49,48,109,68,241,67,94,81
2020년01월_여_20~29세,"2,721","1,720",134,64,59,111,122,193,105,132,81
2020년01월_여_30~39세,"2,870","1,928",124,47,37,103,91,245,89,111,95
2020년01월_여_40~49세,"3,958","2,695",144,78,69,154,144,236,149,154,135
2020년01월_여_50~59세,"6,241","2,922",401,238,256,416,369,493,382,406,358
2020년01월_여_60~69세,"6,163","2,367",548,300,304,424,496,508,469,387,360
2020년01월_여_70~79세,"3,907","1,438",363,235,179,256,300,365,287,275,209
2020년01월_여_80~89세,"2,741",870,281,153,146,211,242,299,192,224,123
2020년01월_여_90~99세,417,135,58,27,15,27,30,38,32,32,23
2020년01월_여_100세 이상,30,15,2,0,1,3,4,1,2,2,0
