카테고리,서울특별시 종로구,서울특별시 종로구 청운효자동,서울특별시 종로구 사직동,서울특별시 종로구 삼청동,서울특별시 종로구 부암동,서울특별시 종로구 평창동,서울특별시 종로구 무악동,서울특별시 종로구 교남동,서울특별시 종로구 가회동,서울특별시 종로구 종로1.2.3.4가동,서울특별시 종로구 종로5.6가동,서울특별시 종로구 이화동,서울특별시 종로구 혜화동,서울특별시 종로구 창신제1동,서울특별시 종로구 창신제2동,서울특별시 종로구 창신제3동,서울특별시 종로구 숭인제1동,서울특별시 종로구 숭인제2동
2020년04월_계_총인구수,"150,936","12,711","9,509","2,734","10,144","18,573","8,690","10,563","4,351","7,242","5,368","7,786","16,916","5,185","8,452","7,049","6,148","9,515"
2020년04월_계_연령구간인구수,"150,936","12,711","9,509","2,734","10,144","18,573","8,690","10,563","4,351","7,242","5,368","7,786","16,916","5,185","8,452","7,049","6,148","9,515"
2020년04월_계_0~9세,"8,008",889,612,104,611,"1,198",739,904,214,196,121,271,723,155,252,402,319,298
2020년04월_계_10~19세,"11,479","1,223",695,217,941,"1,674","1,031",853,344,233,248,451,"1,427",251,540,568,396,387
2020년04월_계_20~29세,"23,445","1,623","1,251",346,"1,393","2,539",949,"1,302",497,847,"1,099","1,693","4,439",597,"1,212",986,818,"1,854"
2020년04월_계_30~39세,"20,235","1,754","1,403",383,"1,244","2,268",991,"1,785",580,898,695,"1,293","2,132",530,914,993,855,"1,517"
2020년04월_계_40~49세,"22,848","2,222","1,501",375,"1,656","2,806","1,585","1,876",764,966,642,"1,038","2,307",679,"1,194",990,966,"1,281"
2020년04월_계_50~59세,"25,727","2,004","1,538",424,"1,736","3,327","1,386","1,596",698,"1,393",998,"1,155","2,316","1,162","1,858","1,301","1,136","1,699"
2020년04월_계_60~69세,"19,493","1,371","1,168",406,"1,282","2,417",994,"1,136",592,"1,389",763,902,"1,596",982,"1,306",974,865,"1,350"
2020년04월_계_70~79세,"12,579","1,018",777,287,806,"1,417",648,737,442,826,543,609,"1,249",570,814,550,527,759
2020년04월_계_80~89세,"5,814",511,453,154,388,746,300,312,176,367,208,313,617,207,305,230,223,304
2020년04월_계_90~99세,"1,045",77,93,29,77,157,51,47,34,89,42,48,88,43,44,44,34,48
2020년04월_계_100세 이상,263,19,18,9,10,24,16,15,10,38,9,13,22,9,13,11,9,18
2020년04월_남_총인구수,"73,563","5,937","4,277","1,308","4,810","8,714","4,039","4,917","2,005","4,342","2,911","3,677","8,184","2,809","4,336","3,456","2,987","4,854"
2020년04월_남_연령구간인구수,"73,563","5,937","4,277","1,308","4,810","8,714","4,039","4,917","2,005","4,342","2,911","3,677","8,184","2,809","4,336","3,456","2,987","4,854"
2020년04월_남_0~9세,"4,042",461,303,47,313,618,327,466,104,107,62,137,346,83,139,218,160,151
2020년04월_남_10~19세,"5,790",653,313,126,494,873,485,417,180,120,126,218,723,127,281,277,186,191
2020년04월_남_20~29세,"11,565",802,574,185,725,"1,304",428,607,233,447,560,797,"2,221",329,646,524,410,773
2020년04월_남_30~39세,"10,080",818,625,184,576,"1,056",453,835,279,503,412,617,"1,128",305,544,476,452,817
2020년04월_남_40~49세,"11,116",987,665,181,769,"1,246",749,886,359,590,373,525,"1,105",351,626,484,505,715
2020년04월_남_50~59세,"12,933",956,691,203,787,"1,493",727,767,316,974,575,568,"1,111",662,974,635,551,943
2020년04월_남_60~69세,"9,660",597,539,188,606,"1,162",456,499,270,888,428,432,766,572,641,484,403,729
2020년04월_남_70~79세,"5,597",419,334,131,363,628,260,294,181,488,268,249,511,280,344,249,218,380
2020년04월_남_80~89세,"2,330",210,193,50,153,284,125,126,73,177,89,115,238,80,123,81,85,128
2020년04월_남_90~99세,363,31,36,12,21,42,18,15,6,36,14,16,27,19,16,19,14,21
2020년04월_남_100세 이상,87,3,4,1,3,8,11,5,4,12,4,3,8,1,2,9,3,6
2020년04월_여_총인구수,"77,373","6,774","5,232","1,426","5,334","9,859","4,651","5,646","2,346","2,900","2,457","4,109","8,732","2,376","4,116","3,593","3,161","4,661"
2020년04월_여_연령구간인구수,"77,373","6,774","5,232","1,426","5,334","9,859","4,651","5,646","2,346","2,900","2,457","4,109","8,732","2,376","4,116","3,593","3,161","4,661"
2020년04월_여_0~9세,"3,966",428,309,57,298,580,412,438,110,89,59,134,377,72,113,184,159,147
2020년04월_여_10~19세,"5,689",570,382,91,447,801,546,436,164,113,122,233,704,124,259,291,210,196
2020년04월_여_20~29세,"11,880",821,677,161,668,"1,235",521,695,264,400,539,896,"2,218",268,566,462,408,"1,081"
2020년04월_여_30~39세,"10,155",936,778,199,668,"1,212",538,950,301,395,283,676,"1,004",225,370,517,403,700
2020년04월_여_40~49세,"11,732","1,235",836,194,887,"1,560",836,990,405,376,269,513,"1,202",328,568,506,461,566
2020년04월_여_50~59세,"12,794","1,048",847,221,949,"1,834",659,829,382,419,423,587,"1,205",500,884,666,585,756
2020년04월_여_60~69세,"9,833",774,629,218,676,"1,255",538,637,322,501,335,470,830,410,665,490,462,621
2020년04월_여_70~79세,"6,982",599,443,156,443,789,388,443,261,338,275,360,738,290,470,301,309,379
2020년04월_여_80~89세,"3,484",301,260,104,235,462,175,186,103,190,119,198,379,127,182,149,138,176
2020년04월_여_90~99세,682,46,57,17,56,115,33,32,28,53,28,32,61,24,28,25,20,27
2020년04월_여_100세 이상,176,16,14,8,7,16,5,10,6,26,5,10,14,8,11,2,6,12
