카테고리,경기도 하남시,경기도 하남시 천현동,경기도 하남시 신장1동,경기도 하남시 신장2동,경기도 하남시 덕풍1동,경기도 하남시 덕풍2동,경기도 하남시 덕풍3동,경기도 하남시 풍산동,경기도 하남시 감북동,경기도 하남시 위례동,경기도 하남시 춘궁동,경기도 하남시 초이동,경기도 하남시 미사1동,경기도 하남시 미사2동
2020년01월_계_총인구수,"273,587","7,711","6,371","45,753","16,446","19,565","25,620","28,537","6,439","19,275","4,077","3,713","41,802","48,278"
2020년01월_계_연령구간인구수,"273,587","7,711","6,371","45,753","16,446","19,565","25,620","28,537","6,439","19,275","4,077","3,713","41,802","48,278"
2020년01월_계_0~9세,"29,609",371,308,"4,006","1,003","1,150","2,259","4,647",628,"2,620",149,172,"4,956","7,340"
2020년01월_계_10~19세,"23,729",449,407,"4,070","1,197","1,331","2,665","2,721",462,"1,739",210,199,"3,460","4,819"
2020년01월_계_20~29세,"32,477",981,961,"5,287","2,241","2,589","3,031","2,968",681,"2,310",481,456,"6,375","4,116"
2020년01월_계_30~39세,"46,893","1,015",970,"6,808","2,354","2,918","3,479","5,501","1,087","3,551",454,453,"9,564","8,739"
2020년01월_계_40~49세,"47,500","1,030",854,"7,341","2,353","2,651","4,444","5,406","1,010","3,586",580,508,"7,735","10,002"
2020년01월_계_50~59세,"40,421","1,501","1,242","7,266","3,061","3,703","4,166","3,615","1,110","2,892",819,779,"4,508","5,759"
2020년01월_계_60~69세,"31,921","1,437",938,"6,465","2,566","3,155","3,246","2,292",857,"1,787",752,685,"3,187","4,554"
2020년01월_계_70~79세,"14,782",616,474,"3,256","1,179","1,440","1,650",881,387,587,394,313,"1,464","2,141"
2020년01월_계_80~89세,"5,220",252,188,"1,065",415,526,584,379,182,163,201,132,457,676
2020년01월_계_90~99세,931,51,23,176,64,94,89,103,26,38,30,15,94,128
2020년01월_계_100세 이상,104,8,6,13,13,8,7,24,9,2,7,1,2,4
2020년01월_남_총인구수,"137,533","4,218","3,286","22,598","8,324","9,849","12,768","14,210","3,397","9,400","2,295","2,133","21,257","23,798"
2020년01월_남_연령구간인구수,"137,533","4,218","3,286","22,598","8,324","9,849","12,768","14,210","3,397","9,400","2,295","2,133","21,257","23,798"
2020년01월_남_0~9세,"15,120",184,156,"2,008",524,592,"1,184","2,375",314,"1,294",73,93,"2,583","3,740"
2020년01월_남_10~19세,"12,136",238,219,"2,127",653,670,"1,384","1,376",233,842,118,106,"1,743","2,427"
2020년01월_남_20~29세,"16,771",554,512,"2,727","1,189","1,409","1,630","1,516",377,"1,167",266,257,"3,082","2,085"
2020년01월_남_30~39세,"23,643",605,568,"3,469","1,276","1,605","1,791","2,554",569,"1,571",286,288,"5,031","4,030"
2020년01월_남_40~49세,"24,955",616,466,"3,689","1,225","1,355","2,199","2,854",563,"1,849",370,327,"4,166","5,276"
2020년01월_남_50~59세,"19,916",849,627,"3,447","1,427","1,823","1,990","1,764",600,"1,375",490,448,"2,284","2,792"
2020년01월_남_60~69세,"15,563",764,453,"3,066","1,254","1,544","1,560","1,131",476,925,409,395,"1,443","2,143"
2020년01월_남_70~79세,"7,377",305,211,"1,606",594,680,790,475,193,318,192,164,755,"1,094"
2020년01월_남_80~89세,"1,814",90,69,411,163,157,216,132,60,49,84,50,148,185
2020년01월_남_90~99세,210,11,3,45,17,11,23,23,9,10,6,5,22,25
2020년01월_남_100세 이상,28,2,2,3,2,3,1,10,3,0,1,0,0,1
2020년01월_여_총인구수,"136,054","3,493","3,085","23,155","8,122","9,716","12,852","14,327","3,042","9,875","1,782","1,580","20,545","24,480"
2020년01월_여_연령구간인구수,"136,054","3,493","3,085","23,155","8,122","9,716","12,852","14,327","3,042","9,875","1,782","1,580","20,545","24,480"
2020년01월_여_0~9세,"14,489",187,152,"1,998",479,558,"1,075","2,272",314,"1,326",76,79,"2,373","3,600"
2020년01월_여_10~19세,"11,593",211,188,"1,943",544,661,"1,281","1,345",229,897,92,93,"1,717","2,392"
2020년01월_여_20~29세,"15,706",427,449,"2,560","1,052","1,180","1,401","1,452",304,"1,143",215,199,"3,293","2,031"
2020년01월_여_30~39세,"23,250",410,402,"3,339","1,078","1,313","1,688","2,947",518,"1,980",168,165,"4,533","4,709"
2020년01월_여_40~49세,"22,545",414,388,"3,652","1,128","1,296","2,245","2,552",447,"1,737",210,181,"3,569","4,726"
2020년01월_여_50~59세,"20,505",652,615,"3,819","1,634","1,880","2,176","1,851",510,"1,517",329,331,"2,224","2,967"
2020년01월_여_60~69세,"16,358",673,485,"3,399","1,312","1,611","1,686","1,161",381,862,343,290,"1,744","2,411"
2020년01월_여_70~79세,"7,405",311,263,"1,650",585,760,860,406,194,269,202,149,709,"1,047"
2020년01월_여_80~89세,"3,406",162,119,654,252,369,368,247,122,114,117,82,309,491
2020년01월_여_90~99세,721,40,20,131,47,83,66,80,17,28,24,10,72,103
2020년01월_여_100세 이상,76,6,4,10,11,5,6,14,6,2,6,1,2,3
