카테고리,경상북도 영천시,경상북도 영천시 금호읍,경상북도 영천시 청통면,경상북도 영천시 신녕면,경상북도 영천시 화산면,경상북도 영천시 화북면,경상북도 영천시 화남면,경상북도 영천시 자양면,경상북도 영천시 임고면,경상북도 영천시 고경면,경상북도 영천시 북안면,경상북도 영천시 대창면,경상북도 영천시 동부동,경상북도 영천시 중앙동,경상북도 영천시 서부동,경상북도 영천시 완산동,경상북도 영천시 남부동
2021년10월_계_총인구수,"101,681","10,667","4,019","3,781","3,153","2,191","3,202","1,208","4,194","5,647","4,412","3,074","28,285","9,729","4,666","9,353","4,100"
2021년10월_계_연령구간인구수,"101,681","10,667","4,019","3,781","3,153","2,191","3,202","1,208","4,194","5,647","4,412","3,074","28,285","9,729","4,666","9,353","4,100"
2021년10월_계_0~9세,"5,595",362,103,99,65,53,78,15,110,245,77,83,"2,310",743,143,873,236
2021년10월_계_10~19세,"6,539",452,130,193,91,86,126,32,143,213,124,81,"2,719",931,255,772,191
2021년10월_계_20~29세,"9,685",873,267,194,162,111,174,79,253,709,250,198,"3,343","1,233",470,"1,020",349
2021년10월_계_30~39세,"9,108",712,256,206,153,77,162,40,205,420,213,192,"3,321","1,085",361,"1,291",414
2021년10월_계_40~49세,"12,298","1,143",344,321,257,159,224,58,340,499,377,250,"4,473","1,432",496,"1,452",473
2021년10월_계_50~59세,"18,075","2,194",701,624,568,394,582,259,702,842,760,540,"5,072","1,672",869,"1,508",788
2021년10월_계_60~69세,"19,532","2,364","1,059",968,785,584,853,323,"1,005","1,181","1,140",861,"4,013","1,359",972,"1,279",786
2021년10월_계_70~79세,"12,715","1,591",714,691,612,391,604,213,866,923,857,509,"1,940",817,691,782,514
2021년10월_계_80~89세,"7,234",882,395,431,407,284,347,165,511,554,544,316,980,410,364,341,303
2021년10월_계_90~99세,877,92,49,53,52,50,51,23,58,59,67,43,110,46,44,34,46
2021년10월_계_100세 이상,23,2,1,1,1,2,1,1,1,2,3,1,4,1,1,1,0
2021년10월_남_총인구수,"51,675","5,578","2,088","1,862","1,655","1,085","1,686",602,"2,138","3,044","2,294","1,618","13,946","4,893","2,334","4,636","2,216"
2021년10월_남_연령구간인구수,"51,675","5,578","2,088","1,862","1,655","1,085","1,686",602,"2,138","3,044","2,294","1,618","13,946","4,893","2,334","4,636","2,216"
2021년10월_남_0~9세,"2,836",190,59,56,37,29,36,8,61,126,35,37,"1,158",390,70,425,119
2021년10월_남_10~19세,"3,510",266,71,98,53,45,96,17,82,112,64,40,"1,438",477,128,417,106
2021년10월_남_20~29세,"5,713",494,161,116,117,65,118,44,152,546,153,108,"1,906",698,255,553,227
2021년10월_남_30~39세,"4,929",404,154,120,91,42,93,24,113,246,131,119,"1,725",558,207,657,245
2021년10월_남_40~49세,"6,772",665,220,186,159,98,148,35,214,305,229,168,"2,230",764,295,757,299
2021년10월_남_50~59세,"9,699","1,257",384,364,342,214,330,132,400,455,446,330,"2,529",819,486,750,461
2021년10월_남_60~69세,"9,872","1,236",554,467,434,312,446,186,509,626,610,458,"1,854",684,467,609,420
2021년10월_남_70~79세,"5,773",741,349,300,282,181,294,93,398,432,432,236,815,355,299,334,232
2021년10월_남_80~89세,"2,366",301,127,148,125,93,112,55,191,182,179,110,270,138,116,122,97
2021년10월_남_90~99세,199,23,9,6,15,5,13,8,18,14,14,11,21,10,11,11,10
2021년10월_남_100세 이상,6,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0
2021년10월_여_총인구수,"50,006","5,089","1,931","1,919","1,498","1,106","1,516",606,"2,056","2,603","2,118","1,456","14,339","4,836","2,332","4,717","1,884"
2021년10월_여_연령구간인구수,"50,006","5,089","1,931","1,919","1,498","1,106","1,516",606,"2,056","2,603","2,118","1,456","14,339","4,836","2,332","4,717","1,884"
2021년10월_여_0~9세,"2,759",172,44,43,28,24,42,7,49,119,42,46,"1,152",353,73,448,117
2021년10월_여_10~19세,"3,029",186,59,95,38,41,30,15,61,101,60,41,"1,281",454,127,355,85
2021년10월_여_20~29세,"3,972",379,106,78,45,46,56,35,101,163,97,90,"1,437",535,215,467,122
2021년10월_여_30~39세,"4,179",308,102,86,62,35,69,16,92,174,82,73,"1,596",527,154,634,169
2021년10월_여_40~49세,"5,526",478,124,135,98,61,76,23,126,194,148,82,"2,243",668,201,695,174
2021년10월_여_50~59세,"8,376",937,317,260,226,180,252,127,302,387,314,210,"2,543",853,383,758,327
2021년10월_여_60~69세,"9,660","1,128",505,501,351,272,407,137,496,555,530,403,"2,159",675,505,670,366
2021년10월_여_70~79세,"6,942",850,365,391,330,210,310,120,468,491,425,273,"1,125",462,392,448,282
2021년10월_여_80~89세,"4,868",581,268,283,282,191,235,110,320,372,365,206,710,272,248,219,206
2021년10월_여_90~99세,678,69,40,47,37,45,38,15,40,45,53,32,89,36,33,23,36
2021년10월_여_100세 이상,17,1,1,0,1,1,1,1,1,2,2,0,4,1,1,0,0
