카테고리,경기도 과천시,경기도 과천시 중앙동,경기도 과천시 갈현동,경기도 과천시 별양동,경기도 과천시 부림동,경기도 과천시 과천동,경기도 과천시 문원동
2020년03월_계_총인구수,"58,280","6,752","10,964","10,714","11,872","9,888","8,090"
2020년03월_계_연령구간인구수,"58,280","6,752","10,964","10,714","11,872","9,888","8,090"
2020년03월_계_0~9세,"4,572",413,"1,242",644,952,675,646
2020년03월_계_10~19세,"6,264",666,"1,513","1,220","1,280",666,919
2020년03월_계_20~29세,"7,998","1,037","1,211","1,705","1,719","1,324","1,002"
2020년03월_계_30~39세,"7,873",765,"1,374","1,172","1,761","1,758","1,043"
2020년03월_계_40~49세,"9,102",870,"2,117","1,485","1,784","1,504","1,342"
2020년03월_계_50~59세,"10,230","1,278","1,709","2,135","2,168","1,586","1,354"
2020년03월_계_60~69세,"6,587",905,947,"1,242","1,212","1,364",917
2020년03월_계_70~79세,"3,477",450,559,617,569,704,578
2020년03월_계_80~89세,"1,773",281,241,400,361,259,231
2020년03월_계_90~99세,354,72,47,83,62,45,45
2020년03월_계_100세 이상,50,15,4,11,4,3,13
2020년03월_남_총인구수,"28,633","3,259","5,321","5,082","5,855","5,151","3,965"
2020년03월_남_연령구간인구수,"28,633","3,259","5,321","5,082","5,855","5,151","3,965"
2020년03월_남_0~9세,"2,392",228,621,319,534,336,354
2020년03월_남_10~19세,"3,259",338,771,647,672,359,472
2020년03월_남_20~29세,"4,231",547,632,867,899,740,546
2020년03월_남_30~39세,"3,995",392,598,563,908,998,536
2020년03월_남_40~49세,"4,318",381,"1,022",646,822,804,643
2020년03월_남_50~59세,"5,002",594,873,"1,036","1,032",789,678
2020년03월_남_60~69세,"3,214",456,472,590,615,671,410
2020년03월_남_70~79세,"1,503",201,227,250,243,344,238
2020년03월_남_80~89세,623,103,92,139,117,97,75
2020년03월_남_90~99세,88,17,13,22,13,13,10
2020년03월_남_100세 이상,8,2,0,3,0,0,3
2020년03월_여_총인구수,"29,647","3,493","5,643","5,632","6,017","4,737","4,125"
2020년03월_여_연령구간인구수,"29,647","3,493","5,643","5,632","6,017","4,737","4,125"
2020년03월_여_0~9세,"2,180",185,621,325,418,339,292
2020년03월_여_10~19세,"3,005",328,742,573,608,307,447
2020년03월_여_20~29세,"3,767",490,579,838,820,584,456
2020년03월_여_30~39세,"3,878",373,776,609,853,760,507
2020년03월_여_40~49세,"4,784",489,"1,095",839,962,700,699
2020년03월_여_50~59세,"5,228",684,836,"1,099","1,136",797,676
2020년03월_여_60~69세,"3,373",449,475,652,597,693,507
2020년03월_여_70~79세,"1,974",249,332,367,326,360,340
2020년03월_여_80~89세,"1,150",178,149,261,244,162,156
2020년03월_여_90~99세,266,55,34,61,49,32,35
2020년03월_여_100세 이상,42,13,4,8,4,3,10
