,강원도 횡성군,강원도 횡성군 횡성읍,강원도 횡성군 우천면,강원도 횡성군 안흥면,강원도 횡성군 둔내면,강원도 횡성군 갑천면,강원도 횡성군 청일면,강원도 횡성군 공근면,강원도 횡성군 서원면,강원도 횡성군 강림면
2020년12월_계_총인구수,"46,472","20,755","4,517","3,077","5,889","2,408","2,429","3,509","2,140","1,748"
2020년12월_계_연령구간인구수,"46,472","20,755","4,517","3,077","5,889","2,408","2,429","3,509","2,140","1,748"
2020년12월_계_0~9세,"2,159","1,461",126,63,244,39,33,87,70,36
2020년12월_계_10~19세,"3,500","2,001",204,505,388,83,70,112,68,69
2020년12월_계_20~29세,"3,851","2,275",375,138,389,131,129,212,118,84
2020년12월_계_30~39세,"3,439","2,025",251,123,439,114,94,181,136,76
2020년12월_계_40~49세,"5,119","2,977",421,189,641,164,165,274,157,131
2020년12월_계_50~59세,"8,739","3,642",899,569,"1,203",461,530,695,390,350
2020년12월_계_60~69세,"10,273","3,301","1,147",790,"1,392",734,733,992,649,535
2020년12월_계_70~79세,"5,592","1,822",660,419,716,395,404,546,309,321
2020년12월_계_80~89세,"3,242","1,045",372,240,418,248,228,344,210,137
2020년12월_계_90~99세,523,193,56,38,55,36,41,63,32,9
2020년12월_계_100세 이상,35,13,6,3,4,3,2,3,1,0
2020년12월_남_총인구수,"23,822","10,435","2,360","1,577","3,087","1,243","1,234","1,838","1,136",912
2020년12월_남_연령구간인구수,"23,822","10,435","2,360","1,577","3,087","1,243","1,234","1,838","1,136",912
2020년12월_남_0~9세,"1,134",763,66,34,127,20,13,46,44,21
2020년12월_남_10~19세,"1,833","1,031",106,263,211,38,43,60,34,47
2020년12월_남_20~29세,"2,188","1,237",242,87,224,72,75,130,71,50
2020년12월_남_30~39세,"1,807","1,021",131,63,255,57,50,111,78,41
2020년12월_남_40~49세,"2,852","1,618",241,99,361,98,92,175,93,75
2020년12월_남_50~59세,"4,624","1,890",487,303,651,237,282,372,214,188
2020년12월_남_60~69세,"5,355","1,662",605,420,730,401,396,522,353,266
2020년12월_남_70~79세,"2,696",785,334,211,356,209,200,280,158,163
2020년12월_남_80~89세,"1,200",374,131,92,161,103,73,127,80,59
2020년12월_남_90~99세,123,51,17,5,11,6,9,12,10,2
2020년12월_남_100세 이상,10,3,0,0,0,2,1,3,1,0
2020년12월_여_총인구수,"22,650","10,320","2,157","1,500","2,802","1,165","1,195","1,671","1,004",836
2020년12월_여_연령구간인구수,"22,650","10,320","2,157","1,500","2,802","1,165","1,195","1,671","1,004",836
2020년12월_여_0~9세,"1,025",698,60,29,117,19,20,41,26,15
2020년12월_여_10~19세,"1,667",970,98,242,177,45,27,52,34,22
2020년12월_여_20~29세,"1,663","1,038",133,51,165,59,54,82,47,34
2020년12월_여_30~39세,"1,632","1,004",120,60,184,57,44,70,58,35
2020년12월_여_40~49세,"2,267","1,359",180,90,280,66,73,99,64,56
2020년12월_여_50~59세,"4,115","1,752",412,266,552,224,248,323,176,162
2020년12월_여_60~69세,"4,918","1,639",542,370,662,333,337,470,296,269
2020년12월_여_70~79세,"2,896","1,037",326,208,360,186,204,266,151,158
2020년12월_여_80~89세,"2,042",671,241,148,257,145,155,217,130,78
2020년12월_여_90~99세,400,142,39,33,44,30,32,51,22,7
2020년12월_여_100세 이상,25,10,6,3,4,1,1,0,0,0
