카테고리,전라북도 김제시,전라북도 김제시 만경읍,전라북도 김제시 죽산면,전라북도 김제시 백산면,전라북도 김제시 용지면,전라북도 김제시 백구면,전라북도 김제시 부량면,전라북도 김제시 공덕면,전라북도 김제시 청하면,전라북도 김제시 성덕면,전라북도 김제시 진봉면,전라북도 김제시 금구면,전라북도 김제시 봉남면,전라북도 김제시 황산면,전라북도 김제시 금산면,전라북도 김제시 광활면,전라북도 김제시 요촌동,전라북도 김제시 신풍동,전라북도 김제시 검산동,전라북도 김제시 교월동
2020년02월_계_총인구수,"83,595","2,726","2,574","2,559","3,766","3,908","1,355","2,606","1,811","1,879","2,725","4,991","2,244","1,930","4,727","1,377","11,301","12,870","11,626","6,620"
2020년02월_계_연령구간인구수,"83,595","2,726","2,574","2,559","3,766","3,908","1,355","2,606","1,811","1,879","2,725","4,991","2,244","1,930","4,727","1,377","11,301","12,870","11,626","6,620"
2020년02월_계_0~9세,"4,599",109,67,69,109,135,48,84,58,48,45,198,57,47,143,45,802,959,"1,107",469
2020년02월_계_10~19세,"6,444",125,117,131,170,232,66,137,85,82,111,311,94,79,234,66,"1,051","1,386","1,457",510
2020년02월_계_20~29세,"7,387",172,133,168,300,291,94,202,98,122,133,410,139,147,348,91,"1,301","1,377","1,268",593
2020년02월_계_30~39세,"7,021",190,151,162,243,271,94,169,113,114,162,349,144,101,301,81,"1,177","1,298","1,255",646
2020년02월_계_40~49세,"10,344",265,225,257,372,415,107,238,184,204,251,579,196,189,465,155,"1,599","1,912","1,946",785
2020년02월_계_50~59세,"14,182",455,403,452,647,725,210,456,268,296,425,960,363,372,906,222,"1,920","2,169","1,819","1,114"
2020년02월_계_60~69세,"14,169",638,578,538,783,740,281,559,383,382,593,956,444,378,934,263,"1,643","1,673","1,346","1,057"
2020년02월_계_70~79세,"11,114",413,485,457,635,626,251,401,339,353,554,748,433,348,797,279,"1,063","1,253",847,832
2020년02월_계_80~89세,"7,171",311,367,273,418,405,180,310,241,230,382,422,334,236,512,153,634,743,500,520
2020년02월_계_90~99세,"1,100",47,44,45,84,68,22,49,40,45,69,56,39,32,78,22,103,99,80,78
2020년02월_계_100세 이상,64,1,4,7,5,0,2,1,2,3,0,2,1,1,9,0,8,1,1,16
2020년02월_남_총인구수,"41,483","1,385","1,289","1,326","1,874","1,940",648,"1,310",906,952,"1,306","2,551","1,093",979,"2,382",718,"5,559","6,328","5,632","3,305"
2020년02월_남_연령구간인구수,"41,483","1,385","1,289","1,326","1,874","1,940",648,"1,310",906,952,"1,306","2,551","1,093",979,"2,382",718,"5,559","6,328","5,632","3,305"
2020년02월_남_0~9세,"2,387",69,37,40,49,71,26,43,35,24,23,105,34,25,78,24,408,511,548,237
2020년02월_남_10~19세,"3,317",67,70,70,87,110,38,62,45,48,59,169,46,47,141,32,511,719,732,264
2020년02월_남_20~29세,"4,076",100,85,96,167,150,53,117,59,69,71,225,76,79,194,56,698,758,688,335
2020년02월_남_30~39세,"3,771",128,82,100,137,157,56,97,69,70,103,195,91,62,174,51,611,657,610,321
2020년02월_남_40~49세,"5,853",161,152,173,251,252,76,147,117,136,161,349,142,128,282,113,835,974,948,456
2020년02월_남_50~59세,"7,680",243,234,273,345,404,112,257,141,170,247,535,202,210,512,129,981,"1,102",975,608
2020년02월_남_60~69세,"7,068",340,298,267,405,369,131,296,196,200,292,496,209,195,479,132,775,811,640,537
2020년02월_남_70~79세,"4,816",182,214,213,290,278,96,179,146,154,222,329,176,160,333,121,488,519,346,370
2020년02월_남_80~89세,"2,247",85,108,85,116,125,54,98,87,70,119,134,111,62,166,53,227,253,132,162
2020년02월_남_90~99세,257,10,8,8,25,24,6,14,10,11,9,14,6,11,23,7,21,24,13,13
2020년02월_남_100세 이상,11,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,4,0,0,2
2020년02월_여_총인구수,"42,112","1,341","1,285","1,233","1,892","1,968",707,"1,296",905,927,"1,419","2,440","1,151",951,"2,345",659,"5,742","6,542","5,994","3,315"
2020년02월_여_연령구간인구수,"42,112","1,341","1,285","1,233","1,892","1,968",707,"1,296",905,927,"1,419","2,440","1,151",951,"2,345",659,"5,742","6,542","5,994","3,315"
2020년02월_여_0~9세,"2,212",40,30,29,60,64,22,41,23,24,22,93,23,22,65,21,394,448,559,232
2020년02월_여_10~19세,"3,127",58,47,61,83,122,28,75,40,34,52,142,48,32,93,34,540,667,725,246
2020년02월_여_20~29세,"3,311",72,48,72,133,141,41,85,39,53,62,185,63,68,154,35,603,619,580,258
2020년02월_여_30~39세,"3,250",62,69,62,106,114,38,72,44,44,59,154,53,39,127,30,566,641,645,325
2020년02월_여_40~49세,"4,491",104,73,84,121,163,31,91,67,68,90,230,54,61,183,42,764,938,998,329
2020년02월_여_50~59세,"6,502",212,169,179,302,321,98,199,127,126,178,425,161,162,394,93,939,"1,067",844,506
2020년02월_여_60~69세,"7,101",298,280,271,378,371,150,263,187,182,301,460,235,183,455,131,868,862,706,520
2020년02월_여_70~79세,"6,298",231,271,244,345,348,155,222,193,199,332,419,257,188,464,158,575,734,501,462
2020년02월_여_80~89세,"4,924",226,259,188,302,280,126,212,154,160,263,288,223,174,346,100,407,490,368,358
2020년02월_여_90~99세,843,37,36,37,59,44,16,35,30,34,60,42,33,21,55,15,82,75,67,65
2020년02월_여_100세 이상,53,1,3,6,3,0,2,1,1,3,0,2,1,1,9,0,4,1,1,14
