,충청남도 태안군,충청남도 태안군 태안읍,충청남도 태안군 안면읍,충청남도 태안군 고남면,충청남도 태안군 남면,충청남도 태안군 근흥면,충청남도 태안군 소원면,충청남도 태안군 원북면,충청남도 태안군 이원면
2020년04월_계_총인구수,"62,283","29,359","8,666","2,385","4,402","5,405","5,358","4,409","2,299"
2020년04월_계_연령구간인구수,"62,283","29,359","8,666","2,385","4,402","5,405","5,358","4,409","2,299"
2020년04월_계_0~9세,"3,199","2,260",330,63,130,128,115,126,47
2020년04월_계_10~19세,"4,526","2,943",565,132,186,203,210,186,101
2020년04월_계_20~29세,"5,156","2,978",574,115,475,312,257,324,121
2020년04월_계_30~39세,"5,335","3,321",610,126,269,330,278,275,126
2020년04월_계_40~49세,"7,830","4,495","1,057",242,400,502,538,411,185
2020년04월_계_50~59세,"10,880","4,969","1,543",468,770,"1,004",966,779,381
2020년04월_계_60~69세,"11,684","4,127","1,892",524,980,"1,358","1,299",958,546
2020년04월_계_70~79세,"8,617","2,780","1,397",444,723,980,"1,050",798,445
2020년04월_계_80~89세,"4,439","1,312",595,245,413,518,575,476,305
2020년04월_계_90~99세,593,170,92,26,55,67,69,74,40
2020년04월_계_100세 이상,24,4,11,0,1,3,1,2,2
2020년04월_남_총인구수,"31,414","14,826","4,319","1,146","2,274","2,790","2,658","2,241","1,160"
2020년04월_남_연령구간인구수,"31,414","14,826","4,319","1,146","2,274","2,790","2,658","2,241","1,160"
2020년04월_남_0~9세,"1,585","1,135",162,24,57,59,62,60,26
2020년04월_남_10~19세,"2,355","1,513",309,58,102,116,105,97,55
2020년04월_남_20~29세,"3,020","1,700",332,65,329,200,142,189,63
2020년04월_남_30~39세,"2,987","1,787",340,69,155,213,169,176,78
2020년04월_남_40~49세,"4,456","2,393",604,150,251,327,346,256,129
2020년04월_남_50~59세,"5,689","2,535",815,252,392,544,509,423,219
2020년04월_남_60~69세,"5,618","1,984",888,251,492,649,627,462,265
2020년04월_남_70~79세,"4,020","1,297",640,192,335,465,487,394,210
2020년04월_남_80~89세,"1,554",443,208,80,145,200,198,169,111
2020년04월_남_90~99세,126,39,19,5,15,17,13,14,4
2020년04월_남_100세 이상,4,0,2,0,1,0,0,1,0
2020년04월_여_총인구수,"30,869","14,533","4,347","1,239","2,128","2,615","2,700","2,168","1,139"
2020년04월_여_연령구간인구수,"30,869","14,533","4,347","1,239","2,128","2,615","2,700","2,168","1,139"
2020년04월_여_0~9세,"1,614","1,125",168,39,73,69,53,66,21
2020년04월_여_10~19세,"2,171","1,430",256,74,84,87,105,89,46
2020년04월_여_20~29세,"2,136","1,278",242,50,146,112,115,135,58
2020년04월_여_30~39세,"2,348","1,534",270,57,114,117,109,99,48
2020년04월_여_40~49세,"3,374","2,102",453,92,149,175,192,155,56
2020년04월_여_50~59세,"5,191","2,434",728,216,378,460,457,356,162
2020년04월_여_60~69세,"6,066","2,143","1,004",273,488,709,672,496,281
2020년04월_여_70~79세,"4,597","1,483",757,252,388,515,563,404,235
2020년04월_여_80~89세,"2,885",869,387,165,268,318,377,307,194
2020년04월_여_90~99세,467,131,73,21,40,50,56,60,36
2020년04월_여_100세 이상,20,4,9,0,0,3,1,1,2
