카테고리,경상북도 예천군,경상북도 예천군 예천읍,경상북도 예천군 용문면,경상북도 예천군 감천면,경상북도 예천군 보문면,경상북도 예천군 호명면,경상북도 예천군 유천면,경상북도 예천군 용궁면,경상북도 예천군 개포면,경상북도 예천군 지보면,경상북도 예천군 풍양면,경상북도 예천군 효자면,경상북도 예천군 은풍면
2020년09월_계_총인구수,"55,416","14,847","2,340","2,685","1,721","18,789","2,549","2,471","1,538","2,731","3,194","1,187","1,364"
2020년09월_계_연령구간인구수,"55,416","14,847","2,340","2,685","1,721","18,789","2,549","2,471","1,538","2,731","3,194","1,187","1,364"
2020년09월_계_0~9세,"4,630",799,75,64,56,"3,245",151,53,21,50,55,25,36
2020년09월_계_10~19세,"4,351","1,235",111,85,58,"2,265",110,90,46,84,129,63,75
2020년09월_계_20~29세,"4,063","1,320",95,149,61,"1,646",218,117,54,91,199,47,66
2020년09월_계_30~39세,"5,503","1,181",80,116,81,"3,335",223,114,44,114,113,41,61
2020년09월_계_40~49세,"7,063","1,917",186,170,124,"3,472",237,202,106,205,252,88,104
2020년09월_계_50~59세,"8,081","2,506",355,430,262,"2,195",331,381,221,429,506,241,224
2020년09월_계_60~69세,"9,248","2,848",501,676,413,"1,361",446,569,386,679,726,336,307
2020년09월_계_70~79세,"6,913","1,835",502,513,347,731,425,533,351,580,649,176,271
2020년09월_계_80~89세,"4,875","1,040",390,423,288,466,350,359,278,442,504,145,190
2020년09월_계_90~99세,655,160,42,55,31,70,56,49,29,53,59,24,27
2020년09월_계_100세 이상,34,6,3,4,0,3,2,4,2,4,2,1,3
2020년09월_남_총인구수,"27,248","7,331","1,163","1,329",849,"9,240","1,254","1,202",740,"1,340","1,536",587,677
2020년09월_남_연령구간인구수,"27,248","7,331","1,163","1,329",849,"9,240","1,254","1,202",740,"1,340","1,536",587,677
2020년09월_남_0~9세,"2,369",394,44,36,28,"1,659",82,26,7,27,32,13,21
2020년09월_남_10~19세,"2,317",701,64,41,37,"1,163",58,48,28,43,65,36,33
2020년09월_남_20~29세,"2,296",771,55,102,34,860,137,64,34,52,122,24,41
2020년09월_남_30~39세,"2,771",611,43,67,42,"1,578",123,71,26,74,80,17,39
2020년09월_남_40~49세,"3,864","1,038",121,114,85,"1,734",160,137,72,140,149,53,61
2020년09월_남_50~59세,"4,217","1,235",205,231,160,"1,094",194,202,130,244,275,120,127
2020년09월_남_60~69세,"4,580","1,350",268,352,218,669,197,276,197,345,358,192,158
2020년09월_남_70~79세,"3,066",831,219,218,147,327,187,237,150,269,274,87,120
2020년09월_남_80~89세,"1,646",371,135,154,90,146,104,132,94,138,173,38,71
2020년09월_남_90~99세,119,28,9,13,8,10,12,9,2,7,8,7,6
2020년09월_남_100세 이상,3,1,0,1,0,0,0,0,0,1,0,0,0
2020년09월_여_총인구수,"28,168","7,516","1,177","1,356",872,"9,549","1,295","1,269",798,"1,391","1,658",600,687
2020년09월_여_연령구간인구수,"28,168","7,516","1,177","1,356",872,"9,549","1,295","1,269",798,"1,391","1,658",600,687
2020년09월_여_0~9세,"2,261",405,31,28,28,"1,586",69,27,14,23,23,12,15
2020년09월_여_10~19세,"2,034",534,47,44,21,"1,102",52,42,18,41,64,27,42
2020년09월_여_20~29세,"1,767",549,40,47,27,786,81,53,20,39,77,23,25
2020년09월_여_30~39세,"2,732",570,37,49,39,"1,757",100,43,18,40,33,24,22
2020년09월_여_40~49세,"3,199",879,65,56,39,"1,738",77,65,34,65,103,35,43
2020년09월_여_50~59세,"3,864","1,271",150,199,102,"1,101",137,179,91,185,231,121,97
2020년09월_여_60~69세,"4,668","1,498",233,324,195,692,249,293,189,334,368,144,149
2020년09월_여_70~79세,"3,847","1,004",283,295,200,404,238,296,201,311,375,89,151
2020년09월_여_80~89세,"3,229",669,255,269,198,320,246,227,184,304,331,107,119
2020년09월_여_90~99세,536,132,33,42,23,60,44,40,27,46,51,17,21
2020년09월_여_100세 이상,31,5,3,3,0,3,2,4,2,3,2,1,3
