,인천광역시 연수구,인천광역시 연수구 옥련1동,인천광역시 연수구 옥련2동,인천광역시 연수구 선학동,인천광역시 연수구 연수1동,인천광역시 연수구 연수2동,인천광역시 연수구 연수3동,인천광역시 연수구 청학동,인천광역시 연수구 동춘1동,인천광역시 연수구 동춘2동,인천광역시 연수구 동춘3동,인천광역시 연수구 송도1동,인천광역시 연수구 송도2동,인천광역시 연수구 송도3동,인천광역시 연수구 송도4동,인천광역시 연수구 송도5동
2021년08월_계_총인구수,"390,107","19,477","20,480","17,276","19,631","21,238","16,313","24,862","25,511","18,412","18,694","37,791","36,821","48,966","25,184","39,451"
2021년08월_계_연령구간인구수,"390,107","19,477","20,480","17,276","19,631","21,238","16,313","24,862","25,511","18,412","18,694","37,791","36,821","48,966","25,184","39,451"
2021년08월_계_0~9세,"37,882","1,306","1,428",864,887,"1,347",918,"1,188","2,300","1,327","1,484","3,069","4,822","6,782","3,745","6,415"
2021년08월_계_10~19세,"43,087","1,856","2,178","1,062","1,536","1,639","1,199","1,689","2,675","1,933","2,827","5,497","6,372","6,045","2,961","3,618"
2021년08월_계_20~29세,"51,224","2,574","2,865","2,414","3,029","3,260","2,183","3,398","3,342","2,562","2,503","6,405","3,623","6,154","2,810","4,102"
2021년08월_계_30~39세,"57,231","2,257","2,394","2,230","2,499","3,197","2,148","3,040","3,714","2,613","1,764","4,332","4,366","9,155","4,599","8,923"
2021년08월_계_40~49세,"69,000","3,068","3,262","2,354","3,169","3,001","2,147","3,524","4,196","2,859","3,318","6,616","8,520","9,988","5,254","7,724"
2021년08월_계_50~59세,"64,899","3,714","3,905","3,280","3,976","3,836","3,021","5,187","4,658","3,459","3,372","6,356","5,589","6,180","3,404","4,962"
2021년08월_계_60~69세,"42,008","2,620","2,624","3,129","2,778","2,972","2,633","4,078","3,131","2,341","2,077","3,662","2,350","3,152","1,708","2,753"
2021년08월_계_70~79세,"15,820","1,360","1,165","1,252","1,164","1,180","1,209","1,738",942,803,847,"1,185",760,"1,042",499,674
2021년08월_계_80~89세,"7,553",626,561,590,508,676,702,881,449,452,416,544,351,395,179,223
2021년08월_계_90~99세,"1,353",96,93,95,81,126,143,133,100,62,86,123,65,71,23,56
2021년08월_계_100세 이상,50,0,5,6,4,4,10,6,4,1,0,2,3,2,2,1
2021년08월_남_총인구수,"193,801","9,641","10,104","8,938","10,750","10,453","7,748","12,937","12,521","8,953","9,099","18,593","18,054","23,988","12,486","19,536"
2021년08월_남_연령구간인구수,"193,801","9,641","10,104","8,938","10,750","10,453","7,748","12,937","12,521","8,953","9,099","18,593","18,054","23,988","12,486","19,536"
2021년08월_남_0~9세,"19,293",678,706,463,453,707,475,590,"1,176",676,739,"1,576","2,441","3,412","1,915","3,286"
2021년08월_남_10~19세,"22,150",962,"1,136",548,845,827,613,869,"1,338","1,001","1,457","2,818","3,263","3,096","1,491","1,886"
