카테고리,경기도,경기도 수원시,경기도 수원시 장안구,경기도 수원시 권선구,경기도 수원시 팔달구,경기도 수원시 영통구,경기도 성남시,경기도 성남시 수정구,경기도 성남시 중원구,경기도 성남시 분당구,경기도 의정부시,경기도 안양시,경기도 안양시 만안구,경기도 안양시 동안구,경기도 부천시,경기도 광명시,경기도 평택시,경기도 동두천시,경기도 안산시,경기도 안산시 상록구,경기도 안산시 단원구,경기도 고양시,경기도 고양시 덕양구,경기도 고양시 일산동구,경기도 고양시 일산서구,경기도 과천시,경기도 구리시,경기도 남양주시,경기도 오산시,경기도 시흥시,경기도 군포시,경기도 의왕시,경기도 하남시,경기도 용인시,경기도 용인시 처인구,경기도 용인시 기흥구,경기도 용인시 수지구,경기도 파주시,경기도 이천시,경기도 안성시,경기도 김포시,경기도 화성시,경기도 광주시,경기도 양주시,경기도 포천시,경기도 여주시,경기도 연천군,경기도 가평군,경기도 양평군
2020년11월_계_총인구수,"13,413,459","1,187,153","274,148","369,150","174,709","369,146","940,746","242,157","215,975","482,614","460,390","551,296","239,947","311,349","819,990","300,092","534,343","94,199","654,210","350,342","303,868","1,078,047","476,341","298,725","302,981","62,026","197,608","712,900","229,591","497,925","274,309","163,978","291,075","1,074,790","258,079","440,764","375,947","464,453","219,525","186,853","469,340","853,106","381,324","230,273","147,477","111,636","43,531","62,495","118,778"
2020년11월_계_연령구간인구수,"13,413,459","1,187,153","274,148","369,150","174,709","369,146","940,746","242,157","215,975","482,614","460,390","551,296","239,947","311,349","819,990","300,092","534,343","94,199","654,210","350,342","303,868","1,078,047","476,341","298,725","302,981","62,026","197,608","712,900","229,591","497,925","274,309","163,978","291,075","1,074,790","258,079","440,764","375,947","464,453","219,525","186,853","469,340","853,106","381,324","230,273","147,477","111,636","43,531","62,495","118,778"
2020년11월_계_0~9세,"1,148,218","97,684","18,473","32,721","9,497","36,993","69,001","15,913","13,341","39,747","34,369","39,570","15,665","23,905","57,742","23,465","48,882","6,355","44,722","23,596","21,126","82,245","38,637","20,774","22,834","5,005","15,268","65,228","23,930","47,956","20,792","13,210","30,068","101,101","21,271","43,007","36,823","44,418","18,905","14,095","54,595","104,868","35,233","20,027","8,615","7,421","2,752","3,376","7,320"
2020년11월_계_10~19세,"1,332,593","118,729","28,804","33,554","13,925","42,446","88,082","17,688","16,622","53,772","42,614","52,587","18,949","33,638","70,914","30,770","53,148","8,625","64,285","34,273","30,012","105,236","41,548","29,669","34,019","6,251","18,235","77,466","24,886","50,093","26,752","14,694","24,857","122,298","25,843","50,921","45,534","48,931","23,437","18,235","47,395","96,508","33,738","24,130","12,338","9,627","3,191","4,693","9,848"
2020년11월_계_20~29세,"1,804,745","186,689","44,125","54,549","28,837","59,178","132,367","35,240","31,165","65,962","64,366","77,982","34,620","43,362","117,625","38,423","72,932","11,234","106,218","57,826","48,392","150,878","62,894","44,943","43,041","8,594","27,280","84,873","31,244","69,205","38,330","23,519","35,961","137,632","34,602","56,609","46,421","56,695","30,172","22,471","51,423","103,894","45,157","27,347","17,895","12,157","5,375","6,215","10,592"
2020년11월_계_30~39세,"1,906,454","179,021","32,740","58,447","24,645","63,189","137,153","36,050","31,078","70,025","59,901","76,611","33,051","43,560","116,551","41,469","79,942","10,210","85,615","44,073","41,542","142,468","67,715","38,119","36,634","8,587","26,422","89,703","38,989","76,791","38,394","22,961","49,744","145,734","33,935","59,777","52,022","67,024","30,498","23,151","75,324","151,248","57,911","28,120","14,608","11,490","4,242","5,771","10,801"
2020년11월_계_40~49세,"2,298,870","203,131","45,467","61,712","27,325","68,627","157,561","37,736","32,987","86,838","74,755","88,167","35,339","52,828","129,697","51,902","93,403","14,337","108,602","57,974","50,628","182,462","78,753","51,220","52,489","9,393","32,926","130,127","43,246","90,216","44,703","24,688","51,053","200,106","43,479","83,987","72,640","80,588","34,722","30,118","87,582","163,499","66,620","39,476","20,541","16,021","4,985","7,928","16,315"
2020년11월_계_50~59세,"2,234,028","196,733","49,334","62,321","30,581","54,497","155,977","41,370","38,304","76,303","80,261","97,809","43,562","54,247","147,914","49,988","86,674","16,439","127,779","68,827","58,952","194,480","82,733","55,695","56,052","10,898","35,820","116,881","33,214","87,388","48,317","29,526","41,777","164,719","43,211","66,499","55,009","72,714","35,298","31,461","66,521","115,172","63,411","38,041","29,247","20,102","7,163","11,397","20,907"
2020년11월_계_60~69세,"1,521,458","119,555","30,598","39,675","22,333","26,949","113,201","33,482","30,543","49,176","56,826","70,503","34,305","36,198","109,934","37,471","54,648","13,124","70,771","37,518","33,253","120,357","56,493","32,522","31,342","7,310","24,277","82,661","19,816","46,630","33,153","21,341","34,805","105,706","31,131","41,005","33,570","49,014","25,710","25,077","48,887","69,288","47,763","28,746","24,238","18,450","7,507","12,053","22,636"
2020년11월_계_70~79세,"764,570","56,498","15,779","17,453","11,875","11,391","57,949","17,201","15,234","25,514","31,237","31,667","16,468","15,199","46,561","17,856","28,518","8,812","29,677","16,753","12,924","61,973","30,425","15,582","15,966","3,676","11,731","44,658","9,761","19,384","15,082","9,061","16,040","65,568","15,986","26,244","23,338","28,722","13,061","13,627","25,663","32,041","21,870","16,242","12,467","10,208","5,053","6,852","13,055"
2020년11월_계_80~89세,"346,189","24,829","7,478","7,468","4,869","5,014","24,805","6,313","5,638","12,854","13,969","14,068","6,926","7,142","19,748","7,464","13,956","4,362","14,314","8,217","6,097","32,838","14,881","8,749","9,208","1,892","4,880","18,448","3,952","8,826","7,519","4,218","5,658","27,557","7,370","10,981","9,206","14,090","6,716","7,535","10,387","14,401","8,276","7,051","6,465","5,280","2,819","3,635","6,231"
2020년11월_계_90~99세,"52,032","3,969","1,262","1,155",728,824,"4,158",954,876,"2,328","1,865","2,153",979,"1,174","3,054","1,143","2,006",617,"2,094","1,215",879,"4,780","2,051","1,391","1,338",367,688,"2,636",510,"1,337","1,189",712,989,"4,167","1,173","1,663","1,331","2,059",943,"1,025","1,490","2,072","1,242","1,024",983,829,399,526,"1,006"
2020년11월_계_100세 이상,"4,302",315,88,95,94,38,492,210,187,95,227,179,83,96,250,141,234,84,133,70,63,330,211,61,58,53,81,219,43,99,78,48,123,202,78,71,53,198,63,58,73,115,103,69,80,51,45,49,67
2020년11월_남_총인구수,"6,748,061","597,612","138,079","186,359","88,067","185,107","465,702","122,416","109,362","233,924","226,656","272,550","120,116","152,434","406,839","148,104","275,968","46,959","335,365","178,646","156,719","527,834","235,485","145,341","147,008","30,466","98,033","355,027","118,706","260,233","136,130","81,584","146,255","533,488","132,516","217,694","183,278","235,537","113,668","96,313","235,230","442,631","194,991","116,847","78,012","56,728","22,801","32,192","59,600"
2020년11월_남_연령구간인구수,"6,748,061","597,612","138,079","186,359","88,067","185,107","465,702","122,416","109,362","233,924","226,656","272,550","120,116","152,434","406,839","148,104","275,968","46,959","335,365","178,646","156,719","527,834","235,485","145,341","147,008","30,466","98,033","355,027","118,706","260,233","136,130","81,584","146,255","533,488","132,516","217,694","183,278","235,537","113,668","96,313","235,230","442,631","194,991","116,847","78,012","56,728","22,801","32,192","59,600"
2020년11월_남_0~9세,"587,954","50,392","9,533","16,896","4,829","19,134","35,345","8,037","6,872","20,436","17,759","20,127","7,931","12,196","29,630","12,016","24,902","3,286","22,748","11,973","10,775","41,926","19,683","10,623","11,620","2,609","7,902","33,549","12,164","24,444","10,620","6,843","15,384","51,671","10,860","22,092","18,719","22,704","9,782","7,251","27,839","53,644","18,107","10,200","4,469","3,824","1,396","1,672","3,749"
