,경상남도 의령군,경상남도 의령군 의령읍,경상남도 의령군 가례면,경상남도 의령군 칠곡면,경상남도 의령군 대의면,경상남도 의령군 화정면,경상남도 의령군 용덕면,경상남도 의령군 정곡면,경상남도 의령군 지정면,경상남도 의령군 낙서면,경상남도 의령군 부림면,경상남도 의령군 봉수면,경상남도 의령군 궁류면,경상남도 의령군 유곡면
2020년10월_계_총인구수,"26,864","9,534","1,708","1,172","1,034","1,543","1,583","1,447","1,860",758,"2,868","1,005","1,159","1,193"
2020년10월_계_연령구간인구수,"26,864","9,534","1,708","1,172","1,034","1,543","1,583","1,447","1,860",758,"2,868","1,005","1,159","1,193"
2020년10월_계_0~9세,"1,107",712,34,22,31,28,35,41,40,20,89,24,11,20
2020년10월_계_10~19세,"1,544",902,57,37,27,61,65,41,62,26,170,37,33,26
2020년10월_계_20~29세,"2,049",979,110,75,68,134,92,82,126,31,207,48,41,56
2020년10월_계_30~39세,"1,767",960,90,54,48,69,102,49,91,30,137,51,40,46
2020년10월_계_40~49세,"2,900","1,496",137,86,73,135,134,119,153,52,303,76,55,81
2020년10월_계_50~59세,"4,650","1,591",325,220,176,271,298,266,323,121,516,131,203,209
2020년10월_계_60~69세,"5,352","1,414",407,291,234,342,363,327,447,202,551,235,266,273
2020년10월_계_70~79세,"4,033",887,278,200,198,263,250,278,358,143,519,200,235,224
2020년10월_계_80~89세,"3,016",522,232,159,156,214,213,214,228,118,321,177,241,221
2020년10월_계_90~99세,437,68,36,28,23,26,31,30,31,14,55,26,34,35
2020년10월_계_100세 이상,9,3,2,0,0,0,0,0,1,1,0,0,0,2
2020년10월_남_총인구수,"13,157","4,698",852,580,494,757,771,705,945,358,"1,367",522,544,564
2020년10월_남_연령구간인구수,"13,157","4,698",852,580,494,757,771,705,945,358,"1,367",522,544,564
2020년10월_남_0~9세,570,372,18,13,12,16,16,19,21,13,41,16,6,7
2020년10월_남_10~19세,831,483,33,22,18,31,28,20,31,17,90,25,19,14
2020년10월_남_20~29세,"1,153",521,62,45,42,86,45,42,75,18,128,26,33,30
2020년10월_남_30~39세,930,450,53,36,28,31,64,33,49,18,82,37,17,32
2020년10월_남_40~49세,"1,677",791,88,54,45,80,80,75,97,37,183,59,36,52
2020년10월_남_50~59세,"2,577",862,182,115,101,153,165,158,175,64,282,75,116,129
2020년10월_남_60~69세,"2,802",678,235,154,124,185,211,176,252,103,261,142,144,137
2020년10월_남_70~79세,"1,653",378,112,84,80,101,101,112,164,52,210,80,93,86
2020년10월_남_80~89세,871,146,59,49,39,70,56,60,73,35,85,57,76,66
2020년10월_남_90~99세,91,17,10,8,5,4,5,10,7,1,5,5,4,10
2020년10월_남_100세 이상,2,0,0,0,0,0,0,0,1,0,0,0,0,1
2020년10월_여_총인구수,"13,707","4,836",856,592,540,786,812,742,915,400,"1,501",483,615,629
2020년10월_여_연령구간인구수,"13,707","4,836",856,592,540,786,812,742,915,400,"1,501",483,615,629
2020년10월_여_0~9세,537,340,16,9,19,12,19,22,19,7,48,8,5,13
2020년10월_여_10~19세,713,419,24,15,9,30,37,21,31,9,80,12,14,12
2020년10월_여_20~29세,896,458,48,30,26,48,47,40,51,13,79,22,8,26
2020년10월_여_30~39세,837,510,37,18,20,38,38,16,42,12,55,14,23,14
2020년10월_여_40~49세,"1,223",705,49,32,28,55,54,44,56,15,120,17,19,29
2020년10월_여_50~59세,"2,073",729,143,105,75,118,133,108,148,57,234,56,87,80
2020년10월_여_60~69세,"2,550",736,172,137,110,157,152,151,195,99,290,93,122,136
2020년10월_여_70~79세,"2,380",509,166,116,118,162,149,166,194,91,309,120,142,138
2020년10월_여_80~89세,"2,145",376,173,110,117,144,157,154,155,83,236,120,165,155
2020년10월_여_90~99세,346,51,26,20,18,22,26,20,24,13,50,21,30,25
2020년10월_여_100세 이상,7,3,2,0,0,0,0,0,0,1,0,0,0,1
