카테고리,서울특별시 강남구,서울특별시 강남구 신사동,서울특별시 강남구 논현1동,서울특별시 강남구 논현2동,서울특별시 강남구 압구정동,서울특별시 강남구 청담동,서울특별시 강남구 삼성1동,서울특별시 강남구 삼성2동,서울특별시 강남구 대치1동,서울특별시 강남구 대치2동,서울특별시 강남구 대치4동,서울특별시 강남구 역삼1동,서울특별시 강남구 역삼2동,서울특별시 강남구 도곡1동,서울특별시 강남구 도곡2동,서울특별시 강남구 개포1동,서울특별시 강남구 개포2동,서울특별시 강남구 개포4동,서울특별시 강남구 세곡동,서울특별시 강남구 일원본동,서울특별시 강남구 일원1동,서울특별시 강남구 일원2동,서울특별시 강남구 수서동
2020년05월_계_총인구수,"541,915","17,077","23,231","21,599","27,603","27,634","14,705","30,342","25,210","38,158","20,403","35,966","37,202","22,443","34,278","6,824","22,451","18,053","44,833","24,206","16,080","17,971","15,646"
2020년05월_계_연령구간인구수,"541,915","17,077","23,231","21,599","27,603","27,634","14,705","30,342","25,210","38,158","20,403","35,966","37,202","22,443","34,278","6,824","22,451","18,053","44,833","24,206","16,080","17,971","15,646"
2020년05월_계_0~9세,"38,023","1,018",733,"1,167","2,279","2,285",937,"2,513","2,093","2,048",810,"1,103","3,112","1,872","2,994",401,"1,679","1,122","4,801","2,327",780,"1,272",677
2020년05월_계_10~19세,"59,435","1,722",937,"1,313","2,861","2,318","1,429","3,492","5,603","6,536","2,524","1,446","5,513","2,340","4,804",593,"2,627","1,645","4,543","3,415","1,274","1,856",644
2020년05월_계_20~29세,"75,174","2,386","4,742","3,515","3,262","3,933","2,152","3,933","2,501","5,117","3,436","7,652","4,760","3,090","4,073",807,"3,000","2,654","5,466","2,653","2,331","2,003","1,708"
2020년05월_계_30~39세,"84,261","2,498","5,948","4,665","3,575","4,610","2,187","5,165","1,695","3,444","3,384","10,176","5,430","3,401","3,813",729,"2,910","2,846","7,211","3,135","2,322","2,651","2,466"
2020년05월_계_40~49세,"99,688","3,076","3,852","3,722","5,004","4,865","2,395","6,509","6,232","7,542","4,118","5,997","8,639","3,898","6,640",972,"3,743","2,982","7,746","4,645","2,233","3,160","1,718"
2020년05월_계_50~59세,"80,020","2,500","2,799","2,928","4,000","4,074","2,416","4,056","3,752","6,731","3,225","4,265","4,766","3,518","5,479","1,137","3,882","3,070","6,055","3,697","2,626","2,644","2,400"
2020년05월_계_60~69세,"58,160","1,793","2,295","2,224","3,120","3,043","1,788","2,427","1,921","4,030","1,537","2,998","2,581","2,522","3,523","1,191","2,922","2,300","4,861","2,788","2,516","2,467","3,313"
2020년05월_계_70~79세,"33,361","1,397","1,359","1,500","2,414","1,783","1,022","1,660","1,006","2,004","1,028","1,676","1,739","1,257","2,086",703,"1,249","1,041","2,677","1,055","1,390","1,437","1,878"
2020년05월_계_80~89세,"11,325",593,478,456,907,570,306,493,338,571,294,534,538,441,711,231,354,322,"1,210",386,498,407,687
2020년05월_계_90~99세,"2,187",84,69,90,164,129,66,82,54,112,38,96,103,97,139,49,76,64,252,100,104,69,150
2020년05월_계_100세 이상,281,10,19,19,17,24,7,12,15,23,9,23,21,7,16,11,9,7,11,5,6,5,5
2020년05월_남_총인구수,"259,158","7,938","10,852","10,023","12,696","12,931","7,307","14,451","12,664","19,363","9,636","17,322","17,438","10,649","15,910","3,297","10,859","8,853","21,359","11,913","7,863","8,690","7,144"
2020년05월_남_연령구간인구수,"259,158","7,938","10,852","10,023","12,696","12,931","7,307","14,451","12,664","19,363","9,636","17,322","17,438","10,649","15,910","3,297","10,859","8,853","21,359","11,913","7,863","8,690","7,144"
2020년05월_남_0~9세,"19,718",531,361,600,"1,097","1,234",520,"1,349","1,144","1,106",399,554,"1,603",901,"1,559",205,847,588,"2,426","1,281",391,670,352
2020년05월_남_10~19세,"30,979",868,452,687,"1,381","1,213",822,"1,910","3,149","3,865","1,383",698,"2,619","1,079","2,107",289,"1,292",847,"2,233","1,940",715,"1,121",309
2020년05월_남_20~29세,"35,963","1,088","2,133","1,544","1,535","1,802","1,178","1,889","1,253","2,756","1,634","3,309","2,065","1,479","1,857",406,"1,527","1,348","2,623","1,383","1,198","1,073",883
2020년05월_남_30~39세,"38,547","1,109","2,763","2,089","1,526","1,979","1,027","2,174",662,"1,599","1,520","5,010","2,328","1,541","1,552",342,"1,395","1,432","3,343","1,430","1,218","1,261","1,247"
