카테고리,경상북도 영덕군,경상북도 영덕군 영덕읍,경상북도 영덕군 강구면,경상북도 영덕군 남정면,경상북도 영덕군 달산면,경상북도 영덕군 지품면,경상북도 영덕군 지품면원전출장소,경상북도 영덕군 축산면,경상북도 영덕군 축산면축산출장소,경상북도 영덕군 영해면,경상북도 영덕군 병곡면,경상북도 영덕군 창수면
2021년09월_계_총인구수,"35,540","10,835","6,047","2,315","1,115","1,477",523,911,"1,681","6,245","2,741","1,650"
2021년09월_계_연령구간인구수,"35,540","10,835","6,047","2,315","1,115","1,477",523,911,"1,681","6,245","2,741","1,650"
2021년09월_계_0~9세,"1,519",733,201,41,12,34,9,25,36,338,67,23
2021년09월_계_10~19세,"2,031",917,289,60,33,36,13,32,67,418,123,43
2021년09월_계_20~29세,"2,273",920,387,121,49,65,16,40,77,443,109,46
2021년09월_계_30~39세,"2,211",944,360,105,39,51,10,33,74,424,114,57
2021년09월_계_40~49세,"3,687","1,550",613,163,60,94,27,72,147,670,194,97
2021년09월_계_50~59세,"5,974","1,817","1,110",402,191,255,81,137,294,"1,027",425,235
2021년09월_계_60~69세,"7,569","1,870","1,402",551,284,393,134,200,413,"1,249",644,429
2021년09월_계_70~79세,"5,777","1,218","1,056",481,224,296,140,194,353,905,543,367
2021년09월_계_80~89세,"3,932",744,559,337,188,225,83,161,207,659,459,310
2021년09월_계_90~99세,544,113,69,52,34,27,10,17,13,110,63,36
2021년09월_계_100세 이상,23,9,1,2,1,1,0,0,0,2,0,7
2021년09월_남_총인구수,"16,854","5,201","2,826","1,123",500,731,246,429,779,"2,919","1,292",808
2021년09월_남_연령구간인구수,"16,854","5,201","2,826","1,123",500,731,246,429,779,"2,919","1,292",808
2021년09월_남_0~9세,756,365,97,20,8,19,4,15,17,159,39,13
2021년09월_남_10~19세,"1,045",449,165,41,17,23,6,15,36,215,58,20
2021년09월_남_20~29세,"1,327",533,227,72,27,39,10,23,45,266,58,27
2021년09월_남_30~39세,"1,151",470,196,56,25,25,6,16,40,217,66,34
2021년09월_남_40~49세,"2,022",777,351,101,29,64,22,42,81,362,126,67
2021년09월_남_50~59세,"3,229",989,573,236,106,147,44,84,153,529,246,122
2021년09월_남_60~69세,"3,638",866,647,289,151,200,66,94,192,582,324,227
2021년09월_남_70~79세,"2,361",487,410,197,81,133,57,90,146,373,221,166
2021년09월_남_80~89세,"1,227",242,151,102,50,74,29,48,64,201,146,120
2021년09월_남_90~99세,95,22,9,9,6,7,2,2,5,15,8,10
2021년09월_남_100세 이상,3,1,0,0,0,0,0,0,0,0,0,2
2021년09월_여_총인구수,"18,686","5,634","3,221","1,192",615,746,277,482,902,"3,326","1,449",842
2021년09월_여_연령구간인구수,"18,686","5,634","3,221","1,192",615,746,277,482,902,"3,326","1,449",842
2021년09월_여_0~9세,763,368,104,21,4,15,5,10,19,179,28,10
2021년09월_여_10~19세,986,468,124,19,16,13,7,17,31,203,65,23
2021년09월_여_20~29세,946,387,160,49,22,26,6,17,32,177,51,19
2021년09월_여_30~39세,"1,060",474,164,49,14,26,4,17,34,207,48,23
2021년09월_여_40~49세,"1,665",773,262,62,31,30,5,30,66,308,68,30
2021년09월_여_50~59세,"2,745",828,537,166,85,108,37,53,141,498,179,113
2021년09월_여_60~69세,"3,931","1,004",755,262,133,193,68,106,221,667,320,202
2021년09월_여_70~79세,"3,416",731,646,284,143,163,83,104,207,532,322,201
2021년09월_여_80~89세,"2,705",502,408,235,138,151,54,113,143,458,313,190
2021년09월_여_90~99세,449,91,60,43,28,20,8,15,8,95,55,26
2021년09월_여_100세 이상,20,8,1,2,1,1,0,0,0,2,0,5
