,경상남도 밀양시,경상남도 밀양시 삼랑진읍,경상남도 밀양시 삼랑진임천출장소,경상남도 밀양시 하남읍,경상남도 밀양시 부북면,경상남도 밀양시 상동면,경상남도 밀양시 산외면,경상남도 밀양시 산내면,경상남도 밀양시 단장면,경상남도 밀양시 상남면,경상남도 밀양시 초동면,경상남도 밀양시 무안면,경상남도 밀양시 청도면,경상남도 밀양시 내일동,경상남도 밀양시 내이동,경상남도 밀양시 삼문동,경상남도 밀양시 가곡동,경상남도 밀양시 교동
2021년03월_계_총인구수,"104,354","5,334","1,311","7,111","5,189","3,070","2,804","3,932","4,284","8,387","3,415","5,001","1,783","2,707","16,037","20,212","7,927","5,850"
2021년03월_계_연령구간인구수,"104,354","5,334","1,311","7,111","5,189","3,070","2,804","3,932","4,284","8,387","3,415","5,001","1,783","2,707","16,037","20,212","7,927","5,850"
2021년03월_계_0~9세,"5,497",139,19,278,120,57,58,86,76,444,85,102,34,63,"1,343","1,899",373,321
2021년03월_계_10~19세,"7,733",241,53,407,231,88,116,228,152,520,123,253,57,138,"1,397","2,552",621,556
2021년03월_계_20~29세,"8,971",316,132,479,360,151,170,205,218,647,173,307,93,224,"1,933","2,145",763,655
2021년03월_계_30~39세,"8,754",320,70,475,329,147,148,170,245,649,161,238,63,188,"2,134","2,112",699,606
2021년03월_계_40~49세,"12,834",502,94,759,469,207,255,364,305,997,301,373,129,301,"2,423","3,453","1,052",850
2021년03월_계_50~59세,"18,591",985,228,"1,316",992,520,559,731,875,"1,480",568,868,271,520,"2,802","3,320","1,434","1,122"
2021년03월_계_60~69세,"21,317","1,365",335,"1,624","1,332",945,735,"1,054","1,276","1,803",942,"1,312",508,614,"2,345","2,641","1,469","1,017"
2021년03월_계_70~79세,"12,756",930,220,"1,080",788,567,471,683,703,"1,125",642,855,346,423,"1,099","1,369",951,504
2021년03월_계_80~89세,"6,979",472,138,625,495,338,255,358,383,637,383,608,252,214,470,643,509,199
2021년03월_계_90~99세,896,62,22,64,71,50,34,52,48,84,35,82,30,21,90,76,56,19
2021년03월_계_100세 이상,26,2,0,4,2,0,3,1,3,1,2,3,0,1,1,2,0,1
2021년03월_남_총인구수,"51,206","2,647",648,"3,563","2,674","1,470","1,434","2,025","2,116","4,157","1,692","2,443",868,"1,309","7,927","9,740","3,670","2,823"
2021년03월_남_연령구간인구수,"51,206","2,647",648,"3,563","2,674","1,470","1,434","2,025","2,116","4,157","1,692","2,443",868,"1,309","7,927","9,740","3,670","2,823"
2021년03월_남_0~9세,"2,823",76,9,154,68,27,32,46,42,225,40,55,15,32,651,"1,008",195,148
2021년03월_남_10~19세,"4,054",123,29,216,126,47,70,131,78,262,71,144,30,74,733,"1,341",301,278
2021년03월_남_20~29세,"5,205",189,73,295,241,97,114,134,135,397,98,169,63,149,"1,084","1,203",398,366
2021년03월_남_30~39세,"4,640",188,44,274,199,84,83,101,141,346,98,138,37,96,"1,108","1,022",370,311
2021년03월_남_40~49세,"6,804",303,63,461,285,130,156,230,178,565,189,207,81,161,"1,236","1,625",511,423
2021년03월_남_50~59세,"9,394",507,128,698,546,259,298,390,436,758,300,482,120,258,"1,395","1,571",709,539
2021년03월_남_60~69세,"10,411",688,156,778,687,455,373,551,654,915,467,663,279,286,"1,113","1,189",679,478
2021년03월_남_70~79세,"5,551",410,98,489,343,270,222,326,335,479,298,383,155,180,439,566,341,217
2021년03월_남_80~89세,"2,148",151,45,188,166,89,81,109,109,191,126,189,81,68,145,199,153,58
2021년03월_남_90~99세,170,11,3,10,13,12,4,7,7,19,4,13,7,4,23,15,13,5
2021년03월_남_100세 이상,6,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0
2021년03월_여_총인구수,"53,148","2,687",663,"3,548","2,515","1,600","1,370","1,907","2,168","4,230","1,723","2,558",915,"1,398","8,110","10,472","4,257","3,027"
2021년03월_여_연령구간인구수,"53,148","2,687",663,"3,548","2,515","1,600","1,370","1,907","2,168","4,230","1,723","2,558",915,"1,398","8,110","10,472","4,257","3,027"
2021년03월_여_0~9세,"2,674",63,10,124,52,30,26,40,34,219,45,47,19,31,692,891,178,173
2021년03월_여_10~19세,"3,679",118,24,191,105,41,46,97,74,258,52,109,27,64,664,"1,211",320,278
2021년03월_여_20~29세,"3,766",127,59,184,119,54,56,71,83,250,75,138,30,75,849,942,365,289
2021년03월_여_30~39세,"4,114",132,26,201,130,63,65,69,104,303,63,100,26,92,"1,026","1,090",329,295
2021년03월_여_40~49세,"6,030",199,31,298,184,77,99,134,127,432,112,166,48,140,"1,187","1,828",541,427
2021년03월_여_50~59세,"9,197",478,100,618,446,261,261,341,439,722,268,386,151,262,"1,407","1,749",725,583
2021년03월_여_60~69세,"10,906",677,179,846,645,490,362,503,622,888,475,649,229,328,"1,232","1,452",790,539
2021년03월_여_70~79세,"7,205",520,122,591,445,297,249,357,368,646,344,472,191,243,660,803,610,287
2021년03월_여_80~89세,"4,831",321,93,437,329,249,174,249,274,446,257,419,171,146,325,444,356,141
2021년03월_여_90~99세,726,51,19,54,58,38,30,45,41,65,31,69,23,17,67,61,43,14
2021년03월_여_100세 이상,20,1,0,4,2,0,2,1,2,1,1,3,0,0,1,1,0,1
