,인천광역시 미추홀구,인천광역시 미추홀구 숭의2동,인천광역시 미추홀구 숭의1.3동,인천광역시 미추홀구 숭의4동,인천광역시 미추홀구 용현1.4동,인천광역시 미추홀구 용현2동,인천광역시 미추홀구 용현3동,인천광역시 미추홀구 용현5동,인천광역시 미추홀구 학익1동,인천광역시 미추홀구 학익2동,인천광역시 미추홀구 도화1동,인천광역시 미추홀구 도화2.3동,인천광역시 미추홀구 주안1동,인천광역시 미추홀구 주안2동,인천광역시 미추홀구 주안3동,인천광역시 미추홀구 주안4동,인천광역시 미추홀구 주안5동,인천광역시 미추홀구 주안6동,인천광역시 미추홀구 주안7동,인천광역시 미추홀구 주안8동,인천광역시 미추홀구 관교동,인천광역시 미추홀구 문학동
2020년10월_계_총인구수,"402,662","14,694","14,405","16,919","17,166","18,024","7,562","48,268","31,338","19,116","23,498","26,687","20,717","16,899","9,045","14,126","17,554","22,769","13,030","21,532","15,547","13,766"
2020년10월_계_연령구간인구수,"402,662","14,694","14,405","16,919","17,166","18,024","7,562","48,268","31,338","19,116","23,498","26,687","20,717","16,899","9,045","14,126","17,554","22,769","13,030","21,532","15,547","13,766"
2020년10월_계_0~9세,"27,144","1,137","1,092","1,033",649,"1,355",301,"4,254","2,217","1,194","1,729","2,185","1,337",930,472,607,851,"2,099",593,"1,328","1,041",740
2020년10월_계_10~19세,"31,646",947,870,"1,356",972,"1,331",379,"4,910","3,483","1,789","1,589","2,027",919,"1,104",694,876,"1,186","1,819",977,"1,939","1,328","1,151"
2020년10월_계_20~29세,"57,000","1,914","2,108","2,182","3,877","2,675",839,"6,977","4,136","2,438","3,321","3,407","4,269","2,118","1,232","1,678","2,508","2,884","1,576","2,895","2,082","1,884"
2020년10월_계_30~39세,"55,325","2,217","2,416","2,217","1,788","2,874",854,"6,570","3,298","2,221","3,666","4,297","4,347","2,103","1,022","1,601","2,396","3,592","1,415","2,578","1,954","1,899"
2020년10월_계_40~49세,"63,215","2,175","2,082","2,565","2,112","2,624","1,023","8,445","5,524","3,009","3,618","4,127","3,175","2,373","1,394","1,930","2,669","3,951","1,968","3,365","2,307","2,779"
2020년10월_계_50~59세,"67,190","2,417","2,318","2,805","2,639","2,749","1,282","7,863","5,555","3,363","3,787","4,237","3,110","2,940","1,536","2,399","3,120","3,405","2,361","3,956","2,806","2,542"
2020년10월_계_60~69세,"55,075","2,050","1,854","2,437","2,533","2,330","1,410","5,298","4,051","2,686","3,113","3,651","2,158","2,815","1,395","2,575","2,621","2,823","2,209","3,113","2,345","1,608"
2020년10월_계_70~79세,"31,169","1,214","1,046","1,563","1,788","1,468",954,"2,679","2,144","1,606","1,811","1,870",960,"1,684",912,"1,698","1,454","1,446","1,297","1,640","1,135",800
2020년10월_계_80~89세,"12,732",540,510,665,678,512,438,"1,111",800,687,733,767,378,714,339,647,639,645,532,633,459,305
2020년10월_계_90~99세,"1,987",79,93,90,117,93,68,158,123,110,123,108,61,106,44,104,102,97,91,81,84,55
2020년10월_계_100세 이상,179,4,16,6,13,13,14,3,7,13,8,11,3,12,5,11,8,8,11,4,6,3
