,경기도 양주시,경기도 양주시 백석읍,경기도 양주시 은현면,경기도 양주시 남면,경기도 양주시 광적면,경기도 양주시 장흥면,경기도 양주시 양주1동,경기도 양주시 양주2동,경기도 양주시 회천1동,경기도 양주시 회천2동,경기도 양주시 회천3동,경기도 양주시 회천4동
2020년09월_계_총인구수,"229,427","26,428","6,056","7,057","12,007","10,352","5,400","50,195","9,840","27,155","27,525","47,412"
2020년09월_계_연령구간인구수,"229,427","26,428","6,056","7,057","12,007","10,352","5,400","50,195","9,840","27,155","27,525","47,412"
2020년09월_계_0~9세,"20,097","1,452",155,391,642,499,212,"5,001",654,"1,963","2,339","6,789"
2020년09월_계_10~19세,"24,142","2,578",337,406,902,544,278,"7,104",759,"2,728","3,607","4,899"
2020년09월_계_20~29세,"27,219","3,279",696,831,"1,298","1,074",584,"5,307","1,582","3,540","3,760","5,268"
2020년09월_계_30~39세,"28,152","2,339",477,791,"1,177","1,083",467,"5,521","1,187","2,871","2,982","9,257"
2020년09월_계_40~49세,"39,389","3,932",688,792,"1,727","1,167",634,"10,411","1,394","4,436","5,166","9,042"
2020년09월_계_50~59세,"37,872","5,202","1,309","1,294","2,493","1,768","1,090","7,233","1,818","5,439","4,635","5,591"
2020년09월_계_60~69세,"28,366","4,177","1,340","1,388","2,104","2,176","1,082","4,965","1,325","3,526","2,415","3,868"
2020년09월_계_70~79세,"16,190","2,247",672,715,"1,081","1,284",671,"3,308",742,"1,837","1,673","1,960"
2020년09월_계_80~89세,"6,919","1,067",323,370,504,612,331,"1,181",327,719,853,632
2020년09월_계_90~99세,"1,009",147,56,73,74,138,47,155,39,89,92,99
2020년09월_계_100세 이상,72,8,3,6,5,7,4,9,13,7,3,7
2020년09월_남_총인구수,"116,428","13,341","3,427","3,944","6,491","5,306","2,813","24,579","5,178","13,778","13,652","23,919"
2020년09월_남_연령구간인구수,"116,428","13,341","3,427","3,944","6,491","5,306","2,813","24,579","5,178","13,778","13,652","23,919"
2020년09월_남_0~9세,"10,249",712,83,189,330,270,108,"2,552",334,"1,012","1,198","3,461"
2020년09월_남_10~19세,"12,304","1,322",181,205,485,298,154,"3,579",382,"1,412","1,864","2,422"
2020년09월_남_20~29세,"14,602","1,790",413,539,748,635,313,"2,692",923,"1,872","1,971","2,706"
2020년09월_남_30~39세,"14,535","1,258",302,480,669,597,258,"2,650",652,"1,521","1,463","4,685"
2020년09월_남_40~49세,"20,287","2,005",427,481,992,625,370,"5,140",734,"2,289","2,562","4,662"
2020년09월_남_50~59세,"19,836","2,698",790,765,"1,381",881,570,"3,775",987,"2,774","2,362","2,853"
2020년09월_남_60~69세,"14,224","2,109",753,773,"1,146","1,075",592,"2,198",679,"1,795","1,191","1,913"
2020년09월_남_70~79세,"7,507","1,027",343,356,523,641,312,"1,495",348,811,674,977
2020년09월_남_80~89세,"2,628",388,120,138,196,248,127,457,125,272,333,224
2020년09월_남_90~99세,245,32,15,16,21,32,8,41,12,20,32,16
2020년09월_남_100세 이상,11,0,0,2,0,4,1,0,2,0,2,0
2020년09월_여_총인구수,"112,999","13,087","2,629","3,113","5,516","5,046","2,587","25,616","4,662","13,377","13,873","23,493"
2020년09월_여_연령구간인구수,"112,999","13,087","2,629","3,113","5,516","5,046","2,587","25,616","4,662","13,377","13,873","23,493"
2020년09월_여_0~9세,"9,848",740,72,202,312,229,104,"2,449",320,951,"1,141","3,328"
2020년09월_여_10~19세,"11,838","1,256",156,201,417,246,124,"3,525",377,"1,316","1,743","2,477"
2020년09월_여_20~29세,"12,617","1,489",283,292,550,439,271,"2,615",659,"1,668","1,789","2,562"
2020년09월_여_30~39세,"13,617","1,081",175,311,508,486,209,"2,871",535,"1,350","1,519","4,572"
2020년09월_여_40~49세,"19,102","1,927",261,311,735,542,264,"5,271",660,"2,147","2,604","4,380"
2020년09월_여_50~59세,"18,036","2,504",519,529,"1,112",887,520,"3,458",831,"2,665","2,273","2,738"
2020년09월_여_60~69세,"14,142","2,068",587,615,958,"1,101",490,"2,767",646,"1,731","1,224","1,955"
2020년09월_여_70~79세,"8,683","1,220",329,359,558,643,359,"1,813",394,"1,026",999,983
2020년09월_여_80~89세,"4,291",679,203,232,308,364,204,724,202,447,520,408
2020년09월_여_90~99세,764,115,41,57,53,106,39,114,27,69,60,83
2020년09월_여_100세 이상,61,8,3,4,5,3,3,9,11,7,1,7
